"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@BJP4Andhra Tax incentives for north Andhra and rayalaseema along with packages to both regions in line with Bundel  ","2018-07-28 15:27:21","FALSE","0","0","0","Affordability","Andhra Pradesh","India",FALSE
"2","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 14:53:47","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",FALSE
"3","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 14:49:04","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"4","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 14:42:54","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"5","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 14:38:47","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"6","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 14:32:22","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"7","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 13:48:36","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"8","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 13:46:16","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"9","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 13:42:15","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"10","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 12:05:44","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"11","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 11:42:49","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"12","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 11:38:47","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"13","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 11:34:59","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"14","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 10:54:20","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"15","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 05:02:27","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"16","AP Multi Services Cable Operator Unions Meeting Against Poll Tax | Vijayawada | Eagle Andhra:  ","2018-07-28 04:55:00","FALSE","0","0","0","Affordability","Andhra Pradesh","India",FALSE
"17","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 04:48:47","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"18","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 04:42:41","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"19","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 04:20:56","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"20","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 04:16:23","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"21","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 03:40:18","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"22","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 02:35:09","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"23","RT @JayGalla: AmaraRajaBatteries is among the top private sector tax payers in both the Telugu States. NMDC leads the Corporate sector lis","2018-07-28 02:22:18","TRUE","122","0","2","Affordability","Andhra Pradesh","India",FALSE
"24","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 02:15:03","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"25","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 02:15:01","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"26","RT @nyra122333: @PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidised rice","2018-07-28 02:08:00","TRUE","26","0","-1","Affordability","Andhra Pradesh","India",TRUE
"27","@PMOIndia @narendramodi @AmitShah @Swamy39 
Massive fraud happening in Andhra Pradesh in the name of 1/kg subsidis  ","2018-07-28 01:31:02","FALSE","26","16","-1","Affordability","Andhra Pradesh","India",FALSE
"28","RT @Teloogoo: $ 4.1 billion for Delhi common wealth games, Rs 20,000 crore for urban development of Delhi, 3000 crores for a statue in Guja","2018-07-27 06:35:07","TRUE","24","0","0","Affordability","Andhra Pradesh","India",FALSE
"29","RT @PiyushGoyalOffc: We have extended tax incentives of 15% additional depreciation, 15% investment allowance to the 7 backward districts,","2018-07-26 16:23:07","TRUE","124","0","-1","Affordability","Andhra Pradesh","India",FALSE
"30","RT @PiyushGoyalOffc: We have extended tax incentives of 15% additional depreciation, 15% investment allowance to the 7 backward districts,","2018-07-26 08:44:43","TRUE","124","0","-1","Affordability","Andhra Pradesh","India",TRUE
"31","RT @Teloogoo: $ 4.1 billion for Delhi common wealth games, Rs 20,000 crore for urban development of Delhi, 3000 crores for a statue in Guja","2018-07-26 07:40:21","TRUE","24","0","0","Affordability","Andhra Pradesh","India",TRUE
"32","RT @JayGalla: AmaraRajaBatteries is among the top private sector tax payers in both the Telugu States. NMDC leads the Corporate sector lis","2018-07-26 01:59:20","TRUE","122","0","2","Affordability","Andhra Pradesh","India",TRUE
"33","RT @JayGalla: AmaraRajaBatteries is among the top private sector tax payers in both the Telugu States. NMDC leads the Corporate sector lis","2018-07-25 22:28:50","TRUE","122","0","2","Affordability","Andhra Pradesh","India",TRUE
"34","RT @digitaldutta: Are you paying property tax, water bills, advertisement tax in Andhra Pradesh? Well the government has been publishing al","2018-07-25 21:44:36","TRUE","178","0","1","Affordability","Andhra Pradesh","India",FALSE
"35","RT @JayGalla: AmaraRajaBatteries is among the top private sector tax payers in both the Telugu States. NMDC leads the Corporate sector lis","2018-07-25 21:21:58","TRUE","122","0","2","Affordability","Andhra Pradesh","India",TRUE
"36","RT @PiyushGoyalOffc: We have extended tax incentives of 15% additional depreciation, 15% investment allowance to the 7 backward districts,","2018-07-25 20:55:17","TRUE","124","0","-1","Affordability","Andhra Pradesh","India",TRUE
"37","RT @Teloogoo: $ 4.1 billion for Delhi common wealth games, Rs 20,000 crore for urban development of Delhi, 3000 crores for a statue in Guja","2018-07-25 18:33:39","TRUE","24","0","0","Affordability","Andhra Pradesh","India",TRUE
"38","RT @bank_andhra: Be on top of your tax by e-filing and e-verifying your returns using Andhra Bank netbanking service on or before 31st July","2018-07-25 17:59:28","TRUE","7","0","1","Affordability","Andhra Pradesh","India",FALSE
"39","RT @PiyushGoyalOffc: We have extended tax incentives of 15% additional depreciation, 15% investment allowance to the 7 backward districts,","2018-07-25 17:33:39","TRUE","124","0","-1","Affordability","Andhra Pradesh","India",TRUE
"40","RT @Teloogoo: $ 4.1 billion for Delhi common wealth games, Rs 20,000 crore for urban development of Delhi, 3000 crores for a statue in Guja","2018-07-25 16:51:26","TRUE","24","0","0","Affordability","Andhra Pradesh","India",TRUE
"41","RT @PiyushGoyalOffc: We have extended tax incentives of 15% additional depreciation, 15% investment allowance to the 7 backward districts,","2018-07-25 16:43:31","TRUE","124","0","-1","Affordability","Andhra Pradesh","India",TRUE
"42","RT @PiyushGoyalOffc: We have extended tax incentives of 15% additional depreciation, 15% investment allowance to the 7 backward districts,","2018-07-25 16:42:04","TRUE","124","0","-1","Affordability","Andhra Pradesh","India",TRUE
"43","RT @PiyushGoyalOffc: We have extended tax incentives of 15% additional depreciation, 15% investment allowance to the 7 backward districts,","2018-07-25 16:40:54","TRUE","124","0","-1","Affordability","Andhra Pradesh","India",TRUE
"44","RT @Teloogoo: $ 4.1 billion for Delhi common wealth games, Rs 20,000 crore for urban development of Delhi, 3000 crores for a statue in Guja","2018-07-25 16:36:23","TRUE","24","0","0","Affordability","Andhra Pradesh","India",TRUE
