"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @PiyushGoyal: Taking forward the pioneering work from last year in Andhra Pradesh, Railways sets up 6 Subways in only 4.5 hours despite","2018-07-27 17:51:26","TRUE","170","0","1","Climate","Andhra Pradesh","India",FALSE
"2","Weather Warangal India: 24C; Partly cloudy; Wind: 18 Km/h;   ","2018-07-27 02:11:37","FALSE","0","0","-1","Climate","Andhra Pradesh","India",FALSE
"3","Weather Warangal India: 24C; Partly cloudy; Wind: 18 Km/h;   ","2018-07-27 02:11:07","FALSE","0","0","-1","Climate","Andhra Pradesh","India",TRUE
"4","Weather Warangal India: 24C; Partly cloudy; Wind: 18 Km/h;   ","2018-07-27 02:11:07","FALSE","0","0","-1","Climate","Andhra Pradesh","India",TRUE
"5","Weather Warangal India: 24C; Partly cloudy; Wind: 18 Km/h;   ","2018-07-27 02:08:37","FALSE","0","0","-1","Climate","Andhra Pradesh","India",TRUE
"6","@muglikar_ Best weather to be in Andhra!","2018-07-26 04:38:58","FALSE","0","0","1","Climate","Andhra Pradesh","India",FALSE
"7","Clipping of Andhra Jyothy Telugu Daily Hyderabad City  ","2018-07-25 17:18:18","FALSE","1","0","0","Climate","Andhra Pradesh","India",FALSE
"8","Weather alert issued for coastal Andhra Pradesh, strong winds and rain predicted |  ","2018-07-23 12:00:38","FALSE","0","0","1","Climate","Andhra Pradesh","India",FALSE
"9","RT @MahilaCongress: Deepest condolences to the families of those who have lost their lives in the unfortunate severe storms across India, y","2018-07-23 08:32:08","TRUE","130","0","-3","Climate","Andhra Pradesh","India",FALSE
"10","Weather alert issued for coastal Andhra Pradesh, strong winds and rain predicted  ","2018-07-23 06:56:09","FALSE","0","0","1","Climate","Andhra Pradesh","India",FALSE
"11","Weather alert issued for coastal Andhra Pradesh, strong winds and rain predicted  ","2018-07-23 06:55:30","FALSE","0","0","1","Climate","Andhra Pradesh","India",TRUE
"12","Weather alert issued for coastal Andhra Pradesh, strong winds and rain predicted  ","2018-07-23 06:44:49","FALSE","0","0","1","Climate","Andhra Pradesh","India",TRUE
"13","Weather alert issued for coastal Andhra Pradesh, strong winds and rain predicted  ","2018-07-23 06:42:49","FALSE","0","0","1","Climate","Andhra Pradesh","India",TRUE
"14","Weather alert issued for coastal Andhra Pradesh, strong winds and rain predicted,  ","2018-07-23 06:14:11","FALSE","0","0","1","Climate","Andhra Pradesh","India",FALSE
"15","RT @MediniT_: Weather alert issued for coastal Andhra Pradesh, strong winds and rain predicted  ","2018-07-22 19:07:35","TRUE","1","0","1","Climate","Andhra Pradesh","India",FALSE
"16","Weather alert issued for coastal Andhra Pradesh, strong winds and rain predicted  ","2018-07-22 19:05:17","FALSE","1","2","1","Climate","Andhra Pradesh","India",TRUE
"17","Weather alert issued for coastal Andhra Pradesh, strong winds and rain predicted  ","2018-07-22 17:24:29","FALSE","0","0","1","Climate","Andhra Pradesh","India",TRUE
"18","RT @ZeeNews: Weather alert issued for coastal Andhra Pradesh, strong winds and rain predicted
 ","2018-07-22 14:48:41","TRUE","3","0","1","Climate","Andhra Pradesh","India",FALSE
"19","RT @ZeeNews: Weather alert issued for coastal Andhra Pradesh, strong winds and rain predicted
 ","2018-07-22 14:30:52","TRUE","3","0","1","Climate","Andhra Pradesh","India",TRUE
"20","RT @ZeeNews: Weather alert issued for coastal Andhra Pradesh, strong winds and rain predicted
 ","2018-07-22 14:30:29","TRUE","3","0","1","Climate","Andhra Pradesh","India",TRUE
"21","Weather alert issued for coastal Andhra Pradesh, strong winds and rain predicted
 ","2018-07-22 14:30:00","FALSE","3","38","1","Climate","Andhra Pradesh","India",FALSE
"22","Weather alert issued for coastal Andhra Pradesh, strong winds and rain predicted  ","2018-07-22 14:09:39","FALSE","0","0","1","Climate","Andhra Pradesh","India",TRUE
"23","@NewIndianXpress He is Wrong he has been exposed in front of every one now it's up to Andhra People to decide weath  ","2018-07-20 12:21:37","FALSE","0","1","-1","Climate","Andhra Pradesh","India",FALSE
"24","Today's weather forecast Heavy to Very Heavy Rains over Andhra Pradesh, Chhattisgarh and Odisha.
For more info read  ","2018-07-20 07:29:50","FALSE","0","0","0","Climate","Andhra Pradesh","India",FALSE
