"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @MirrorNow: A team of police officials comprising of two home guards, two constables and one sub-inspector reached the scene after recei","2018-07-28 15:33:04","TRUE","2","0","0","Crime","Andhra Pradesh","India",FALSE
"2","RT @naralokesh: And he preaches about crime in Andhra Pradesh? Dont forget, the crime rate of his fathers tenure was brought down by @ncb","2018-07-28 14:47:04","TRUE","210","0","-2","Crime","Andhra Pradesh","India",FALSE
"3","RT @htTweets: Disillusioned by rising crime, Andhra man plans self-burial, reports @asrao2009
 ","2018-07-28 08:01:49","TRUE","5","0","-2","Crime","Andhra Pradesh","India",FALSE
"4"," ","2018-07-28 07:23:44","FALSE","0","0","0","Crime","Andhra Pradesh","India",FALSE
"5","Country not fit to live in anymore: Andhra man plans to be buried alive, readies 5-foot grave via @htTweets  ","2018-07-28 05:31:47","FALSE","0","0","0","Crime","Andhra Pradesh","India",FALSE
"6","RT @htTweets: Disillusioned by rising crime, Andhra man plans self-burial, reports @asrao2009
 ","2018-07-28 04:50:48","TRUE","5","0","-2","Crime","Andhra Pradesh","India",TRUE
"7","RT @htTweets: Disillusioned by rising crime, Andhra man plans self-burial, reports @asrao2009
 ","2018-07-28 04:48:27","TRUE","5","0","-2","Crime","Andhra Pradesh","India",TRUE
"8","RT @htTweets: Disillusioned by rising crime, Andhra man plans self-burial, reports @asrao2009
 ","2018-07-28 04:47:37","TRUE","5","0","-2","Crime","Andhra Pradesh","India",TRUE
"9","RT @htTweets: Disillusioned by rising crime, Andhra man plans self-burial, reports @asrao2009
 ","2018-07-28 04:46:28","TRUE","5","0","-2","Crime","Andhra Pradesh","India",TRUE
"10","Disillusioned by rising crime, Andhra man plans self-burial, reports @asrao2009
 ","2018-07-28 04:40:00","FALSE","5","8","-2","Crime","Andhra Pradesh","India",FALSE
"11","RT @TimesNow: A team of police officials comprising of two home guards, two constables and one sub-inspector reached the scene after receiv","2018-07-27 21:35:46","TRUE","3","0","0","Crime","Andhra Pradesh","India",FALSE
"12","RT @TimesNow: A team of police officials comprising of two home guards, two constables and one sub-inspector reached the scene after receiv","2018-07-27 21:34:36","TRUE","3","0","0","Crime","Andhra Pradesh","India",TRUE
"13","A team of police officials comprising of two home guards, two constables and one sub-inspector reached the scene af  ","2018-07-27 21:30:00","FALSE","3","9","0","Crime","Andhra Pradesh","India",FALSE
"14","Mob of 60 drunken men thrashes police officers for stopping obscene dance performance  ","2018-07-27 15:56:41","FALSE","0","1","-2","Crime","Andhra Pradesh","India",FALSE
"15","RT @MirrorNow: A team of police officials comprising of two home guards, two constables and one sub-inspector reached the scene after recei","2018-07-27 14:40:43","TRUE","2","0","0","Crime","Andhra Pradesh","India",TRUE
"16","A team of police officials comprising of two home guards, two constables and one sub-inspector reached the scene af  ","2018-07-27 14:34:55","FALSE","2","3","0","Crime","Andhra Pradesh","India",TRUE
"17","Andhra man stopped from self-burial to 'reach God'  ","2018-07-27 11:41:43","FALSE","0","0","0","Crime","Andhra Pradesh","India",FALSE
"18","POLICE RAKSHAK means POLICE BHAKSHAK not only BANGALORE ANDHRA PRADESH also.  ","2018-07-26 02:14:57","FALSE","0","0","0","Crime","Andhra Pradesh","India",FALSE
"19","ANDHRA PRADESH stands 4th in the country in sexual harassment cases acc. to data released by NATIONAL CRIME RECORDS  ","2018-07-23 15:11:37","FALSE","0","0","-2","Crime","Andhra Pradesh","India",FALSE
"20","Six workers crushed to death in Andhra quarry  ","2018-07-23 07:30:50","FALSE","0","0","-2","Crime","Andhra Pradesh","India",FALSE
"21","Six workers crushed to death in Andhra quarry  ","2018-07-23 07:21:09","FALSE","0","0","-2","Crime","Andhra Pradesh","India",TRUE
"22","Six workers crushed to death in Andhra quarry  ","2018-07-23 07:18:30","FALSE","0","0","-2","Crime","Andhra Pradesh","India",TRUE
"23","Six workers crushed to death in Andhra quarry  ","2018-07-23 07:18:10","FALSE","0","0","-2","Crime","Andhra Pradesh","India",TRUE
"24","Six workers crushed to death in Andhra quarry  ","2018-07-23 07:01:10","FALSE","0","0","-2","Crime","Andhra Pradesh","India",TRUE
"25","Six workers crushed to death in Andhra quarry  ","2018-07-23 06:56:10","FALSE","0","0","-2","Crime","Andhra Pradesh","India",TRUE
"26","@failedbylaw h1b H1Bfraud h4EAD h4fraud Fake degrees used to gain employment by Indian engineers  ","2018-07-22 18:26:09","FALSE","0","0","0","Crime","Andhra Pradesh","India",FALSE
"27","       :     ","2018-07-22 14:41:18","FALSE","0","0","0","Crime","Andhra Pradesh","India",FALSE
"28","RT @KiranKS: Andhra Pradesh becomes the 1st state or province of Asia, to introduce Blockchain technology to fight cyber crime!
 ","2018-07-21 10:29:35","TRUE","101","0","-1","Crime","Andhra Pradesh","India",FALSE
"29","RT @KiranKS: Andhra Pradesh becomes the 1st state or province of Asia, to introduce Blockchain technology to fight cyber crime!
 ","2018-07-21 10:26:21","TRUE","101","0","-1","Crime","Andhra Pradesh","India",TRUE
"30","RT @OnlyTRS: Breaking news !! 

CBI court orders probe against Andhra Telugu Desam MP Galla Jaydev in 2 acre emmar golf land case in Hydera","2018-07-20 21:37:50","TRUE","62","0","-1","Crime","Andhra Pradesh","India",FALSE
"31","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-20 16:52:31","TRUE","359","0","1","Crime","Andhra Pradesh","India",FALSE
"32","RT @OnlyTRS: Breaking news !! 

CBI court orders probe against Andhra Telugu Desam MP Galla Jaydev in 2 acre emmar golf land case in Hydera","2018-07-20 16:17:16","TRUE","62","0","-1","Crime","Andhra Pradesh","India",TRUE
"33","RT @OnlyTRS: Breaking news !! 

CBI court orders probe against Andhra Telugu Desam MP Galla Jaydev in 2 acre emmar golf land case in Hydera","2018-07-20 15:46:42","TRUE","62","0","-1","Crime","Andhra Pradesh","India",TRUE
"34","RT @OnlyTRS: Breaking news !! 

CBI court orders probe against Andhra Telugu Desam MP Galla Jaydev in 2 acre emmar golf land case in Hydera","2018-07-20 15:46:38","TRUE","62","0","-1","Crime","Andhra Pradesh","India",TRUE
"35","RT @OnlyTRS: Breaking news !! 

CBI court orders probe against Andhra Telugu Desam MP Galla Jaydev in 2 acre emmar golf land case in Hydera","2018-07-20 15:39:44","TRUE","62","0","-1","Crime","Andhra Pradesh","India",TRUE
"36","RT @India_Policy: Even after Hyderabad has gone, residual Andhra has a per capita income 50% higher than rest of India. Yet rest of India m","2018-07-20 07:33:17","TRUE","21","0","0","Crime","Andhra Pradesh","India",FALSE
"37","RT @India_Policy: Even after Hyderabad has gone, residual Andhra has a per capita income 50% higher than rest of India. Yet rest of India m","2018-07-20 06:19:35","TRUE","21","0","0","Crime","Andhra Pradesh","India",TRUE
"38","RT @India_Policy: Even after Hyderabad has gone, residual Andhra has a per capita income 50% higher than rest of India. Yet rest of India m","2018-07-20 06:18:23","TRUE","21","0","0","Crime","Andhra Pradesh","India",TRUE
"39","Boy from Bihar fights with classmate from Kerala, slashes colleague from Andhra in face for trying to separate them  ","2018-07-20 06:15:00","FALSE","0","0","0","Crime","Andhra Pradesh","India",FALSE
"40","RT @India_Policy: Even after Hyderabad has gone, residual Andhra has a per capita income 50% higher than rest of India. Yet rest of India m","2018-07-20 06:13:35","TRUE","21","0","0","Crime","Andhra Pradesh","India",TRUE
"41","RT @India_Policy: Even after Hyderabad has gone, residual Andhra has a per capita income 50% higher than rest of India. Yet rest of India m","2018-07-20 06:12:28","TRUE","21","0","0","Crime","Andhra Pradesh","India",TRUE
"42","RT @India_Policy: Even after Hyderabad has gone, residual Andhra has a per capita income 50% higher than rest of India. Yet rest of India m","2018-07-20 06:12:06","TRUE","21","0","0","Crime","Andhra Pradesh","India",TRUE
"43","Newly-married Andhra woman gets husband killed for lover she met on Facebook  ","2018-07-20 03:44:23","FALSE","0","0","0","Crime","Andhra Pradesh","India",FALSE
"44","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-20 02:57:55","TRUE","359","0","1","Crime","Andhra Pradesh","India",TRUE
"45","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-19 20:08:08","TRUE","359","0","1","Crime","Andhra Pradesh","India",TRUE
"46","RT @bindu_aj: @benwikler @SaveH4EADs h1b H1Bfraud h4EAD h4fraud Fake degrees used to gain employment by Indian engineers
 ","2018-07-19 18:38:32","TRUE","5","0","0","Crime","Andhra Pradesh","India",FALSE
"47","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-19 18:33:07","TRUE","359","0","1","Crime","Andhra Pradesh","India",TRUE
"48","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-19 16:30:49","TRUE","359","0","1","Crime","Andhra Pradesh","India",TRUE
"49","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-19 16:11:08","TRUE","359","0","1","Crime","Andhra Pradesh","India",TRUE
"50","RT @bindu_aj: @benwikler @SaveH4EADs h1b H1Bfraud h4EAD h4fraud Fake degrees used to gain employment by Indian engineers
 ","2018-07-19 15:42:08","TRUE","5","0","0","Crime","Andhra Pradesh","India",TRUE
"51","RT @bindu_aj: @benwikler @SaveH4EADs h1b H1Bfraud h4EAD h4fraud Fake degrees used to gain employment by Indian engineers
 ","2018-07-19 15:18:04","TRUE","5","0","0","Crime","Andhra Pradesh","India",TRUE
"52","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-19 15:05:38","TRUE","359","0","1","Crime","Andhra Pradesh","India",TRUE
"53","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-19 13:49:57","TRUE","359","0","1","Crime","Andhra Pradesh","India",TRUE
"54","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-19 13:40:07","TRUE","359","0","1","Crime","Andhra Pradesh","India",TRUE
"55","RT @bindu_aj: @benwikler @SaveH4EADs h1b H1Bfraud h4EAD h4fraud Fake degrees used to gain employment by Indian engineers
 ","2018-07-19 13:32:27","TRUE","5","0","0","Crime","Andhra Pradesh","India",TRUE
"56","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-19 13:18:04","TRUE","359","0","1","Crime","Andhra Pradesh","India",TRUE
"57","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-19 13:10:37","TRUE","359","0","1","Crime","Andhra Pradesh","India",TRUE
"58","@benwikler @SaveH4EADs h1b H1Bfraud h4EAD h4fraud Fake degrees used to gain employment by Indian engineers  ","2018-07-19 11:57:18","FALSE","5","5","0","Crime","Andhra Pradesh","India",FALSE
"59","Easy access to pornography is being blamed for increase in crimes against girls and children. But is it the only re  ","2018-07-19 11:46:00","FALSE","0","1","1","Crime","Andhra Pradesh","India",FALSE
"60","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-19 09:45:27","TRUE","359","0","1","Crime","Andhra Pradesh","India",TRUE
"61","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-19 08:20:01","TRUE","359","0","1","Crime","Andhra Pradesh","India",TRUE
"62","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-19 07:35:48","TRUE","359","0","1","Crime","Andhra Pradesh","India",TRUE
"63","RT @rishibagree: Govt tactically allowed Parliament to take up No Confidence Motion in MonsoonSession because it will enable PM Modi to re","2018-07-19 07:00:55","TRUE","359","0","1","Crime","Andhra Pradesh","India",TRUE
