"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @PiramalSarvajal: Asian Paints adopted a village of Lovapallam,Andhra Pradesh to provide safe drinking water facility to the villagers.","2018-07-28 04:22:38","TRUE","2","0","1","Crime","Andhra Pradesh","India",FALSE
"2","RT @PiramalSarvajal: Asian Paints adopted a village of Lovapallam,Andhra Pradesh to provide safe drinking water facility to the villagers.","2018-07-27 13:05:21","TRUE","2","0","1","Crime","Andhra Pradesh","India",TRUE
"3","Met Andhra Fisheries Commr today. Reiterated our stand that formalin treated fish will not be permitted to be sold  ","2018-07-27 12:50:00","FALSE","0","32","0","Crime","Andhra Pradesh","India",FALSE
"4","Asian Paints adopted a village of Lovapallam,Andhra Pradesh to provide safe drinking water facility to the villager  ","2018-07-27 12:37:46","FALSE","2","3","1","Crime","Andhra Pradesh","India",FALSE
"5","Formalin Scare | Fish safe for consumption: Andhra Pradesh experts in Guwahati:  ","2018-07-25 16:20:52","FALSE","0","2","0","Crime","Andhra Pradesh","India",FALSE
"6","In January 2009, YSR stayed away from Raju till market regulator Sebi decided to question him. The minute the Andhr  ","2018-07-25 03:58:42","FALSE","0","0","0","Crime","Andhra Pradesh","India",FALSE
"7","Sri Murugan &amp; Co (Iron Safe Locker) Manufacturers/Safety Locker Manu..For more info visit... ","2018-07-23 10:47:31","FALSE","0","0","1","Crime","Andhra Pradesh","India",FALSE
"8","@PawanKalyan You don't worry welfare of people of Andhra Pradesh will safe and taken care by CBN Garu","2018-07-22 15:13:32","FALSE","0","0","0","Crime","Andhra Pradesh","India",FALSE
"9","@chandrasanaka @JanaSenaParty @PawanKalyan Without saying how these leaders including Jagan Pavan and CBN can safe  ","2018-07-22 14:39:51","FALSE","0","0","1","Crime","Andhra Pradesh","India",FALSE
"10","RT @Gidsey: Like cycling and adventure? Join me and @frankwater on a trip of a lifetime on the cycleforsafewater event in Andhra Pradesh,","2018-07-22 08:59:39","TRUE","3","0","1","Crime","Andhra Pradesh","India",FALSE
"11","@be3c2986f3a14f2 We assure you that your details are safe with us, kindly share your phone number and account detai  ","2018-07-22 06:14:03","FALSE","0","0","3","Crime","Andhra Pradesh","India",FALSE
"12","RT @PudikalaVinay: @rammadhavbjp Sir I'm from Andhra Pradesh, MODI sir doing an excellent development across the country,sir I want to work","2018-07-21 17:37:46","TRUE","3","0","2","Crime","Andhra Pradesh","India",FALSE
"13","RT @PudikalaVinay: @rammadhavbjp Sir I'm from Andhra Pradesh, MODI sir doing an excellent development across the country,sir I want to work","2018-07-21 06:29:45","TRUE","3","0","2","Crime","Andhra Pradesh","India",TRUE
"14","RT @PudikalaVinay: @rammadhavbjp Sir I'm from Andhra Pradesh, MODI sir doing an excellent development across the country,sir I want to work","2018-07-20 17:36:14","TRUE","3","0","2","Crime","Andhra Pradesh","India",TRUE
"15","Malkangiri: 4 journalists allegedly involved in ganja trafficking racket arrested by Kalimela police; accused repor  ","2018-07-20 14:21:03","FALSE","0","13","0","Crime","Andhra Pradesh","India",FALSE
"16","@rammadhavbjp Sir I'm from Andhra Pradesh, MODI sir doing an excellent development across the country,sir I want to  ","2018-07-20 14:12:11","FALSE","3","17","1","Crime","Andhra Pradesh","India",FALSE
"17","@news7tamil @RahulGandhi @PMOIndia @INCIndia @BJP4India Anyway, union Govt., is safe..Tis no motion confidence was  ","2018-07-20 11:52:05","FALSE","0","0","1","Crime","Andhra Pradesh","India",FALSE
"18","@SAND3EPKR @ABankOfficial This shouldnt have happened. Thank you for sharing the required details. We request you  ","2018-07-19 09:51:24","FALSE","0","0","1","Crime","Andhra Pradesh","India",FALSE
"19","@ncbn Liar!
 ","2018-07-19 09:27:03","FALSE","0","0","-1","Crime","Andhra Pradesh","India",FALSE
"20","@RBI  Horrible experience following  with Andhra bank  on Fraudelently  Money withdrawn through atm in delhi on 10t  ","2018-07-19 08:45:30","FALSE","0","0","-1","Crime","Andhra Pradesh","India",FALSE
