"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 17:31:04","TRUE","70","0","1","Culture","Andhra Pradesh","India",FALSE
"2","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 15:48:13","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"3","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 15:29:41","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"4","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 15:16:02","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"5","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 12:52:38","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"6","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 11:27:19","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"7","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 11:05:08","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"8","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 10:24:22","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"9","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 10:20:02","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"10","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 10:07:55","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"11","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 09:56:06","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"12","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 09:51:30","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"13","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 09:05:37","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"14","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 07:33:13","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"15","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 05:06:08","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"16","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 04:36:18","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"17","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 04:28:13","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"18","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 04:16:18","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"19","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 04:01:23","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"20","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 03:51:18","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"21","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 03:44:18","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"22","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 03:40:42","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"23","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 03:02:39","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"24","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 03:02:08","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"25","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 02:21:23","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"26","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 02:12:09","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"27","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 01:59:59","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"28","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 01:16:24","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"29","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 01:03:01","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"30","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 00:58:40","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"31","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 00:43:21","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"32","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 00:35:18","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"33","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 00:33:51","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"34","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 00:06:28","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"35","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-28 00:06:06","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"36","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 22:36:47","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"37","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 22:08:05","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"38","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 21:39:57","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"39","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 21:30:19","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"40","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 21:20:01","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"41","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 21:01:23","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"42","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 19:30:17","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"43","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 19:00:02","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"44","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 18:54:08","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"45","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 18:50:20","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"46","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 18:29:31","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"47","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 18:17:06","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"48","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 17:47:44","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"49","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 17:20:43","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"50","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 17:15:40","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"51","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 17:05:07","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"52","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 16:56:13","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"53","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 16:15:39","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"54","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 15:50:21","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"55","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 15:40:55","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"56","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 15:33:47","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"57","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 15:06:09","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"58","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 14:41:25","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"59","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 14:40:53","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"60","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 13:02:06","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"61","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 12:43:31","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"62","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 12:30:32","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"63","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 12:07:24","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"64","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 12:02:16","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"65","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 11:48:30","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"66","RT @IMVoyager: Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 11:37:26","TRUE","70","0","1","Culture","Andhra Pradesh","India",TRUE
"67","Project Sanskriti - A Sustainable Tourism Initiative In Andhra Pradesh, India  ","2018-07-27 11:37:02","FALSE","70","52","1","Culture","Andhra Pradesh","India",FALSE
"68","@YeddSidd @drkarthik_n If difference in culture is the basis for forming states then India will have more than 100  ","2018-07-27 10:06:31","FALSE","0","0","0","Culture","Andhra Pradesh","India",FALSE
"69","RT @AndhraPortal: As explained in this thread, not coincidental that Karnataka, Andhra, &amp; Maharashtra are focus of bifurcation. BIF wan","2018-07-27 02:53:53","TRUE","3","0","0","Culture","Andhra Pradesh","India",FALSE
"70","In YehPyaarNahiTohKyaHai female lead family belongs to Andhra I mean telugu ppl I always wanted to watch how they  ","2018-07-27 02:42:38","FALSE","0","3","1","Culture","Andhra Pradesh","India",FALSE
"71","RT @AndhraPortal: As explained in this thread, not coincidental that Karnataka, Andhra, &amp; Maharashtra are focus of bifurcation. BIF wan","2018-07-27 02:13:36","TRUE","3","0","0","Culture","Andhra Pradesh","India",TRUE
"72","RT @AndhraPortal: As explained in this thread, not coincidental that Karnataka, Andhra, &amp; Maharashtra are focus of bifurcation. BIF wan","2018-07-27 01:59:59","TRUE","3","0","0","Culture","Andhra Pradesh","India",TRUE
"73","As explained in this thread, not coincidental that Karnataka, Andhra, &amp; Maharashtra are focus of bifurcation.  ","2018-07-27 01:42:07","FALSE","3","1","0","Culture","Andhra Pradesh","India",FALSE
"74","Yes. People no longer hate CONgress. They despise it. Its culture of rioting, lynching,lying, looting, abusing -par  ","2018-07-25 20:18:10","FALSE","0","0","-2","Culture","Andhra Pradesh","India",FALSE
"75","@Swamy39 I am your biggest fan from andhra sir long life to you and our hindu culture","2018-07-25 09:13:29","FALSE","0","0","0","Culture","Andhra Pradesh","India",FALSE
"76","RT @indiasamvad_: Hindu saints announce padayatra from Vijayawada to Tirupati from July 29 against the state government in Andhra Pradesh
h","2018-07-24 05:41:29","TRUE","1","0","0","Culture","Andhra Pradesh","India",FALSE
"77","Hindu saints announce padayatra from Vijayawada to Tirupati from July 29 against the state government in Andhra Pra  ","2018-07-24 05:37:12","FALSE","1","2","0","Culture","Andhra Pradesh","India",FALSE
"78","RT @RediAshok: @KTRTRS  The one Nd only politician I respect &amp; took as a inspiration ,and feel proud of him for representing our telugu peo","2018-07-24 05:33:05","TRUE","1","0","3","Culture","Andhra Pradesh","India",FALSE
"79","@KTRTRS  The one Nd only politician I respect &amp; took as a inspiration ,and feel proud of him for representing our t  ","2018-07-24 05:26:35","FALSE","1","0","3","Culture","Andhra Pradesh","India",FALSE
"80","Popular for art and culture, Tenali municipality is often referred to as Andhra Paris. Artists have been engaged  ","2018-07-24 04:15:05","FALSE","0","0","1","Culture","Andhra Pradesh","India",FALSE
"81","RT @veejaysai: That is vintage @ncbn garu, just before he politically backstabbed his father in law NTR garu. After that he continued backs","2018-07-23 23:46:04","TRUE","9","0","0","Culture","Andhra Pradesh","India",FALSE
"82","RT vallikumari: make in Andhra makers exhibition workshops culture scientists tinkers innovators ap_innovat  ","2018-07-23 19:47:39","FALSE","0","0","0","Culture","Andhra Pradesh","India",FALSE
"83","RT @vallikumari: @make in Andhra makers exhibition workshops culture scientists tinkers innovators @ap_innovation  ","2018-07-23 19:44:10","TRUE","1","0","0","Culture","Andhra Pradesh","India",FALSE
"84","@Angelindavenci @yogeee123 @ikamalhaasan In Telugu they show smoking room conversation too, romance, ... Do u think  ","2018-07-23 12:08:19","FALSE","0","1","0","Culture","Andhra Pradesh","India",FALSE
"85","RT @veejaysai: That is vintage @ncbn garu, just before he politically backstabbed his father in law NTR garu. After that he continued backs","2018-07-23 11:41:53","TRUE","9","0","0","Culture","Andhra Pradesh","India",TRUE
"86","@make in Andhra makers exhibition workshops culture scientists tinkers innovators @ap_innovation  ","2018-07-23 09:27:18","FALSE","1","2","0","Culture","Andhra Pradesh","India",FALSE
"87","RT @veejaysai: That is vintage @ncbn garu, just before he politically backstabbed his father in law NTR garu. After that he continued backs","2018-07-23 08:08:34","TRUE","9","0","0","Culture","Andhra Pradesh","India",TRUE
"88","RT @veejaysai: That is vintage @ncbn garu, just before he politically backstabbed his father in law NTR garu. After that he continued backs","2018-07-23 04:31:20","TRUE","9","0","0","Culture","Andhra Pradesh","India",TRUE
"89","RT @veejaysai: That is vintage @ncbn garu, just before he politically backstabbed his father in law NTR garu. After that he continued backs","2018-07-23 03:58:06","TRUE","9","0","0","Culture","Andhra Pradesh","India",TRUE
"90","RT @veejaysai: That is vintage @ncbn garu, just before he politically backstabbed his father in law NTR garu. After that he continued backs","2018-07-23 02:24:50","TRUE","9","0","0","Culture","Andhra Pradesh","India",TRUE
"91","RT @veejaysai: That is vintage @ncbn garu, just before he politically backstabbed his father in law NTR garu. After that he continued backs","2018-07-23 01:47:49","TRUE","9","0","0","Culture","Andhra Pradesh","India",TRUE
"92","RT @veejaysai: That is vintage @ncbn garu, just before he politically backstabbed his father in law NTR garu. After that he continued backs","2018-07-23 01:46:47","TRUE","9","0","0","Culture","Andhra Pradesh","India",TRUE
"93","RT @veejaysai: That is vintage @ncbn garu, just before he politically backstabbed his father in law NTR garu. After that he continued backs","2018-07-22 14:10:52","TRUE","9","0","0","Culture","Andhra Pradesh","India",TRUE
"94","That is vintage @ncbn garu, just before he politically backstabbed his father in law NTR garu. After that he contin  ","2018-07-22 11:24:22","FALSE","9","18","0","Culture","Andhra Pradesh","India",FALSE
"95","RT @SouthSanghi: What Kesineni Srinivas said after the PM Modis speech perfecty reflects the TDP (Coastal Andhra)culture.
NoCofidenceMoti","2018-07-21 12:57:14","TRUE","3","0","0","Culture","Andhra Pradesh","India",FALSE
"96","RT @SouthSanghi: What Kesineni Srinivas said after the PM Modis speech perfecty reflects the TDP (Coastal Andhra)culture.
NoCofidenceMoti","2018-07-20 19:24:21","TRUE","3","0","0","Culture","Andhra Pradesh","India",TRUE
"97","RT @SouthSanghi: What Kesineni Srinivas said after the PM Modis speech perfecty reflects the TDP (Coastal Andhra)culture.
NoCofidenceMoti","2018-07-20 17:44:54","TRUE","3","0","0","Culture","Andhra Pradesh","India",TRUE
"98","What Kesineni Srinivas said after the PM Modis speech perfecty reflects the TDP (Coastal Andhra)culture.
NoCofidenceMotion","2018-07-20 17:35:31","FALSE","3","8","0","Culture","Andhra Pradesh","India",FALSE
"99","No wonder Telangana went away...these Andhra people have no culture...CBN is a shame","2018-07-20 16:56:39","FALSE","0","0","0","Culture","Andhra Pradesh","India",FALSE
"100","India IncredibleIndia Time_and_again_Excursions
Discover the secret charm of Andhra Pradesh. Soak in its natural  ","2018-07-20 11:45:12","FALSE","0","0","1","Culture","Andhra Pradesh","India",FALSE
"101","@ncbn TDP MP'S SHOULD LEARN FROM LKG STUDENTS.PEOPLE OF ANDHRA SHOULD CAREFUL WHILE SELECTING THEIR LEADERS.THESE T  ","2018-07-20 11:03:15","FALSE","0","0","0","Culture","Andhra Pradesh","India",FALSE
"102","RT @SBudhireddi: @hustler243 @GonguraTheGreat @smitaprakash 
I am so sorry Smita Ji, being Editor u r using the world MADRASI'S.
Pathetic.","2018-07-20 10:34:11","TRUE","2","0","-2","Culture","Andhra Pradesh","India",FALSE
"103","@Anonymo2468 @vasudha_ET @rishibagree @ncbn Yes it matters to me because it is my state !! Ruled by kings who broug  ","2018-07-20 09:53:36","FALSE","0","0","0","Culture","Andhra Pradesh","India",FALSE
"104","RT @SBudhireddi: @hustler243 @GonguraTheGreat @smitaprakash 
I am so sorry Smita Ji, being Editor u r using the world MADRASI'S.
Pathetic.","2018-07-20 09:28:12","TRUE","2","0","-2","Culture","Andhra Pradesh","India",TRUE
"105","@hustler243 @GonguraTheGreat @smitaprakash 
I am so sorry Smita Ji, being Editor u r using the world MADRASI'S.
Pat  ","2018-07-20 08:24:57","FALSE","2","5","-2","Culture","Andhra Pradesh","India",FALSE
"106","@kailashwg @loksabhatv High time kick this antihindu Italian Christins thief from Hindustan,mob Lynching in Kerala  ","2018-07-19 14:57:32","FALSE","0","0","0","Culture","Andhra Pradesh","India",FALSE
"107","@Troll_Tollywood @sairazesh Anna canteen ani cheppi full ga Colours and pics eh ga.. Avi maanesi Andhra culture pet  ","2018-07-19 14:39:26","FALSE","0","1","0","Culture","Andhra Pradesh","India",FALSE
"108","@Oommen_Chandy @ShashiTharoor @INCIndia @INC_Andhra The statement from Mr. Tharoor is a sheer insult to Hindu cultu  ","2018-07-19 07:29:43","FALSE","0","0","-1","Culture","Andhra Pradesh","India",FALSE
