"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@samirsng @ndtv Sahi baat hai apki  Lekin Kiya Apne ek Baat notice Kara hai
Telangana state or Andhra Pradesh or Ta  ","2018-07-28 16:20:23","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"2","Hon'ble  ","2018-07-28 16:06:53","FALSE","0","1","0","Education","Andhra Pradesh","India",FALSE
"3","26 07 2018  UTv News Odisha Education Minister Visit Andhra Odia Schools  ","2018-07-28 12:29:27","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"4","RT @APadipati: Andhra Pradesh asks, If you can spend so much on Bullet trains, why cant you spend on our education?  APDharmaporatam CBN","2018-07-28 07:36:21","TRUE","1","0","0","Education","Andhra Pradesh","India",FALSE
"5","Chief of Army Staff apprised of Andhra University defence education project
ChiefArmy AndhraUniversity  ","2018-07-28 07:30:11","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"6","Andhra Pradesh asks, If you can spend so much on Bullet trains, why cant you spend on our education?  ","2018-07-28 07:28:18","FALSE","1","0","0","Education","Andhra Pradesh","India",FALSE
"7","RT @DefencePost: Chief Of Army Staff Apprised Of @andhrauniversit Defence education project 
 ","2018-07-28 06:14:33","TRUE","1","0","0","Education","Andhra Pradesh","India",FALSE
"8","@ktrtrs
 ","2018-07-28 06:09:38","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"9","Chief Of Army Staff Apprised Of @andhrauniversit Defence education project 
 ","2018-07-28 05:57:28","FALSE","1","0","0","Education","Andhra Pradesh","India",FALSE
"10","Enrolment in higher education goes up; Karnataka, Andhra record best pupil-teacher ratio
  ","2018-07-28 05:22:33","FALSE","0","0","1","Education","Andhra Pradesh","India",FALSE
"11","Chief of Army Staff apprised of Andhra University defence education project
 ","2018-07-28 03:15:45","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"12","@PawanKalyan sir,
one of my friend's family lost all their property her parents were now not even in a position to  ","2018-07-28 03:14:59","FALSE","0","1","-1","Education","Andhra Pradesh","India",FALSE
"13","@upasanakonidela Ma'am
one of my friend's family lost all their property .her parents were now not even in a positi  ","2018-07-28 03:08:34","FALSE","0","1","-1","Education","Andhra Pradesh","India",FALSE
"14","@arunjaitley Hello sir, 
My sister has to avail an educational loan from Andhra Bank for her higher education.  The  ","2018-07-27 14:58:22","FALSE","0","2","0","Education","Andhra Pradesh","India",FALSE
"15","RT @anbu4genes: Amazing booklet made for students by Higher education dept, Govt. Of Andhra @AndhraPradeshCM @RUSA_Andhra @ncbn. Such an ou","2018-07-27 14:32:21","TRUE","1","0","1","Education","Andhra Pradesh","India",FALSE
"16","Akashavani News | Andhra Pradesh Current Affairs July 25, 2018 (25-07-2018) | MyFi Education:  ","2018-07-27 13:21:54","FALSE","0","1","0","Education","Andhra Pradesh","India",FALSE
"17","Akashavani News | Andhra Pradesh Current Affairs July 24, 2018 (24-07-2018) | MyFi Education:  ","2018-07-27 13:18:01","FALSE","0","1","0","Education","Andhra Pradesh","India",FALSE
"18","Akashavani News | Andhra Pradesh Current Affairs July 23, 2018 (23-07-2018) | MyFi Education:  ","2018-07-27 12:54:20","FALSE","0","1","0","Education","Andhra Pradesh","India",FALSE
"19","     @otvkhabar  ","2018-07-27 12:13:00","FALSE","0","2","0","Education","Andhra Pradesh","India",FALSE
"20","RT @asianet_telugu:      ","2018-07-27 10:41:06","TRUE","2","0","0","Education","Andhra Pradesh","India",FALSE
"21","RT @asianet_telugu:      ","2018-07-27 09:59:25","TRUE","2","0","0","Education","Andhra Pradesh","India",TRUE
"22","     ","2018-07-27 09:58:03","FALSE","2","4","0","Education","Andhra Pradesh","India",FALSE
"23","A biotech student pursuing his bachelors in India asked if he could go abroad for his masters. Read the full answer  ","2018-07-27 04:45:04","FALSE","0","0","1","Education","Andhra Pradesh","India",FALSE
"24","A biotech student pursuing his bachelors in India asked if he could go abroad for his masters. Read the full answer  ","2018-07-27 04:37:03","FALSE","0","0","1","Education","Andhra Pradesh","India",TRUE
"25","@PrakashJavdekar Respected sir, I am from Andhra Pradesh. Working as Inclusive Education Resource Teacher. The Govt  ","2018-07-26 15:37:54","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"26","Amazing booklet made for students by Higher education dept, Govt. Of Andhra @AndhraPradeshCM @RUSA_Andhra @ncbn. Su  ","2018-07-26 15:33:26","FALSE","1","1","1","Education","Andhra Pradesh","India",FALSE
"27","@PrakashJavdekar Respected sir, I am from Andhra Pradesh. Working as Inclusive Education Resource Teacher. The Govt  ","2018-07-26 15:30:34","FALSE","0","0","0","Education","Andhra Pradesh","India",TRUE
"28","@naralokesh why @ncbn wants to be clubbed with states which only want dole  from centre? Andhra has education, exc  ","2018-07-25 13:54:35","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"29","APPSC Mandal Education Officer Answer Key 2018 Andhra Pradesh MEO Paper Solutions check Cutoff  ","2018-07-25 12:35:44","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"30","Akashavani News | Andhra Pradesh Current Affairs July 22, 2018 (22-07-2018) | MyFi Education:  ","2018-07-25 05:00:11","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"31","AP Inter 2nd Year Vocational Results 2018
 ","2018-07-24 09:58:21","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"32","Former education minister demands creation of 'Happiness Department' in Bihar on line of Madhya Pradesh, Andhra Pra  ","2018-07-23 17:48:52","FALSE","0","0","1","Education","Andhra Pradesh","India",FALSE
"33","Former education minister demands creation of 'Happiness Department' in Bihar on line of Madhya Pradesh, Andhra Pra  ","2018-07-23 16:32:04","FALSE","0","1","1","Education","Andhra Pradesh","India",TRUE
"34","RT @TOIIndiaNews: Former education minister demands creation of 'Happiness Department' in Bihar on line of Madhya Pradesh, Andhra Pradesh h","2018-07-23 16:31:41","TRUE","1","0","1","Education","Andhra Pradesh","India",FALSE
"35","Former education minister demands creation of 'Happiness Department' in Bihar on line of Madhya Pradesh, Andhra Pra  ","2018-07-23 16:30:36","FALSE","1","5","1","Education","Andhra Pradesh","India",TRUE
"36","RT @Andrew007Uk: More of less to the minute it is one year since I arrived in Hyderabad to take up the post of British High Commissioner to","2018-07-23 15:02:44","TRUE","6","0","0","Education","Andhra Pradesh","India",FALSE
