"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1"," ","2018-07-28 11:17:08","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"2","Enrolment in higher education goes up; Karnataka, Andhra record best pupil-teacher ratio
  ","2018-07-28 05:22:33","FALSE","0","0","1","Education","Andhra Pradesh","India",FALSE
"3","IBDP Psycology Teacher-International School-Hyderabad: 9T9 Technology Solutions - Hyderabad, Telangana - Andhra Pra  ","2018-07-27 06:21:05","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"4","women having sex sexsys andhra teacher sex petite nude photos amateur busty pics pakistani sexygirl with   ","2018-07-26 15:57:30","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"5","@PrakashJavdekar Respected sir, I am from Andhra Pradesh. Working as Inclusive Education Resource Teacher. The Govt  ","2018-07-26 15:37:54","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"6","@PrakashJavdekar Respected sir, I am from Andhra Pradesh. Working as Inclusive Education Resource Teacher. The Govt  ","2018-07-26 15:30:34","FALSE","0","0","0","Education","Andhra Pradesh","India",TRUE
"7","RT @TechNoahLogy: Im so INSPIRED meeting every single engineer on my team &amp; hearing all their unique stories, families, cultures, struggle","2018-07-25 03:37:20","TRUE","3","0","-1","Education","Andhra Pradesh","India",FALSE
"8","RT @TechNoahLogy: Im so INSPIRED meeting every single engineer on my team &amp; hearing all their unique stories, families, cultures, struggle","2018-07-24 23:14:05","TRUE","3","0","-1","Education","Andhra Pradesh","India",TRUE
"9","RT @TechNoahLogy: Im so INSPIRED meeting every single engineer on my team &amp; hearing all their unique stories, families, cultures, struggle","2018-07-24 22:27:35","TRUE","3","0","-1","Education","Andhra Pradesh","India",TRUE
"10","Im so INSPIRED meeting every single engineer on my team &amp; hearing all their unique stories, families, cultures, st  ","2018-07-24 22:24:22","FALSE","3","34","0","Education","Andhra Pradesh","India",FALSE
"11","A teacher in Andhra Pradesh, briefing how to write English words easily. 
Parents &amp; teachers can follow this simple  ","2018-07-24 05:36:55","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"12","@ncbn Namasthe sir, I'm Srikrishna, a college teacher working in Mumbai migrated from Andhra Pradesh. I'm an ardent  ","2018-07-24 05:09:40","FALSE","0","0","1","Education","Andhra Pradesh","India",FALSE
"13","What does the school mean by counselling by teacher. Next the Andhra Education minister will need counselling !!! -  ","2018-07-22 13:31:42","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"14","Teacher : Replace 'Kamma' with 'Andhra' and form a sentence.

Kammanaina Student :  ","2018-07-21 11:19:59","FALSE","0","2","0","Education","Andhra Pradesh","India",FALSE
"15","Biology Teacher At Nellore AndhraPradesh  ","2018-07-21 07:50:00","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"16","A teacher in interior Andhra Pradesh teaching how to write English, which I think even the scholars in Oxford haven  ","2018-07-21 07:11:26","FALSE","0","1","0","Education","Andhra Pradesh","India",FALSE
"17","Municipal teachers cry foul over awards selection panels..  ","2018-07-19 22:39:51","FALSE","0","0","-1","Education","Andhra Pradesh","India",FALSE
"18","*In-service Teacher Training - Needs Identification (TNI) Survey*
 SCERT - Andhra Pradesh  Amaravati  Survey on  ","2018-07-19 00:22:28","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
