"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Regional Sales Manager: Yes Property Ventures Pvt. Ltd - Hyderabad, Telangana - Andhra Pradesh - Manage your client  ","2018-07-28 06:57:06","FALSE","0","0","0","Real Estate Value","Andhra Pradesh","India",FALSE
"2","@PawanKalyan sir,
one of my friend's family lost all their property her parents were now not even in a position to  ","2018-07-28 03:14:59","FALSE","0","1","-1","Real Estate Value","Andhra Pradesh","India",FALSE
"3","@upasanakonidela Ma'am
one of my friend's family lost all their property .her parents were now not even in a positi  ","2018-07-28 03:08:34","FALSE","0","1","-1","Real Estate Value","Andhra Pradesh","India",FALSE
"4","If you want to reject my ability of saving of the planet Earth, you can collect the total global property from the  ","2018-07-27 00:34:51","FALSE","0","0","-1","Real Estate Value","Andhra Pradesh","India",FALSE
"5","RT @digitaldutta: Are you paying property tax, water bills, advertisement tax in Andhra Pradesh? Well the government has been publishing al","2018-07-25 21:44:36","TRUE","178","0","1","Real Estate Value","Andhra Pradesh","India",FALSE
"6","MumbaiBandh Political parties call for Bandh and yesterday in Andhra Pradesh today in Mumbai public property destr  ","2018-07-25 06:44:56","FALSE","0","0","0","Real Estate Value","Andhra Pradesh","India",FALSE
"7","Emergency OdishaPolice 
Someone trying to occupying ANDHRA MAHILA MANDIR,berhampur.
Caretaker of property clams t  ","2018-07-24 06:09:59","FALSE","0","0","-1","Real Estate Value","Andhra Pradesh","India",FALSE
"8","@Oommen_Chandy @INCIndia @INC_Andhra AP division is the best example of how not 2 divide a joint family. Even the m  ","2018-07-23 10:01:59","FALSE","0","0","1","Real Estate Value","Andhra Pradesh","India",FALSE
"9","India  Technology Blockchain is being used to avoid all the corruption during the execution of property deals.  ","2018-07-22 01:50:36","FALSE","0","0","-1","Real Estate Value","Andhra Pradesh","India",FALSE
"10","@News18India @ncbn @narendramodi U n Lokesh made Andhra as ur personal property.","2018-07-21 11:37:24","FALSE","0","0","0","Real Estate Value","Andhra Pradesh","India",FALSE
"11","RT @cryptokanoon: Amravati, the new capital of Andhra Pradesh is being built using Blockchain for land registries. Later it could be used f","2018-07-19 16:51:37","TRUE","21","0","0","Real Estate Value","Andhra Pradesh","India",FALSE
"12","RT @cryptokanoon: Amravati, the new capital of Andhra Pradesh is being built using Blockchain for land registries. Later it could be used f","2018-07-19 15:16:52","TRUE","21","0","0","Real Estate Value","Andhra Pradesh","India",TRUE
"13","RT @cryptokanoon: Amravati, the new capital of Andhra Pradesh is being built using Blockchain for land registries. Later it could be used f","2018-07-19 15:10:36","TRUE","21","0","0","Real Estate Value","Andhra Pradesh","India",TRUE
"14","RT @cryptokanoon: Amravati, the new capital of Andhra Pradesh is being built using Blockchain for land registries. Later it could be used f","2018-07-19 12:33:06","TRUE","21","0","0","Real Estate Value","Andhra Pradesh","India",TRUE
