"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","APSRTC  Andhra Pradesh State Road Transport Corporation About Andhra Pradesh State Road Transport  ","2018-07-28 08:34:15","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
"2","Andhra Pradesh Vehicle Registration About Transport and Vehicle Registration Procedure in the state of Andhra Prade  ","2018-07-28 08:34:14","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
"3","RT @ramprasad_c: Modi responsible for losses incurred by Andhras state road transport corporation. For the record, its been in losses f","2018-07-26 09:14:40","TRUE","10","0","-2","Transportation","Andhra Pradesh","India",FALSE
"4","RT @pavanmirror: N Ravindranath Reddy, a constable in transport Dept in Andhra's Anantapur Dist was found possessing disproportionate asset","2018-07-25 14:36:52","TRUE","3","0","-1","Transportation","Andhra Pradesh","India",FALSE
"5","RT @pavanmirror: N Ravindranath Reddy, a constable in transport Dept in Andhra's Anantapur Dist was found possessing disproportionate asset","2018-07-25 12:51:52","TRUE","3","0","-1","Transportation","Andhra Pradesh","India",TRUE
"6","""My father worked in the state road transport cooperation and he ran a family of 12 with his...

Full Story &gt;&gt;  ","2018-07-25 11:19:48","FALSE","0","3","1","Transportation","Andhra Pradesh","India",FALSE
"7","RT @pavanmirror: N Ravindranath Reddy, a constable in transport Dept in Andhra's Anantapur Dist was found possessing disproportionate asset","2018-07-24 20:10:43","TRUE","3","0","-1","Transportation","Andhra Pradesh","India",TRUE
"8","        ","2018-07-24 18:09:07","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
"9","N Ravindranath Reddy, a constable in transport Dept in Andhra's Anantapur Dist was found possessing disproportionat  ","2018-07-24 11:24:18","FALSE","3","0","0","Transportation","Andhra Pradesh","India",FALSE
"10","RT @News18TamilNadu:       ...
   ...

 ","2018-07-24 09:59:40","TRUE","2","0","0","Transportation","Andhra Pradesh","India",FALSE
"11","RT @News18TamilNadu:       ...
   ...

 ","2018-07-24 08:54:46","TRUE","2","0","0","Transportation","Andhra Pradesh","India",TRUE
"12","      ...
   ...  ","2018-07-24 08:53:32","FALSE","2","14","0","Transportation","Andhra Pradesh","India",FALSE
"13","RT @ramprasad_c: Modi responsible for losses incurred by Andhras state road transport corporation. For the record, its been in losses f","2018-07-24 04:17:04","TRUE","10","0","-2","Transportation","Andhra Pradesh","India",TRUE
"14","RT @ramprasad_c: Modi responsible for losses incurred by Andhras state road transport corporation. For the record, its been in losses f","2018-07-24 03:01:40","TRUE","10","0","-2","Transportation","Andhra Pradesh","India",TRUE
"15","RT @ramprasad_c: Modi responsible for losses incurred by Andhras state road transport corporation. For the record, its been in losses f","2018-07-24 02:57:15","TRUE","10","0","-2","Transportation","Andhra Pradesh","India",TRUE
"16","RT @ramprasad_c: Modi responsible for losses incurred by Andhras state road transport corporation. For the record, its been in losses f","2018-07-24 02:50:22","TRUE","10","0","-2","Transportation","Andhra Pradesh","India",TRUE
"17","RT @ramprasad_c: Modi responsible for losses incurred by Andhras state road transport corporation. For the record, its been in losses f","2018-07-24 02:36:08","TRUE","10","0","-2","Transportation","Andhra Pradesh","India",TRUE
"18","RT @ramprasad_c: Modi responsible for losses incurred by Andhras state road transport corporation. For the record, its been in losses f","2018-07-24 02:22:56","TRUE","10","0","-2","Transportation","Andhra Pradesh","India",TRUE
"19","RT @ramprasad_c: Modi responsible for losses incurred by Andhras state road transport corporation. For the record, its been in losses f","2018-07-24 02:19:54","TRUE","10","0","-2","Transportation","Andhra Pradesh","India",TRUE
"20","RT @ramprasad_c: Modi responsible for losses incurred by Andhras state road transport corporation. For the record, its been in losses f","2018-07-24 02:08:37","TRUE","10","0","-2","Transportation","Andhra Pradesh","India",TRUE
"21","RT @ramprasad_c: Modi responsible for losses incurred by Andhras state road transport corporation. For the record, its been in losses f","2018-07-24 01:57:59","TRUE","10","0","-2","Transportation","Andhra Pradesh","India",TRUE
"22","Modi responsible for losses incurred by Andhras state road transport corporation. For the record, its been in l  ","2018-07-24 01:53:45","FALSE","10","19","-1","Transportation","Andhra Pradesh","India",FALSE
"23","Road Transport Corporation union polls on August 9, tough contest on cards  ","2018-07-23 14:52:09","FALSE","0","0","1","Transportation","Andhra Pradesh","India",FALSE
"24","Andhra Transport mogul Kesineni unleashing tollywood barbs on Modi ........NoConfidenceMotion","2018-07-20 17:24:45","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
"25","@HarishOdiaToka So Andhra truck was driving inside Odisha or Andhra when it hit the children ? Does Andhra govt run  ","2018-07-19 13:59:51","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
"26","@PrakashJavdekar @narendramodi @PIB_India Good morning sir 
In Andhra Pradesh,Nellore KendriyaVidyalaya has poor ac  ","2018-07-19 04:06:27","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
