"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Wrt EMS/telecom mfg - Chennai seems to have cornered the market. Andhra, Telangana are states whose names come up a  ","2018-07-28 00:45:19","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
"2","RT @Madhusu71179560: Tamil Nadu,can no longer boast of being the Detroit of Asia, having lost out on a number of auto majors to states like","2018-07-27 04:27:35","TRUE","15","0","0","Transportation","Andhra Pradesh","India",FALSE
"3","RT @Madhusu71179560: Tamil Nadu,can no longer boast of being the Detroit of Asia, having lost out on a number of auto majors to states like","2018-07-26 05:08:39","TRUE","15","0","0","Transportation","Andhra Pradesh","India",TRUE
"4","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-26 00:06:06","TRUE","40","0","1","Transportation","Andhra Pradesh","India",FALSE
"5","RT @BTVI: Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 Cr, Corp Bank: Rs 836 Cr, Andhra Bank: Rs 684.7 Cr","2018-07-25 15:24:59","TRUE","1","0","0","Transportation","Andhra Pradesh","India",FALSE
"6","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 15:17:13","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"7","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 14:55:36","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"8","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 13:51:23","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"9","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 13:29:43","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"10","RT @Madhusu71179560: Tamil Nadu,can no longer boast of being the Detroit of Asia, having lost out on a number of auto majors to states like","2018-07-25 13:28:49","TRUE","15","0","0","Transportation","Andhra Pradesh","India",TRUE
"11","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 13:02:45","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"12","@SumeeVivek @ThEdAaSiNgH @KTRTRS Evadi di andhra needa 

Auto lo umnavadiki leni dola neekenduku antunna
Vadi life  ","2018-07-25 12:34:33","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
"13","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 12:02:05","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"14","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 09:59:45","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"15","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 09:21:59","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"16","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 08:40:04","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"17","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 08:13:30","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"18","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 08:06:43","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"19","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 07:49:38","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"20","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 07:36:18","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"21","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 07:30:51","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"22","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 07:27:38","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"23","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 07:13:10","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
"24","RT @BTVI: NCLT Approves Liberty House Bid For Amtek Auto 

Lenders To Amtek Auto: IDBI Bank: Rs 1,702 Cr, SBI: Rs 1,105 Cr, LIC: Rs 1,036 C","2018-07-25 07:09:12","TRUE","40","0","1","Transportation","Andhra Pradesh","India",TRUE
