"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@DebjaniBhatta20 @rajnathsingh @ANI Change in name does not change the living conditions for Bengalis. Our National  ","2018-07-27 06:03:59","FALSE","0","2","0","Afforadability","Arunachal Pradesh","India",FALSE
"2",".@amitmalviya Wake Up&gt;&gt; Goa,Kerala, West Bengal ,Arunachal Pradesh,  Mizoram, Meghalaya, Nagaland, Tripura, Sikkim.  ","2018-07-25 04:04:41","FALSE","0","0","0","Afforadability","Arunachal Pradesh","India",FALSE
"3","RT @iGyanendraGiri: Good News for traders living in hilly areas: Exemption limit for traders in Assam,
Arunachal Pradesh, Himachal Pradesh,","2018-07-23 07:30:29","TRUE","4","0","0","Afforadability","Arunachal Pradesh","India",FALSE
"4","RT @iGyanendraGiri: Good News for traders living in hilly areas: Exemption limit for traders in Assam,
Arunachal Pradesh, Himachal Pradesh,","2018-07-22 12:30:09","TRUE","4","0","0","Afforadability","Arunachal Pradesh","India",TRUE
"5","RT @vijaita: ""There will be no redrawing of the maps for Assam,Arunachal Pradesh Manipur to merge the Naga inhabited areas for a Greater Na","2018-07-22 12:19:25","TRUE","5","0","0","Afforadability","Arunachal Pradesh","India",FALSE
"6","RT @vijaita: ""There will be no redrawing of the maps for Assam,Arunachal Pradesh Manipur to merge the Naga inhabited areas for a Greater Na","2018-07-22 12:13:10","TRUE","5","0","0","Afforadability","Arunachal Pradesh","India",TRUE
"7","RT @vijaita: ""There will be no redrawing of the maps for Assam,Arunachal Pradesh Manipur to merge the Naga inhabited areas for a Greater Na","2018-07-22 12:12:18","TRUE","5","0","0","Afforadability","Arunachal Pradesh","India",TRUE
"8","RT @vijaita: ""There will be no redrawing of the maps for Assam,Arunachal Pradesh Manipur to merge the Naga inhabited areas for a Greater Na","2018-07-22 12:10:58","TRUE","5","0","0","Afforadability","Arunachal Pradesh","India",TRUE
"9","RT @vijaita: ""There will be no redrawing of the maps for Assam,Arunachal Pradesh Manipur to merge the Naga inhabited areas for a Greater Na","2018-07-22 05:58:14","TRUE","5","0","0","Afforadability","Arunachal Pradesh","India",TRUE
"10","""There will be no redrawing of the maps for Assam,Arunachal Pradesh Manipur to merge the Naga inhabited areas for a  ","2018-07-22 05:55:15","FALSE","5","11","0","Afforadability","Arunachal Pradesh","India",FALSE
"11","RT @iGyanendraGiri: Good News for traders living in hilly areas: Exemption limit for traders in Assam,
Arunachal Pradesh, Himachal Pradesh,","2018-07-22 05:17:31","TRUE","4","0","0","Afforadability","Arunachal Pradesh","India",TRUE
"12","RT @iGyanendraGiri: Good News for traders living in hilly areas: Exemption limit for traders in Assam,
Arunachal Pradesh, Himachal Pradesh,","2018-07-21 18:40:07","TRUE","4","0","0","Afforadability","Arunachal Pradesh","India",TRUE
