"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","(Arunachal Chief Minister seeks to expand NCC units in all state schools) The Indian Wire -  ","2018-07-26 11:39:04","FALSE","0","0","0","Education","Arunachal Pradesh","India",FALSE
"2","NCC Should Be Present In All Schools In Arunachal Pradesh: Pema Khandu :  ","2018-07-25 17:31:18","FALSE","0","0","0","Education","Arunachal Pradesh","India",FALSE
"3","Compartment Students allowed to Join.
MARKS, PERCENTAGE &amp; SUBJECTS DO NOT MATTER!
----------
Free Education by  ","2018-07-25 04:08:37","FALSE","0","0","0","Education","Arunachal Pradesh","India",FALSE
"4","RT @rajagopalcv: They are from Tawang, Arunachal. What language do you speak, I asked. Monpa they said. What do you want to become? Teacher","2018-07-24 07:50:24","TRUE","2","0","0","Education","Arunachal Pradesh","India",FALSE
"5","RT @rajagopalcv: They are from Tawang, Arunachal. What language do you speak, I asked. Monpa they said. What do you want to become? Teacher","2018-07-24 04:01:22","TRUE","2","0","0","Education","Arunachal Pradesh","India",TRUE
"6","RT @Dell4Good: Dell employees joined the dynamic @NatGeo Libecki father-daughter duo on a journey to bring technology &amp; education to a remo","2018-07-24 00:08:17","TRUE","8","0","1","Education","Arunachal Pradesh","India",FALSE
"7","RT @Dell4Good: Dell employees joined the dynamic @NatGeo Libecki father-daughter duo on a journey to bring technology &amp; education to a remo","2018-07-23 23:38:37","TRUE","8","0","1","Education","Arunachal Pradesh","India",TRUE
"8","RT @Dell4Good: Dell employees joined the dynamic @NatGeo Libecki father-daughter duo on a journey to bring technology &amp; education to a remo","2018-07-23 21:27:48","TRUE","8","0","1","Education","Arunachal Pradesh","India",TRUE
"9","RT @Dell4Good: Dell employees joined the dynamic @NatGeo Libecki father-daughter duo on a journey to bring technology &amp; education to a remo","2018-07-23 21:08:29","TRUE","8","0","1","Education","Arunachal Pradesh","India",TRUE
"10","RT @Dell4Good: Dell employees joined the dynamic @NatGeo Libecki father-daughter duo on a journey to bring technology &amp; education to a remo","2018-07-23 17:51:37","TRUE","8","0","1","Education","Arunachal Pradesh","India",TRUE
"11","RT @Dell4Good: Dell employees joined the dynamic @NatGeo Libecki father-daughter duo on a journey to bring technology &amp; education to a remo","2018-07-23 17:19:47","TRUE","8","0","1","Education","Arunachal Pradesh","India",TRUE
"12","They are from Tawang, Arunachal. What language do you speak, I asked. Monpa they said. What do you want to become?  ","2018-07-23 17:18:19","FALSE","2","11","0","Education","Arunachal Pradesh","India",FALSE
"13","RT @Dell4Good: Dell employees joined the dynamic @NatGeo Libecki father-daughter duo on a journey to bring technology &amp; education to a remo","2018-07-23 16:13:22","TRUE","8","0","1","Education","Arunachal Pradesh","India",TRUE
"14","RT @Dell4Good: Dell employees joined the dynamic @NatGeo Libecki father-daughter duo on a journey to bring technology &amp; education to a remo","2018-07-23 14:26:27","TRUE","8","0","1","Education","Arunachal Pradesh","India",TRUE
"15","Dell employees joined the dynamic @NatGeo Libecki father-daughter duo on a journey to bring technology &amp; education  ","2018-07-23 14:00:01","FALSE","8","20","1","Education","Arunachal Pradesh","India",FALSE
"16","RT @DgpPradesh: Arunachal Pradesh Police celebrated IYD &amp; tree plantation at Itanagar today.Hon' ble Chief Minister,Home Min , Power Min, R","2018-07-23 07:50:22","TRUE","21","0","1","Education","Arunachal Pradesh","India",FALSE
"17","REGIONAL | Northeastern universities need to be given greater impetus to promote education, urges Arunachal MP  ","2018-07-21 05:35:01","FALSE","0","1","0","Education","Arunachal Pradesh","India",FALSE
"18","Arunachal: APPSC to suspend internet service during civil service examinations 
 ","2018-07-20 07:04:11","FALSE","0","0","0","Education","Arunachal Pradesh","India",FALSE
"19","A very pleasant reading-

Remembering the Glorious Days ofAssamese-Medium Schools in Arunachal  ","2018-07-20 01:54:11","FALSE","0","0","2","Education","Arunachal Pradesh","India",FALSE
"20","Dear Sir
 our education level is very low in north east reason like Sikkim,asam and arunachal pradesh. I have seen  ","2018-07-19 11:44:42","FALSE","0","0","1","Education","Arunachal Pradesh","India",FALSE
"21","Opening FOR Counselor_Education Industry@15K Itanagar, Arunachal Pradesh  ","2018-07-18 12:04:46","FALSE","0","0","0","Education","Arunachal Pradesh","India",FALSE
