"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @Arunachal_Jobs: Medicine Specialist: Naharlagun, Arunachal Pradesh - The National Rural Health Mission (NRHM) is a National effort at e","2018-07-28 17:43:31","TRUE","1","0","0","Employment","Arunachal Pradesh","India",FALSE
"2","Parliamentary secretaries to lose job in Arunachal Pradesh
BJPGovernment
ArunachalPradeshParliamentarySecretaries  ","2018-07-28 08:29:18","FALSE","0","0","-1","Employment","Arunachal Pradesh","India",FALSE
"3","Paediatrician: Naharlagun, Arunachal Pradesh - The National Rural Health Mission (NRHM) is a National effort at ens  ","2018-07-28 06:55:06","FALSE","0","1","0","Employment","Arunachal Pradesh","India",FALSE
"4","Gynaecologist: Naharlagun, Arunachal Pradesh - The National Rural Health Mission (NRHM) is a National effort at ens  ","2018-07-28 06:55:05","FALSE","0","1","0","Employment","Arunachal Pradesh","India",FALSE
"5","Medicine Specialist: Naharlagun, Arunachal Pradesh - The National Rural Health Mission (NRHM) is a National effort  ","2018-07-28 06:55:05","FALSE","1","0","0","Employment","Arunachal Pradesh","India",FALSE
"6","Anaesthetist: Naharlagun, Arunachal Pradesh - The National Rural Health Mission (NRHM) is a National effort at ensu  ","2018-07-28 06:55:05","FALSE","0","1","0","Employment","Arunachal Pradesh","India",FALSE
"7","Air Hostess: Hub City Innovation - Itanagar, Arunachal Pradesh - Responsibility of air hostess job description: The  ","2018-07-28 06:55:04","FALSE","0","0","1","Employment","Arunachal Pradesh","India",FALSE
"8","Cabin Crew: Hub City Innovation - Itanagar, Arunachal Pradesh - Working as a flight attendant for a major airline p  ","2018-07-28 06:55:04","FALSE","0","0","1","Employment","Arunachal Pradesh","India",FALSE
"9","Sales Associate: PARSLEY BAKERY AND CAKES SHOP - Itanagar, Arunachal Pradesh - To acquire and negotiate with new cl  ","2018-07-26 06:33:33","FALSE","0","1","0","Employment","Arunachal Pradesh","India",FALSE
"10","Chief Manager - Projects: Itanagar, Arunachal Pradesh - Job Description Monitoring site execution activities Salary  ","2018-07-25 05:18:03","FALSE","0","0","0","Employment","Arunachal Pradesh","India",FALSE
"11","@DgpPradesh As a cadat I had undergone many camps and participate d in many events n he experienced the proud momen  ","2018-07-24 18:27:57","FALSE","0","0","1","Employment","Arunachal Pradesh","India",FALSE
"12","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-24 14:10:29","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",FALSE
"13","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-24 04:50:16","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"14","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-24 03:57:00","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"15","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-24 03:41:55","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"16","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-24 02:59:14","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"17","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-24 02:50:59","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"18","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-24 02:25:51","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"19","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-24 02:18:09","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"20","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-24 02:16:15","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"21","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-24 01:01:25","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"22","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-24 00:39:41","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"23","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-23 22:57:54","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"24","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-23 20:35:23","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"25","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-23 20:15:16","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"26","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-23 19:49:44","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"27","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-23 17:56:52","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"28","RT @Peacef_Warrior: Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whether","2018-07-23 17:34:57","TRUE","17","0","-1","Employment","Arunachal Pradesh","India",TRUE
"29","Hats off to BRO. They are doing the most painful and thankless job and yet strategically so important for India whe  ","2018-07-23 17:09:33","FALSE","17","29","-1","Employment","Arunachal Pradesh","India",FALSE
"30","Normal song: 
Baba main teri mallika,
Tukda hoon tere dil ka,
Ek baar dehleez paar kara do

What it means in Arunac  ","2018-07-23 06:26:48","FALSE","0","0","0","Employment","Arunachal Pradesh","India",FALSE
"31","English Teacher: Arunachal Pradesh - Wanted fluent teachers in all subject,fluency is must,food and accommodation p  ","2018-07-22 06:08:04","FALSE","0","0","1","Employment","Arunachal Pradesh","India",FALSE
"32","RT @Arunachal_Jobs: Medicine Specialist: Naharlagun, Arunachal Pradesh - Job Description No. APRHM/2018/74 Qualification: i) MD/DNB or equi","2018-07-21 17:33:44","TRUE","1","0","0","Employment","Arunachal Pradesh","India",FALSE
"33","RT @Arunachal_Jobs: Paediatrician: Naharlagun, Arunachal Pradesh - Job Description No. APRHM/2018/74 Qualification: i) PG Degree/Diploma in","2018-07-21 17:32:33","TRUE","1","0","0","Employment","Arunachal Pradesh","India",FALSE
"34","Anaesthetist: Naharlagun, Arunachal Pradesh - Job Description No. APRHM/2018/74 Qualification: i) PG Degree/Diploma  ","2018-07-21 05:39:40","FALSE","0","0","0","Employment","Arunachal Pradesh","India",FALSE
"35","Medicine Specialist: Naharlagun, Arunachal Pradesh - Job Description No. APRHM/2018/74 Qualification: i) MD/DNB or  ","2018-07-21 05:39:40","FALSE","1","0","0","Employment","Arunachal Pradesh","India",FALSE
"36","Paediatrician: Naharlagun, Arunachal Pradesh - Job Description No. APRHM/2018/74 Qualification: i) PG Degree/Diplom  ","2018-07-21 05:39:39","FALSE","1","0","0","Employment","Arunachal Pradesh","India",FALSE
"37","Gynaecologist: Naharlagun, Arunachal Pradesh - Job Description No. APRHM/2018/74 Qualification: i) MD/MS/DNB in Obs  ","2018-07-21 05:39:39","FALSE","0","0","0","Employment","Arunachal Pradesh","India",FALSE
