"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Arunachal Pradesh State Cooperative Apex Bank to launch 200 micro-ATMs - The Economic Times  ","2018-07-26 05:02:23","FALSE","0","0","1","Real Estate Value","Arunachal Pradesh","India",FALSE
"2","RT @apnnewsindia: Exemption limit for traders in Assam, Arunachal Pradesh, Himachal Pradesh, Himalaya, Sikkim increased from Rs 10 lakh to","2018-07-22 16:50:13","TRUE","13","0","-1","Real Estate Value","Arunachal Pradesh","India",FALSE
"3","RT @apnnewsindia: Exemption limit for traders in Assam, Arunachal Pradesh, Himachal Pradesh, Himalaya, Sikkim increased from Rs 10 lakh to","2018-07-22 12:17:57","TRUE","13","0","-1","Real Estate Value","Arunachal Pradesh","India",TRUE
"4","RT @apnnewsindia: Exemption limit for traders in Assam, Arunachal Pradesh, Himachal Pradesh, Himalaya, Sikkim increased from Rs 10 lakh to","2018-07-22 10:09:18","TRUE","13","0","-1","Real Estate Value","Arunachal Pradesh","India",TRUE
"5","RT @apnnewsindia: Exemption limit for traders in Assam, Arunachal Pradesh, Himachal Pradesh, Himalaya, Sikkim increased from Rs 10 lakh to","2018-07-22 09:48:17","TRUE","13","0","-1","Real Estate Value","Arunachal Pradesh","India",TRUE
"6","RT @apnnewsindia: Exemption limit for traders in Assam, Arunachal Pradesh, Himachal Pradesh, Himalaya, Sikkim increased from Rs 10 lakh to","2018-07-22 07:58:01","TRUE","13","0","-1","Real Estate Value","Arunachal Pradesh","India",TRUE
"7","RT @apnnewsindia: Exemption limit for traders in Assam, Arunachal Pradesh, Himachal Pradesh, Himalaya, Sikkim increased from Rs 10 lakh to","2018-07-22 05:05:55","TRUE","13","0","-1","Real Estate Value","Arunachal Pradesh","India",TRUE
"8","RT @apnnewsindia: Exemption limit for traders in Assam, Arunachal Pradesh, Himachal Pradesh, Himalaya, Sikkim increased from Rs 10 lakh to","2018-07-22 04:30:43","TRUE","13","0","-1","Real Estate Value","Arunachal Pradesh","India",TRUE
"9","RT @NewsLiveGhy: BREAKING | Exemption limit for traders in Assam, Arunachal Pradesh, Himachal Pradesh, Himalaya, Sikkim, increased from R","2018-07-22 04:07:34","TRUE","3","0","-2","Real Estate Value","Arunachal Pradesh","India",FALSE
"10","RT @NewsLiveGhy: BREAKING | Exemption limit for traders in Assam, Arunachal Pradesh, Himachal Pradesh, Himalaya, Sikkim, increased from R","2018-07-21 18:21:08","TRUE","3","0","-2","Real Estate Value","Arunachal Pradesh","India",TRUE
