"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @Arunachal_Jobs: Medicine Specialist: Naharlagun, Arunachal Pradesh - The National Rural Health Mission (NRHM) is a National effort at e","2018-07-28 17:43:31","TRUE","1","0","0","HealthCare","Arunachal Pradesh","India",FALSE
"2","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-28 12:40:24","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",FALSE
"3","RT @ArunachalNhm: Glimpse of Soft launch of Chief Minister Arogya Arunachal Yojna CMAAY &amp; Ayushman Bharat Pradhan Mantri Rashtriya swasthy","2018-07-28 11:13:01","TRUE","6","0","1","HealthCare","Arunachal Pradesh","India",FALSE
"4","Paediatrician: Naharlagun, Arunachal Pradesh - The National Rural Health Mission (NRHM) is a National effort at ens  ","2018-07-28 06:55:06","FALSE","0","1","0","HealthCare","Arunachal Pradesh","India",FALSE
"5","Gynaecologist: Naharlagun, Arunachal Pradesh - The National Rural Health Mission (NRHM) is a National effort at ens  ","2018-07-28 06:55:05","FALSE","0","1","0","HealthCare","Arunachal Pradesh","India",FALSE
"6","Medicine Specialist: Naharlagun, Arunachal Pradesh - The National Rural Health Mission (NRHM) is a National effort  ","2018-07-28 06:55:05","FALSE","1","0","0","HealthCare","Arunachal Pradesh","India",FALSE
"7","Anaesthetist: Naharlagun, Arunachal Pradesh - The National Rural Health Mission (NRHM) is a National effort at ensu  ","2018-07-28 06:55:05","FALSE","0","1","0","HealthCare","Arunachal Pradesh","India",FALSE
"8","RT @ArunachalNhm: Glimpse of Soft launch of Chief Minister Arogya Arunachal Yojna CMAAY &amp; Ayushman Bharat Pradhan Mantri Rashtriya swasthy","2018-07-28 04:41:27","TRUE","6","0","1","HealthCare","Arunachal Pradesh","India",TRUE
"9","RT @Mundra08: State-wise trends in Per capita expenditure on Health (2014-2018)
Top 5 states-
Arunachal P
Mizoram
Sikkim
J&amp;K
Haryana
India'","2018-07-28 04:25:51","TRUE","21","0","1","HealthCare","Arunachal Pradesh","India",FALSE
"10","Apply Online for CMs Arogya Arunachal Yojana @  ","2018-07-27 18:26:41","FALSE","0","0","0","HealthCare","Arunachal Pradesh","India",FALSE
"11","RT @ArunachalNhm: Glimpse of Soft launch of Chief Minister Arogya Arunachal Yojna CMAAY &amp; Ayushman Bharat Pradhan Mantri Rashtriya swasthy","2018-07-27 16:37:18","TRUE","6","0","1","HealthCare","Arunachal Pradesh","India",TRUE
"12","RT @ArunachalNhm: Glimpse of Soft launch of Chief Minister Arogya Arunachal Yojna CMAAY &amp; Ayushman Bharat Pradhan Mantri Rashtriya swasthy","2018-07-27 14:01:26","TRUE","6","0","1","HealthCare","Arunachal Pradesh","India",TRUE
"13","RT @freejobsalert4u: NHM Arunachal Pradesh Recruitment 2018 . National Health Mission, Arunachal Pradesh invites applications for recruitme","2018-07-27 11:09:58","TRUE","1","0","0","HealthCare","Arunachal Pradesh","India",FALSE
"14","NHM Arunachal Pradesh Recruitment 2018 . National Health Mission, Arunachal Pradesh invites applications for recrui  ","2018-07-27 10:00:13","FALSE","1","1","0","HealthCare","Arunachal Pradesh","India",FALSE
