"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @ThalesTransport: [Train Sys.] New 10,000 foot high railway to be built in Indian  district of Arunachal Pradeshs Tawang, close to","2018-07-23 09:45:19","TRUE","2","0","0","Transportation","Arunachal Pradesh","India",FALSE
"2","RT @nhidcl: India's longest road and railway bridge connecting Dibrugarh in Assam to Pasighat in Arunachal Pradesh is likely to be inaugura","2018-07-21 12:07:45","TRUE","5","0","0","Transportation","Arunachal Pradesh","India",FALSE
"3","RT @PemaKhanduBJP: Always a pleasure meeting Shri @piyushgoyal ji. Discussed matter of funding for hollongi Airport and expediting surveys","2018-07-20 10:51:27","TRUE","43","0","1","Transportation","Arunachal Pradesh","India",FALSE
"4","RT @EasternSentinel: Chief Minister Pema Khandu called on Union Minister for Railways Piyush Goyal and requested him to expedite the railwa","2018-07-19 18:45:05","TRUE","2","0","0","Transportation","Arunachal Pradesh","India",FALSE
"5","@aajtak Sir Pls help Iam traveling from Arunachal Pradesh NAHARLAGUN to Guwahati  Via Train No.15618 . B3 AC Coach  ","2018-07-19 18:37:11","FALSE","0","0","0","Transportation","Arunachal Pradesh","India",FALSE
"6","RT @ThalesTransport: [Train Sys.] New 10,000 foot high railway to be built in Indian  district of Arunachal Pradeshs Tawang, close to","2018-07-19 18:31:06","TRUE","2","0","0","Transportation","Arunachal Pradesh","India",TRUE
"7","RT @PemaKhanduBJP: Always a pleasure meeting Shri @piyushgoyal ji. Discussed matter of funding for hollongi Airport and expediting surveys","2018-07-19 13:32:34","TRUE","43","0","1","Transportation","Arunachal Pradesh","India",TRUE
"8","RT @PemaKhanduBJP: Always a pleasure meeting Shri @piyushgoyal ji. Discussed matter of funding for hollongi Airport and expediting surveys","2018-07-19 11:01:13","TRUE","43","0","1","Transportation","Arunachal Pradesh","India",TRUE
"9","@DarshanGor5 @narendramodi @AmitShah @vijayrupanibjp @jitu_vaghani @VinodChavdaBJP @KeshubhaiBJP @jiten_thacker  ","2018-07-19 07:59:14","FALSE","0","0","0","Transportation","Arunachal Pradesh","India",FALSE
"10","Expedite railway projects in Arunachal, Pema Khandu urgesPiyush Goyal  ","2018-07-19 06:23:18","FALSE","0","0","0","Transportation","Arunachal Pradesh","India",FALSE
"11","RT @PemaKhanduBJP: Always a pleasure meeting Shri @piyushgoyal ji. Discussed matter of funding for hollongi Airport and expediting surveys","2018-07-19 05:06:08","TRUE","43","0","1","Transportation","Arunachal Pradesh","India",TRUE
"12","RT @EasternSentinel: Chief Minister Pema Khandu called on Union Minister for Railways Piyush Goyal and requested him to expedite the railwa","2018-07-19 05:05:00","TRUE","2","0","0","Transportation","Arunachal Pradesh","India",TRUE
"13","[Train Sys.] New 10,000 foot high railway to be built in Indian  district of Arunachal Pradeshs Tawang, close  ","2018-07-19 05:02:00","FALSE","2","3","0","Transportation","Arunachal Pradesh","India",FALSE
"14","Chief Minister Pema Khandu called on Union Minister for Railways Piyush Goyal and requested him to expedite the rai  ","2018-07-19 04:51:26","FALSE","2","2","0","Transportation","Arunachal Pradesh","India",FALSE
"15","RT @PemaKhanduBJP: Always a pleasure meeting Shri @piyushgoyal ji. Discussed matter of funding for hollongi Airport and expediting surveys","2018-07-19 01:22:21","TRUE","43","0","1","Transportation","Arunachal Pradesh","India",TRUE
"16","RT @PemaKhanduBJP: Always a pleasure meeting Shri @piyushgoyal ji. Discussed matter of funding for hollongi Airport and expediting surveys","2018-07-18 16:51:09","TRUE","43","0","1","Transportation","Arunachal Pradesh","India",TRUE
"17","Arunachal Pradesh Chief Minister Pema Khandu urges Union Railway Minister Piyush Goyal to expedite the ongoing railway projects in the state","2018-07-18 15:25:45","FALSE","0","0","0","Transportation","Arunachal Pradesh","India",FALSE
"18","RT @PemaKhanduBJP: Always a pleasure meeting Shri @piyushgoyal ji. Discussed matter of funding for hollongi Airport and expediting surveys","2018-07-18 12:17:20","TRUE","43","0","1","Transportation","Arunachal Pradesh","India",TRUE
