"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @LittleYelloTPot: Teapot Status Report: It's Saturday. Cloudy. Threat of rain. Warm. Preparations underway to steep some Assam CTC tea.","2018-07-28 17:35:46","TRUE","1","0","-2","Climate","Assam","India",FALSE
"2","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 16:49:29","TRUE","28","0","-2","Climate","Assam","India",FALSE
"3","Teapot Status Report: It's Saturday. Cloudy. Threat of rain. Warm. Preparations underway to steep some Assam CTC tea. That is all. TOOOT!","2018-07-28 16:46:04","FALSE","1","0","-2","Climate","Assam","India",FALSE
"4","RT @AmarUjalaNews:         465   ,      
Rain Monsoon DeathToll W","2018-07-28 16:08:39","TRUE","5","0","0","Climate","Assam","India",FALSE
"5","RT @AmarUjalaNews:         465   ,      
Rain Monsoon DeathToll W","2018-07-28 15:36:29","TRUE","5","0","0","Climate","Assam","India",TRUE
"6","July 30 weather Forecast
Heavy to very heavy rain at isolated places very likely over Uttarakhand , UttarPradesh,  ","2018-07-28 15:07:12","FALSE","0","0","-1","Climate","Assam","India",FALSE
"7","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 14:15:00","TRUE","28","0","-2","Climate","Assam","India",TRUE
"8","RT @AmarUjalaNews:         465   ,      
Rain Monsoon DeathToll W","2018-07-28 13:43:28","TRUE","5","0","0","Climate","Assam","India",TRUE
"9","RT @AmarUjalaNews:         465   ,      
Rain Monsoon DeathToll W","2018-07-28 13:27:26","TRUE","5","0","0","Climate","Assam","India",TRUE
"10","        465   ,      
Rain Monsoon  ","2018-07-28 13:22:43","FALSE","5","25","0","Climate","Assam","India",FALSE
"11","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 12:24:07","TRUE","28","0","-2","Climate","Assam","India",TRUE
"12","A couple of days rain and Yamuna is flowing above the danger mark and Delhi already is restless. What if it rained  ","2018-07-28 12:11:12","FALSE","0","3","-2","Climate","Assam","India",FALSE
"13","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 10:59:47","TRUE","28","0","-2","Climate","Assam","India",TRUE
"14","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 09:46:23","TRUE","28","0","-2","Climate","Assam","India",TRUE
"15","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 09:31:52","TRUE","28","0","-2","Climate","Assam","India",TRUE
"16","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 09:26:39","TRUE","28","0","-2","Climate","Assam","India",TRUE
"17","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 09:15:50","TRUE","28","0","-2","Climate","Assam","India",TRUE
"18","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 09:14:05","TRUE","28","0","-2","Climate","Assam","India",TRUE
"19","@asomputra Anupam! Put the song in the backdrop of Delhi versus Assam weather and rain again, after correction.","2018-07-28 08:58:22","FALSE","0","0","0","Climate","Assam","India",FALSE
"20","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 08:54:36","TRUE","28","0","-2","Climate","Assam","India",TRUE
"21","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 08:54:21","TRUE","28","0","-2","Climate","Assam","India",TRUE
"22","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 08:49:40","TRUE","28","0","-2","Climate","Assam","India",TRUE
"23","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 08:27:52","TRUE","28","0","-2","Climate","Assam","India",TRUE
"24","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 08:14:42","TRUE","28","0","-2","Climate","Assam","India",TRUE
"25","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 07:55:19","TRUE","28","0","-2","Climate","Assam","India",TRUE
"26","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 07:48:24","TRUE","28","0","-2","Climate","Assam","India",TRUE
"27","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 07:47:51","TRUE","28","0","-2","Climate","Assam","India",TRUE
"28","RT @PIB_India: MonsoonUpdate: Heavy to   very   heavy   rain   with   extremely   heavy   falls   at   isolated places very likely over  A","2018-07-28 07:43:47","TRUE","28","0","-2","Climate","Assam","India",TRUE
