"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @bollywood_life: Shah Rukh Khan's iconic pose becomes the face of Assam's road safety campaign  ","2018-07-28 18:26:27","TRUE","38","0","0","Crime","Assam","India",FALSE
"2","RT @NewsNationTV: SRK lauds Assam police to use his pose for road safety @iamsrk 
 ","2018-07-28 18:21:50","TRUE","20","0","0","Crime","Assam","India",FALSE
"3","RT @itimestweets: ""The best message I think this pose has conveyed. Please please follow traffic rules. - @iamsrk
 ","2018-07-28 18:20:46","TRUE","13","0","1","Crime","Assam","India",FALSE
"4","RT @filmfare: .@assampolice uses @iamsrk's signature pose to raise road safety awareness.

 ","2018-07-28 18:20:34","TRUE","99","0","0","Crime","Assam","India",FALSE
"5","RT @bollywood_life: Shah Rukh Khan's iconic pose becomes the face of Assam's road safety campaign  ","2018-07-28 18:17:47","TRUE","38","0","0","Crime","Assam","India",TRUE
"6","RT @TV24India:            ,       ","2018-07-28 18:15:24","TRUE","9","0","0","Crime","Assam","India",FALSE
"7","RT @filmfare: .@assampolice uses @iamsrk's signature pose to raise road safety awareness.

 ","2018-07-28 18:15:16","TRUE","99","0","0","Crime","Assam","India",TRUE
"8","RT @TheDailyPioneer: SRKsecurity : Bollywood superstar Shah Rukh Khan has appreciated the use of his signature romantic pose of outstretch","2018-07-28 18:14:24","TRUE","11","0","2","Crime","Assam","India",FALSE
"9","RT @bollywood_life: Shah Rukh Khan's iconic pose becomes the face of Assam's road safety campaign  ","2018-07-28 18:14:18","TRUE","38","0","0","Crime","Assam","India",TRUE
"10","RT @fpjindia: Assam police uses ShahRukhKhans romantic trick for road safety; see pic
 ","2018-07-28 18:10:34","TRUE","10","0","0","Crime","Assam","India",FALSE
"11","RT @bollywood_life: Shah Rukh Khan's iconic pose becomes the face of Assam's road safety campaign  ","2018-07-28 18:08:07","TRUE","38","0","0","Crime","Assam","India",TRUE
"12","RT @filmfare: .@assampolice uses @iamsrk's signature pose to raise road safety awareness.

 ","2018-07-28 18:07:59","TRUE","99","0","0","Crime","Assam","India",TRUE
"13","RT @fpjindia: Assam police uses ShahRukhKhans romantic trick for road safety; see pic
 ","2018-07-28 18:07:58","TRUE","10","0","0","Crime","Assam","India",TRUE
"14","RT @NewsNationTV: SRK lauds Assam police to use his pose for road safety @iamsrk 
 ","2018-07-28 18:05:13","TRUE","20","0","0","Crime","Assam","India",TRUE
"15","RT @filmfare: .@assampolice uses @iamsrk's signature pose to raise road safety awareness.

 ","2018-07-28 18:04:16","TRUE","99","0","0","Crime","Assam","India",TRUE
"16","RT @bollywood_life: Shah Rukh Khan's iconic pose becomes the face of Assam's road safety campaign  ","2018-07-28 18:03:37","TRUE","38","0","0","Crime","Assam","India",TRUE
"17","RT @filmfare: .@assampolice uses @iamsrk's signature pose to raise road safety awareness.

 ","2018-07-28 17:59:53","TRUE","99","0","0","Crime","Assam","India",TRUE
"18","RT @bollywood_life: Shah Rukh Khan's iconic pose becomes the face of Assam's road safety campaign  ","2018-07-28 17:58:40","TRUE","38","0","0","Crime","Assam","India",TRUE
"19","RT @bollywood_life: Shah Rukh Khan's iconic pose becomes the face of Assam's road safety campaign  ","2018-07-28 17:57:48","TRUE","38","0","0","Crime","Assam","India",TRUE
"20","RT @bollywood_life: Shah Rukh Khan's iconic pose becomes the face of Assam's road safety campaign  ","2018-07-28 17:56:43","TRUE","38","0","0","Crime","Assam","India",TRUE
"21","RT @itimestweets: ""The best message I think this pose has conveyed. Please please follow traffic rules. - @iamsrk
 ","2018-07-28 17:55:56","TRUE","13","0","1","Crime","Assam","India",TRUE
