"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@nikita_anand @niissh @MamataOfficial Its now not old bangal it is completely changed now moving towards Islamic s  ","2018-07-28 13:56:05","FALSE","0","0","0","Culture","Assam","India",FALSE
"2","@NANDANPRATIM What an idiot !  Trying to 'Condition People'  with a great history of an age old  &amp; wonderful cultur  ","2018-07-28 13:06:14","FALSE","0","0","1","Culture","Assam","India",FALSE
"3","A group of hardworking people is fighting against existence of witch culture, witch hunting etc. in various regions  ","2018-07-28 11:04:16","FALSE","0","0","0","Culture","Assam","India",FALSE
"4","RT @NexploreTravel: Majuli a pristine river island in India the hub of Culture and nature lovers @incredibleindia 
 ","2018-07-28 05:25:32","TRUE","2","0","0","Culture","Assam","India",FALSE
"5","A detailed report on Assam and the looming citizenship register. Unmonitered borders, illegal immigrants, doctored  ","2018-07-28 05:05:32","FALSE","0","0","-1","Culture","Assam","India",FALSE
"6"," ","2018-07-28 04:04:15","FALSE","0","0","0","Culture","Assam","India",FALSE
"7","RT @Pragyata_: KargilVijayDiwas - The short video gives an account of the contribution of Lachit Borphukan to Indian History, conveying ho","2018-07-28 02:35:52","TRUE","89","0","1","Culture","Assam","India",FALSE
"8","RT @morphineworld: Dear brothers &amp; sisters from Assam &amp; other parts of North East India, are you still going to use @PypAyurved @PypProduct","2018-07-27 17:44:53","TRUE","5","0","0","Culture","Assam","India",FALSE
"9","RT @morphineworld: Dear brothers &amp; sisters from Assam &amp; other parts of North East India, are you still going to use @PypAyurved @PypProduct","2018-07-27 17:03:30","TRUE","5","0","0","Culture","Assam","India",TRUE
"10","RT @morphineworld: Dear brothers &amp; sisters from Assam &amp; other parts of North East India, are you still going to use @PypAyurved @PypProduct","2018-07-27 17:00:59","TRUE","5","0","0","Culture","Assam","India",TRUE
"11","RT @morphineworld: Dear brothers &amp; sisters from Assam &amp; other parts of North East India, are you still going to use @PypAyurved @PypProduct","2018-07-27 17:00:18","TRUE","5","0","0","Culture","Assam","India",TRUE
"12","@maidros78 Again, the NRC list will specify Illegal Bangladeshi that lives in Assam that migrated to India illegall  ","2018-07-27 16:56:05","FALSE","0","0","-1","Culture","Assam","India",FALSE
"13","RT @morphineworld: Dear brothers &amp; sisters from Assam &amp; other parts of North East India, are you still going to use @PypAyurved @PypProduct","2018-07-27 16:53:18","TRUE","5","0","0","Culture","Assam","India",TRUE
"14","Dear brothers &amp; sisters from Assam &amp; other parts of North East India, are you still going to use @PypAyurved  ","2018-07-27 16:42:32","FALSE","5","0","0","Culture","Assam","India",FALSE
"15","RT @lindapwylie: .@Official_HOSTUK Today we welcomed Assam Alam to Scotland. Assam is from Pakistan and has just completed his Masters in C","2018-07-27 15:55:23","TRUE","1","0","1","Culture","Assam","India",FALSE
"16","RT @Catalopodus: On the flat planes of the mising tribal fishing village assam india travel culture earth  ","2018-07-27 15:35:06","TRUE","1","0","0","Culture","Assam","India",FALSE
"17",".@Official_HOSTUK Today we welcomed Assam Alam to Scotland. Assam is from Pakistan and has just completed his Maste  ","2018-07-27 15:30:22","FALSE","1","2","0","Culture","Assam","India",FALSE
"18","@RujutaDiwekar  ","2018-07-27 14:24:51","FALSE","0","0","0","Culture","Assam","India",FALSE
"19","From Assam to Nagaland to Meghalaya, an army of 100 green commandos, ages 18-30, are going to villages and school  ","2018-07-27 14:02:29","FALSE","0","2","0","Culture","Assam","India",FALSE
"20","RT @ie_seven: Meet the new-age farmers of NortheastIndia who aim to  bring back to the plates of the population, wholesome, local food.

h","2018-07-27 12:38:41","TRUE","6","0","1","Culture","Assam","India",FALSE
"21","Who is this S. B. Singh? the idiot langur of Patanjali. What he know about Assam, its culture and food habits. Need  ","2018-07-27 08:07:32","FALSE","0","2","-1","Culture","Assam","India",FALSE
"22","RT @Pragyata_: KargilVijayDiwas - The short video gives an account of the contribution of Lachit Borphukan to Indian History, conveying ho","2018-07-27 07:47:19","TRUE","89","0","1","Culture","Assam","India",TRUE
"23","RT @Pragyata_: KargilVijayDiwas - The short video gives an account of the contribution of Lachit Borphukan to Indian History, conveying ho","2018-07-27 06:38:32","TRUE","89","0","1","Culture","Assam","India",TRUE
"24","RT @ie_seven: Meet the new-age farmers of NortheastIndia who aim to  bring back to the plates of the population, wholesome, local food.

h","2018-07-27 05:40:15","TRUE","6","0","1","Culture","Assam","India",TRUE
"25","RT @ie_seven: Meet the new-age farmers of NortheastIndia who aim to  bring back to the plates of the population, wholesome, local food.

h","2018-07-27 05:38:58","TRUE","6","0","1","Culture","Assam","India",TRUE
"26","Northeast Indias millennial farmers are sowing the seeds of a new culinary culture  ","2018-07-27 05:23:13","FALSE","0","0","0","Culture","Assam","India",FALSE
