"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @oddteapot: People who have never spoken up about 
1) flood,
2) lack of infrastructure, industry, education, employment, health facility","2018-07-28 17:36:21","TRUE","4","0","-1","Education","Assam","India",FALSE
"2","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 16:51:35","TRUE","23","0","0","Education","Assam","India",FALSE
"3","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 16:44:26","TRUE","23","0","0","Education","Assam","India",TRUE
"4","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 16:40:53","TRUE","23","0","0","Education","Assam","India",TRUE
"5","RT @smilefoundation: 'When you have to raise your child, the only thing that matters is their warm hug when you are home - and accepting wh","2018-07-28 16:37:30","TRUE","12","0","2","Education","Assam","India",FALSE
"6","RT @ananyasaikia4: Join d protest rally on 'Unemployment , ST/SC scholarship, privatization of education n other student issues' to be orga","2018-07-28 16:36:10","TRUE","5","0","-2","Education","Assam","India",FALSE
"7","RT @smilefoundation: Sagarika studies in Grade 1 at Mission Education centre (SSTEP Orphanage) in Guwahati, Assam. To support many such bea","2018-07-28 16:34:41","TRUE","11","0","1","Education","Assam","India",FALSE
"8","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 16:31:10","TRUE","23","0","0","Education","Assam","India",TRUE
"9","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 16:30:03","TRUE","23","0","0","Education","Assam","India",TRUE
"10","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 16:28:46","TRUE","23","0","0","Education","Assam","India",TRUE
"11","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 15:55:32","TRUE","23","0","0","Education","Assam","India",TRUE
"12","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 15:37:47","TRUE","23","0","0","Education","Assam","India",TRUE
"13","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 15:35:49","TRUE","23","0","0","Education","Assam","India",TRUE
"14","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 15:32:38","TRUE","23","0","0","Education","Assam","India",TRUE
"15","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 15:32:10","TRUE","23","0","0","Education","Assam","India",TRUE
"16","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 15:23:09","TRUE","23","0","0","Education","Assam","India",TRUE
"17","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 15:16:32","TRUE","23","0","0","Education","Assam","India",TRUE
"18","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 15:06:33","TRUE","23","0","0","Education","Assam","India",TRUE
"19","@mygovassam ,@sarbanandsonwal  Mohodoi, @SB ","2018-07-28 15:03:17","FALSE","0","0","0","Education","Assam","India",FALSE
"20","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 14:57:48","TRUE","23","0","0","Education","Assam","India",TRUE
