"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @ARanganathan72: And in May, this happened during the Japanese Encephalitis Vaccination drive in Assam.  ","2018-07-28 17:51:14","TRUE","368","0","0","Education","Assam","India",FALSE
"2","RT @ARanganathan72: And in May, this happened during the Japanese Encephalitis Vaccination drive in Assam.  ","2018-07-28 17:23:45","TRUE","368","0","0","Education","Assam","India",TRUE
"3","RT @ARanganathan72: And in May, this happened during the Japanese Encephalitis Vaccination drive in Assam.  ","2018-07-28 16:55:56","TRUE","368","0","0","Education","Assam","India",TRUE
"4","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 16:51:35","TRUE","23","0","0","Education","Assam","India",FALSE
"5","RT @ARanganathan72: And in May, this happened during the Japanese Encephalitis Vaccination drive in Assam.  ","2018-07-28 16:50:17","TRUE","368","0","0","Education","Assam","India",TRUE
"6","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 16:44:26","TRUE","23","0","0","Education","Assam","India",TRUE
"7","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 16:40:53","TRUE","23","0","0","Education","Assam","India",TRUE
"8","RT @ARanganathan72: And in May, this happened during the Japanese Encephalitis Vaccination drive in Assam.  ","2018-07-28 16:38:37","TRUE","368","0","0","Education","Assam","India",TRUE
"9","RT @ARanganathan72: And in May, this happened during the Japanese Encephalitis Vaccination drive in Assam.  ","2018-07-28 16:35:05","TRUE","368","0","0","Education","Assam","India",TRUE
"10","RT @ARanganathan72: And in May, this happened during the Japanese Encephalitis Vaccination drive in Assam.  ","2018-07-28 16:34:15","TRUE","368","0","0","Education","Assam","India",TRUE
"11","RT @ARanganathan72: And in May, this happened during the Japanese Encephalitis Vaccination drive in Assam.  ","2018-07-28 16:32:36","TRUE","368","0","0","Education","Assam","India",TRUE
"12","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 16:31:10","TRUE","23","0","0","Education","Assam","India",TRUE
"13","RT @ARanganathan72: And in May, this happened during the Japanese Encephalitis Vaccination drive in Assam.  ","2018-07-28 16:30:04","TRUE","368","0","0","Education","Assam","India",TRUE
"14","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 16:30:03","TRUE","23","0","0","Education","Assam","India",TRUE
"15","RT @ARanganathan72: And in May, this happened during the Japanese Encephalitis Vaccination drive in Assam.  ","2018-07-28 16:29:16","TRUE","368","0","0","Education","Assam","India",TRUE
"16","RT @ARanganathan72: And in May, this happened during the Japanese Encephalitis Vaccination drive in Assam.  ","2018-07-28 16:28:55","TRUE","368","0","0","Education","Assam","India",TRUE
"17","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 16:28:46","TRUE","23","0","0","Education","Assam","India",TRUE
"18","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 15:55:32","TRUE","23","0","0","Education","Assam","India",TRUE
"19","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 15:37:47","TRUE","23","0","0","Education","Assam","India",TRUE
"20","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 15:35:49","TRUE","23","0","0","Education","Assam","India",TRUE
"21","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 15:32:38","TRUE","23","0","0","Education","Assam","India",TRUE
"22","RT @NITIAayog: VoicesOfChange: Govt schools in Barpeta Assam improved enrolment rate, reduced dropouts, &amp; raised quality of education thr","2018-07-28 15:32:10","TRUE","23","0","0","Education","Assam","India",TRUE
"23","@MahtabNama Why? There are many Urdu medium schools in Bengal probably in Assam too. Urdu newspapers are published  ","2018-07-28 15:30:30","FALSE","0","0","0","Education","Assam","India",FALSE
