"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","BJP leader, DSP among fresh arrests in Assam cash-for-job scam  ","2018-07-28 17:12:26","FALSE","0","0","0","Employment","Assam","India",FALSE
"2","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-28 16:59:14","TRUE","788","0","-1","Employment","Assam","India",FALSE
"3","RT @Zoheb_Sh: BJP leader, DSP among fresh arrests in Assam cash-for-job scam ChowkidarNahiBhagidar  ","2018-07-28 16:54:31","TRUE","105","0","0","Employment","Assam","India",FALSE
"4","RT @Ranjeet4India:                     ","2018-07-28 16:27:17","TRUE","15","0","0","Employment","Assam","India",FALSE
"5","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-28 16:25:21","TRUE","788","0","-1","Employment","Assam","India",TRUE
"6","Assam Is big pleas but job nahi milte har kise ko bhar he jina parta ha ku.......humara pm is bara ma key bolna cha  ","2018-07-28 15:37:11","FALSE","0","0","-1","Employment","Assam","India",FALSE
"7","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-28 15:23:37","TRUE","788","0","-1","Employment","Assam","India",TRUE
"8","RT @Gopalward1nmb: @AmitShahFanClub @AmitShah If the mstter of HPCL PAPER MILLS OF ASSSM IS NOT RESOLVED IMMEDIATELY IT WILL BE BIG HURDEL","2018-07-28 14:43:34","TRUE","1","0","0","Employment","Assam","India",FALSE
"9","BJP leader, DSP among fresh arrests in Assam cash-for-job scam via @htTweets  ","2018-07-28 14:34:32","FALSE","0","0","0","Employment","Assam","India",FALSE
"10","RT @SouleFacts: @Priyank34667878 @IndiaToday @KDscribe @CMOfficeAssam @NANDANPRATIM @NRCupdateAssam Its a hit job, published to please the","2018-07-28 12:24:13","TRUE","6","0","0","Employment","Assam","India",FALSE
"11","RT @SouleFacts: @Priyank34667878 @IndiaToday @KDscribe @CMOfficeAssam @NANDANPRATIM @NRCupdateAssam Its a hit job, published to please the","2018-07-28 10:27:29","TRUE","6","0","0","Employment","Assam","India",TRUE
"12","RT @SouleFacts: @Priyank34667878 @IndiaToday @KDscribe @CMOfficeAssam @NANDANPRATIM @NRCupdateAssam Its a hit job, published to please the","2018-07-28 09:54:04","TRUE","6","0","0","Employment","Assam","India",TRUE
"13","RT @MahilaCongress: BJP scamsters enjoying the patronage of central and state leadership to amass infinite wealth.
After a BJP lawmaker's d","2018-07-28 09:40:48","TRUE","108","0","1","Employment","Assam","India",FALSE
"14","assam govt job 2018 govt jobs in assam for 12th pass company job in assam  ","2018-07-28 09:36:07","FALSE","0","0","0","Employment","Assam","India",FALSE
"15","RT @SouleFacts: @Priyank34667878 @IndiaToday @KDscribe @CMOfficeAssam @NANDANPRATIM @NRCupdateAssam Its a hit job, published to please the","2018-07-28 09:21:21","TRUE","6","0","0","Employment","Assam","India",TRUE
"16","RT @SouleFacts: @Priyank34667878 @IndiaToday @KDscribe @CMOfficeAssam @NANDANPRATIM @NRCupdateAssam Its a hit job, published to please the","2018-07-28 09:03:16","TRUE","6","0","0","Employment","Assam","India",TRUE
"17","RT @SouleFacts: @Priyank34667878 @IndiaToday @KDscribe @CMOfficeAssam @NANDANPRATIM @NRCupdateAssam Its a hit job, published to please the","2018-07-28 09:00:09","TRUE","6","0","0","Employment","Assam","India",TRUE
"18","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-28 08:55:46","TRUE","788","0","-1","Employment","Assam","India",TRUE
"19","@Priyank34667878 @IndiaToday @KDscribe @CMOfficeAssam @NANDANPRATIM @NRCupdateAssam Its a hit job, published to ple  ","2018-07-28 08:55:34","FALSE","6","11","0","Employment","Assam","India",FALSE
"20","Parliamentary secretaries to lose job in Arunachal Pradesh
BJPGovernment
ArunachalPradeshParliamentarySecretaries  ","2018-07-28 08:29:18","FALSE","0","0","-1","Employment","Assam","India",FALSE
"21","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-28 07:32:22","TRUE","788","0","-1","Employment","Assam","India",TRUE
"22","Assistant Professor: Cotton College State University - Guwahati, Assam - Good academic record with at least 55 per  ","2018-07-28 06:27:06","FALSE","0","0","1","Employment","Assam","India",FALSE
"23","@vipin_sondhi Respected sir, i m Mihir Sinha from Hailakandi, Assam. Sir please help me, please give me a job in JC  ","2018-07-28 06:03:42","FALSE","0","0","0","Employment","Assam","India",FALSE
"24","@JCBIndiaLtd i need a job. Pleasr help me giving a job oppurtunity. I m Mihir Sinha from Assam, Mob No 76358 78948","2018-07-28 05:56:06","FALSE","0","0","0","Employment","Assam","India",FALSE
"25","Statement of Advocate Prashanta Kumar Saikia (APSC) cash-for-job scam recorded at Gauhati High Court  ","2018-07-28 05:54:23","FALSE","0","0","0","Employment","Assam","India",FALSE
"26","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-28 05:08:06","TRUE","788","0","-1","Employment","Assam","India",TRUE
"27","RT @Sagar_Solanki13: BJP leader, DSP among fresh arrests in Assam cash-for-job scam ChowkidarNahiBhagidar  ","2018-07-28 04:35:01","TRUE","2","0","0","Employment","Assam","India",FALSE
"28","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-28 04:12:26","TRUE","788","0","-1","Employment","Assam","India",TRUE
"29","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-28 03:07:32","TRUE","788","0","-1","Employment","Assam","India",TRUE
"30","RT @LeLota3: BJP leader, DSP among fresh arrests in Assam cash-for-job scam....
Wondering why BJP leaders are running out of patience so e","2018-07-28 02:02:12","TRUE","1","0","2","Employment","Assam","India",FALSE
"31",".@rajnathsingh @NRCupdateAssam @hbiswasharma @sarbanandsonwal NRC Assam 

The job of government is to protect its  ","2018-07-27 19:58:28","FALSE","0","0","1","Employment","Assam","India",FALSE
"32","@assampolice @sarbanandsonwal @jagdishmukhi @NRCupdateAssam @pratidintime @time8news @News18Northeast @NewsLiveGhy  ","2018-07-27 18:56:10","FALSE","0","4","0","Employment","Assam","India",FALSE
"33","@AmitShahFanClub @AmitShah If the mstter of HPCL PAPER MILLS OF ASSSM IS NOT RESOLVED IMMEDIATELY IT WILL BE BIG HU  ","2018-07-27 17:45:27","FALSE","1","1","0","Employment","Assam","India",FALSE
"34","BJP leader, DSP among fresh arrests in Assam cash-for-job scam....
Wondering why BJP leaders are running out of pa  ","2018-07-27 17:43:46","FALSE","1","0","1","Employment","Assam","India",FALSE
"35","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 17:25:28","TRUE","788","0","-1","Employment","Assam","India",TRUE
"36","@maidros78 Bengali Hindus aren't special, like the Pak Hindus they can apply for refugee status. I know the center  ","2018-07-27 17:05:25","FALSE","0","0","1","Employment","Assam","India",FALSE
"37","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 16:12:22","TRUE","788","0","-1","Employment","Assam","India",TRUE
"38","Differently-able job aspirants protest outside Assam Secretariat, Police face flak for using force:  ","2018-07-27 15:07:22","FALSE","0","1","-2","Employment","Assam","India",FALSE
"39","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 14:53:48","TRUE","788","0","-1","Employment","Assam","India",TRUE
"40","Differently-able job aspirants protest outside Assam Secretariat, Police face flak for using force:  ","2018-07-27 14:08:43","FALSE","0","1","-2","Employment","Assam","India",TRUE
"41","Youthful chick receives nailed
  ","2018-07-27 14:01:12","FALSE","0","0","1","Employment","Assam","India",FALSE
"42","DLSA Morigaon Recruitment - 50 Posts
Job Location - Assam
Name of Posts - Para Level Volunteer (PLV) Posts
Last Dat  ","2018-07-27 13:12:53","FALSE","0","0","0","Employment","Assam","India",FALSE
"43","RT @Baggasaab2: Assam Police arrested the daughter of BJP MP RP Sharma and 18 other government officers in connection with the cash-for-job","2018-07-27 11:49:09","TRUE","9","0","0","Employment","Assam","India",FALSE
"44","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 11:35:46","TRUE","788","0","-1","Employment","Assam","India",TRUE
"45","New Job recruitment notification - (Assam Rifles Recruitment 2018 - 3076 Constable Posts) 
 on Gov Jobs -  ","2018-07-27 11:16:01","FALSE","0","0","0","Employment","Assam","India",FALSE
"46","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 10:51:33","TRUE","788","0","-1","Employment","Assam","India",TRUE
"47","RT @abishekbagchi: In Assam civil services exam, the candidates who were selected did NOT gave the exam. 
Dummy candidates gave the exam.
B","2018-07-27 09:47:34","TRUE","6","0","0","Employment","Assam","India",FALSE
"48","RT @suwithrg: CorruptBJP
BJP leader, DSP among fresh arrests in Assam cash-for-job scam via @htTweets  ","2018-07-27 07:42:31","TRUE","2","0","0","Employment","Assam","India",FALSE
"49","RT @merinews: APSC cash-for-job scam: Police unearths nexus of touts allegedly trying to bribe the judiciary

Choudhury's wife, Pallavi Sar","2018-07-27 07:27:09","TRUE","2","0","-2","Employment","Assam","India",FALSE
"50","@Darrangpol @assam_police @IPS_Association Good job. Snipers will be good in forest.","2018-07-27 07:24:52","FALSE","0","0","2","Employment","Assam","India",FALSE
"51","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 07:19:07","TRUE","788","0","-1","Employment","Assam","India",TRUE
"52","APSC cash-for-job scam: Police unearths nexus of touts allegedly trying to bribe the judiciary

Choudhury's wife, P  ","2018-07-27 07:16:08","FALSE","2","0","-2","Employment","Assam","India",FALSE
"53","Jio Point Lead C: Jio - Silchar, Assam - Job Responsibilities : 1. Monitor the performance of distribution of own r  ","2018-07-27 06:53:06","FALSE","0","0","1","Employment","Assam","India",FALSE
"54","Hiring for air ticketing and front office: career India - Dibrugarh, Assam - We are hiring for Airline Industry: Gr  ","2018-07-27 06:53:06","FALSE","0","0","0","Employment","Assam","India",FALSE
"55","Executive trainee electrical and electronic 2018: HRSK MANAGEMENT PRIVATE LIMITED - Assam - Position: Engineer Trai  ","2018-07-27 06:53:06","FALSE","0","0","-1","Employment","Assam","India",FALSE
"56","HOME BASED DATA ENTRY TYPING WORK: Digi Tech Company Pvt. Ltd - Silchar, Assam - WORK ANY WHERE ANY TIME Digi tech  ","2018-07-27 06:53:05","FALSE","0","0","2","Employment","Assam","India",FALSE
"57","opening for fresher instrumentation engineer: HRSK MANAGEMENT PRIVATE LIMITED - Guwahati, Assam - Position: Enginee  ","2018-07-27 06:53:04","FALSE","0","0","0","Employment","Assam","India",FALSE
"58","Mechanical engineer trainee vacancy: HRSK MANAGEMENT PRIVATE LIMITED - Guwahati, Assam - Position: Engineer Trainee  ","2018-07-27 06:53:04","FALSE","0","0","-1","Employment","Assam","India",FALSE
"59","Area Head Finance C: Jio - Jorhat, Assam - Job Responsibilities : Be the business partner to the Jio Area to provid  ","2018-07-27 06:53:03","FALSE","0","0","0","Employment","Assam","India",FALSE
"60","Assam Public Service Commission Recruitment 2018: 34 Finance &amp; Accounts /Treasury Officer Posts , Apply at  ","2018-07-27 06:52:06","FALSE","0","0","0","Employment","Assam","India",FALSE
"61","RT @abishekbagchi: In Assam civil services exam, the candidates who were selected did NOT gave the exam. 
Dummy candidates gave the exam.
B","2018-07-27 06:46:32","TRUE","6","0","0","Employment","Assam","India",TRUE
"62","RT @abishekbagchi: In Assam civil services exam, the candidates who were selected did NOT gave the exam. 
Dummy candidates gave the exam.
B","2018-07-27 06:44:47","TRUE","6","0","0","Employment","Assam","India",TRUE
"63","Sales Manager || Life Insurance || Kolkata || Guwahati || silliguri: Mount Talent Consulting - Kolkata, West Bengal  ","2018-07-27 06:07:06","FALSE","0","1","1","Employment","Assam","India",FALSE
"64","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 06:00:28","TRUE","788","0","-1","Employment","Assam","India",TRUE
"65","RT @IYCWestBengal: Assam Police arrested the daughter of BJP MP RP Sharma and 18 other government officers in connection with the cash-for-","2018-07-27 05:57:11","TRUE","20","0","0","Employment","Assam","India",FALSE
"66","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 05:44:03","TRUE","788","0","-1","Employment","Assam","India",TRUE
"67","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 05:24:52","TRUE","788","0","-1","Employment","Assam","India",TRUE
"68","RT @Zoheb_Sh: BJP leader, DSP among fresh arrests in Assam cash-for-job scam ChowkidarNahiBhagidar  ","2018-07-27 04:05:05","TRUE","105","0","0","Employment","Assam","India",TRUE
"69","RT @Zoheb_Sh: BJP leader, DSP among fresh arrests in Assam cash-for-job scam ChowkidarNahiBhagidar  ","2018-07-27 03:52:30","TRUE","105","0","0","Employment","Assam","India",TRUE
"70","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 03:44:18","TRUE","788","0","-1","Employment","Assam","India",TRUE
"71","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 03:40:03","TRUE","788","0","-1","Employment","Assam","India",TRUE
"72","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 03:35:27","TRUE","788","0","-1","Employment","Assam","India",TRUE
"73","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 03:33:01","TRUE","788","0","-1","Employment","Assam","India",TRUE
"74","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 03:30:21","TRUE","788","0","-1","Employment","Assam","India",TRUE
"75","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 03:27:50","TRUE","788","0","-1","Employment","Assam","India",TRUE
"76","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 03:26:34","TRUE","788","0","-1","Employment","Assam","India",TRUE
"77","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 03:25:59","TRUE","788","0","-1","Employment","Assam","India",TRUE
"78","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 03:25:38","TRUE","788","0","-1","Employment","Assam","India",TRUE
"79","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 03:23:42","TRUE","788","0","-1","Employment","Assam","India",TRUE
"80","RT @VinayDokania: Whereever the BJP goes. Scams follow. Assam is just the latest. 
SansadGherao

 ","2018-07-27 03:16:00","TRUE","28","0","-1","Employment","Assam","India",FALSE
"81","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 02:39:51","TRUE","788","0","-1","Employment","Assam","India",TRUE
"82","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 02:27:31","TRUE","788","0","-1","Employment","Assam","India",TRUE
"83","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 01:55:47","TRUE","788","0","-1","Employment","Assam","India",TRUE
"84","RT @abishekbagchi: In Assam civil services exam, the candidates who were selected did NOT gave the exam. 
Dummy candidates gave the exam.
B","2018-07-27 01:41:04","TRUE","6","0","0","Employment","Assam","India",TRUE
"85"," ","2018-07-27 01:00:07","FALSE","0","0","0","Employment","Assam","India",FALSE
"86","RT @MahilaCongress: BJP scamsters enjoying the patronage of central and state leadership to amass infinite wealth.
After a BJP lawmaker's d","2018-07-27 00:59:44","TRUE","108","0","1","Employment","Assam","India",TRUE
"87","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-27 00:35:17","TRUE","788","0","-1","Employment","Assam","India",TRUE
"88","RT @rizwanahmad76: BJP leader, DSP among fresh arrests in Assam cash-for-job scam  ","2018-07-26 23:15:50","TRUE","1","0","0","Employment","Assam","India",FALSE
"89","BJP leader, DSP among fresh arrests in Assam cash-for-job scam  ","2018-07-26 23:12:46","FALSE","1","0","0","Employment","Assam","India",TRUE
"90","RT @abishekbagchi: In Assam civil services exam, the candidates who were selected did NOT gave the exam. 
Dummy candidates gave the exam.
B","2018-07-26 22:07:17","TRUE","6","0","0","Employment","Assam","India",TRUE
"91","In Assam civil services exam, the candidates who were selected did NOT gave the exam. 
Dummy candidates gave the ex  ","2018-07-26 22:06:49","FALSE","6","3","0","Employment","Assam","India",FALSE
"92","RT @IYCWestBengal: Assam Police arrested the daughter of BJP MP RP Sharma and 18 other government officers in connection with the cash-for-","2018-07-26 20:24:21","TRUE","20","0","0","Employment","Assam","India",TRUE
"93","RT @suwithrg: CorruptBJP
BJP leader, DSP among fresh arrests in Assam cash-for-job scam via @htTweets  ","2018-07-26 19:58:47","TRUE","2","0","0","Employment","Assam","India",TRUE
"94","CorruptBJP
BJP leader, DSP among fresh arrests in Assam cash-for-job scam via @htTweets  ","2018-07-26 19:54:41","FALSE","2","3","0","Employment","Assam","India",FALSE
"95","@assam_police @manojananda @CMOfficeAssam @IPS_Association Good job !! Assam Police","2018-07-26 19:25:23","FALSE","0","0","1","Employment","Assam","India",FALSE
"96","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-26 18:10:42","TRUE","788","0","-1","Employment","Assam","India",TRUE
"97","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-26 17:37:01","TRUE","788","0","-1","Employment","Assam","India",TRUE
"98","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-26 17:36:16","TRUE","788","0","-1","Employment","Assam","India",TRUE
"99","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-26 16:55:02","TRUE","788","0","-1","Employment","Assam","India",TRUE
"100","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-26 16:48:09","TRUE","788","0","-1","Employment","Assam","India",TRUE
"101","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-26 16:46:02","TRUE","788","0","-1","Employment","Assam","India",TRUE
"102","RT @cyclic_soul: @Aagan86 @James31240849 @BanglaPokkho @arinbasu @UNHumanRights @ANNZnDIPZ @Truth_of_WB @GargaC @abishekbagchi @ananyac8065","2018-07-26 16:23:42","TRUE","2","0","0","Employment","Assam","India",FALSE
"103","@assam_police @CMOfficeAssam @IPS_Association Really appreciative sir. Job well done","2018-07-26 16:00:43","FALSE","0","1","2","Employment","Assam","India",FALSE
"104","RT @VinayDokania: Whereever the BJP goes. Scams follow. Assam is just the latest. 
SansadGherao

 ","2018-07-26 15:57:39","TRUE","28","0","-1","Employment","Assam","India",TRUE
"105","BJP leader, DSP among fresh arrests in Assam cash-for-job scam  ","2018-07-26 15:48:50","FALSE","0","0","0","Employment","Assam","India",TRUE
"106","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-26 15:48:23","TRUE","788","0","-1","Employment","Assam","India",TRUE
"107","RT @INCIndia: Where ever the BJP goes. Scams follow. Assam is just the latest. 
 ","2018-07-26 15:24:43","TRUE","788","0","-1","Employment","Assam","India",TRUE
