"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @sarkar_swati: Help Hindu Bengalis in Assam to save them from becoming refugee again  ","2018-07-27 15:01:32","TRUE","11","0","0","Food","Assam","India",FALSE
"2","Spotted at a small roadside restaurant in Guwahati, Assam- a 2003 @ManUtd squad photo!  that takes me back!! Just  ","2018-07-27 12:03:15","FALSE","0","0","0","Food","Assam","India",FALSE
"3","RT @sarkar_swati: Help Hindu Bengalis in Assam to save them from becoming refugee again  ","2018-07-26 18:57:56","TRUE","11","0","0","Food","Assam","India",TRUE
"4","RT @sarkar_swati: Help Hindu Bengalis in Assam to save them from becoming refugee again  ","2018-07-26 18:14:59","TRUE","11","0","0","Food","Assam","India",TRUE
"5","RT @sarkar_swati: Help Hindu Bengalis in Assam to save them from becoming refugee again  ","2018-07-26 17:42:41","TRUE","11","0","0","Food","Assam","India",TRUE
"6","RT @sarkar_swati: Help Hindu Bengalis in Assam to save them from becoming refugee again  ","2018-07-26 17:30:18","TRUE","11","0","0","Food","Assam","India",TRUE
"7","RT @sarkar_swati: Help Hindu Bengalis in Assam to save them from becoming refugee again  ","2018-07-26 17:10:35","TRUE","11","0","0","Food","Assam","India",TRUE
"8","RT @sarkar_swati: Help Hindu Bengalis in Assam to save them from becoming refugee again  ","2018-07-26 15:36:37","TRUE","11","0","0","Food","Assam","India",TRUE
"9","RT @sarkar_swati: Help Hindu Bengalis in Assam to save them from becoming refugee again  ","2018-07-26 14:20:20","TRUE","11","0","0","Food","Assam","India",TRUE
"10","RT @sarkar_swati: Help Hindu Bengalis in Assam to save them from becoming refugee again  ","2018-07-26 14:07:28","TRUE","11","0","0","Food","Assam","India",TRUE
"11","Help Hindu Bengalis in Assam to save them from becoming refugee again  ","2018-07-26 14:06:56","FALSE","11","11","0","Food","Assam","India",FALSE
"12","Veganism and vegetarianism is a big thing in India. Can we see the same done in Assam and Kerala like these wonderf  ","2018-07-25 21:00:11","FALSE","1","2","1","Food","Assam","India",FALSE
"13","1918 to Till Now, Nonstop, Mirchidar Journey of Assam's first Restaurant  ""Mahamaya"", Watch till the End, and Don't  ","2018-07-23 12:39:22","FALSE","0","1","0","Food","Assam","India",FALSE
"14","An honour and a privilege to dine at the best restaurant on Earth this weekend. Thank you, @YnyshirRest   ","2018-07-23 11:17:02","FALSE","0","1","3","Food","Assam","India",FALSE
"15","RT @ahsanjaved513: Stole Rs. 1000 from my PML-N supporting friend, went to a restaurant, spent Rs. 800 on my food, and packed goods worth R","2018-07-23 09:48:53","TRUE","737","0","1","Food","Assam","India",FALSE
"16","RT @indiapicturesXL: RT @indiapicturesXL: RT @indiapicturesXL: RT @indiapicturesXL: RT @indiapicturesXL: RT  ","2018-07-21 13:59:10","FALSE","0","0","0","Food","Assam","India",FALSE
"17","RT @indiapicturesXL: RT @indiapicturesXL: RT @indiapicturesXL: RT @indiapicturesXL: RT @indiapicturesXL: RT  ","2018-07-21 11:59:14","FALSE","0","0","0","Food","Assam","India",TRUE
"18","RT @indiapicturesXL: RT @indiapicturesXL: RT @indiapicturesXL: RT @indiapicturesXL: RT @indiapicturesXL: RT  ","2018-07-21 09:59:30","FALSE","0","0","0","Food","Assam","India",TRUE
"19","RT @indiapicturesXL: RT @indiapicturesXL: RT @indiapicturesXL: RT @indiapicturesXL: RT @TheRedRiver1: A RandomShot  ","2018-07-21 07:59:32","FALSE","0","0","0","Food","Assam","India",FALSE
"20","RT @indiapicturesXL: RT @indiapicturesXL: RT @indiapicturesXL: RT @TheRedRiver1: A RandomShot of a Menu of a  ","2018-07-20 17:59:35","FALSE","0","0","0","Food","Assam","India",FALSE
"21","RT @indiapicturesXL: RT @indiapicturesXL: RT @TheRedRiver1: A RandomShot of a Menu of a Tinsukia Restaurant Hotel  ","2018-07-20 11:59:46","FALSE","0","1","0","Food","Assam","India",FALSE
"22","RT @indiapicturesXL: RT @TheRedRiver1: A RandomShot of a Menu of a Tinsukia Restaurant Hotel Assam India  ","2018-07-20 09:59:14","FALSE","0","1","0","Food","Assam","India",FALSE
"23","RT @TheRedRiver1: A RandomShot of a Menu of a Tinsukia Restaurant Hotel Assam India indiapictures  ","2018-07-20 07:59:13","FALSE","0","0","0","Food","Assam","India",FALSE
"24","Shutdown of restaurant, bakery
UnhygienicFood
FoodSafetyOfficials  ","2018-07-20 06:47:47","FALSE","0","2","0","Food","Assam","India",FALSE
"25","A RandomShot of a Menu of a Tinsukia Restaurant Hotel Assam India indiapictures indiapicture everyday  ","2018-07-19 13:31:09","FALSE","0","0","0","Food","Assam","India",FALSE
