"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @AseerAchary: Retweeted AAI Tiruchirappalli International Airport (@aaitrzairport):

@ayushgaur @IndiGo6E starting flight services for S","2018-07-28 17:44:54","TRUE","0","0","0","Transportation","Assam","India",FALSE
"2","International: A 19-year-old woman as been detained at New Delhi Airport after a dead new-born baby was found in  ","2018-07-28 16:30:30","FALSE","0","0","-1","Transportation","Assam","India",FALSE
"3","RT @PMOIndia: PM @narendramodi landed in Delhi this morning. EAM @SushmaSwaraj welcomed him at the airport. 

PM returned after historic bi","2018-07-28 04:51:07","TRUE","1361","0","0","Transportation","Assam","India",FALSE
"4","RT @TweetNitinS: Few lucky ones dont need an airport! Assam India  ","2018-07-26 05:22:16","TRUE","1","0","1","Transportation","Assam","India",FALSE
"5","Few lucky ones dont need an airport! Assam India  ","2018-07-26 05:09:48","FALSE","1","7","1","Transportation","Assam","India",FALSE
"6","RT @RevErskineGH: Our Kotoka International Airport Guys!  I feel like traveling soon   ","2018-07-24 10:41:44","TRUE","892","0","1","Transportation","Assam","India",FALSE
"7","5 more airports - Khajuraho (MP), Raipur (Chhattisgarh), Jorhat (Assam), Dimapur (Nagaland) and Shillong (Megh  ","2018-07-24 08:05:32","FALSE","0","2","0","Transportation","Assam","India",FALSE
"8","@gyansr @RahulGandhi @narendramodi This is the gift of congress , foundation laid on killing Hindus and Sikhs. Did  ","2018-07-23 16:58:16","FALSE","0","0","-1","Transportation","Assam","India",FALSE
"9","RT @tiwary_27: @sureshpprabhu our @PMOIndia promised under RCS-UDAN scheme that by Dec 2018 more than 100 unserved airports will be develop","2018-07-23 16:18:44","TRUE","2","0","1","Transportation","Assam","India",FALSE
"10","RT @tiwary_27: @sureshpprabhu our @PMOIndia promised under RCS-UDAN scheme that by Dec 2018 more than 100 unserved airports will be develop","2018-07-23 09:38:24","TRUE","2","0","1","Transportation","Assam","India",TRUE
"11","@sureshpprabhu our @PMOIndia promised under RCS-UDAN scheme that by Dec 2018 more than 100 unserved airports will b  ","2018-07-23 07:24:20","FALSE","2","4","1","Transportation","Assam","India",FALSE
"12","Back to Mumbai  traveling to Guwahati, Assam from Mumbai Chhatrapati International Airport (Domestic Terminal)  ","2018-07-23 05:59:25","FALSE","0","0","0","Transportation","Assam","India",FALSE
"13","I have flight from Dibrugarh, Assam and there's a strike here, how will i get on board or reach airport?  ","2018-07-22 18:50:59","FALSE","0","0","-1","Transportation","Assam","India",FALSE
"14","RT @DrPravinTogadia: Wow! Interesting! This Gag Order was pushed into my hands at morning at Assam Guvahati Airport, banning me from speaki","2018-07-22 16:42:38","TRUE","73","0","2","Transportation","Assam","India",FALSE
"15","I have an @airindiain flight from Dibrugarh, Assam and there's a strike here, how will i get on board or reach airp  ","2018-07-22 15:48:18","FALSE","0","0","-1","Transportation","Assam","India",FALSE
"16","RT @DrPravinTogadia: Wow! Interesting! This Gag Order was pushed into my hands at morning at Assam Guvahati Airport, banning me from speaki","2018-07-22 14:11:54","TRUE","73","0","2","Transportation","Assam","India",TRUE
"17","RT @DrPravinTogadia: Wow! Interesting! This Gag Order was pushed into my hands at morning at Assam Guvahati Airport, banning me from speaki","2018-07-22 10:33:43","TRUE","73","0","2","Transportation","Assam","India",TRUE
"18","RT @DrPravinTogadia: Wow! Interesting! This Gag Order was pushed into my hands at morning at Assam Guvahati Airport, banning me from speaki","2018-07-22 10:04:32","TRUE","73","0","2","Transportation","Assam","India",TRUE
"19","RT @BhupenKBorah: On my way to Delhi to attend tomorrows extended @INCIndia CWC meeting ,enjoyed Assam tea with BCC Presidents  Shri Gajen","2018-07-22 08:43:25","TRUE","12","0","1","Transportation","Assam","India",FALSE
"20","RT @BhupenKBorah: On my way to Delhi to attend tomorrows extended @INCIndia CWC meeting ,enjoyed Assam tea with BCC Presidents  Shri Gajen","2018-07-22 06:32:22","TRUE","12","0","1","Transportation","Assam","India",TRUE
"21","RT @BhupenKBorah: On my way to Delhi to attend tomorrows extended @INCIndia CWC meeting ,enjoyed Assam tea with BCC Presidents  Shri Gajen","2018-07-22 05:33:00","TRUE","12","0","1","Transportation","Assam","India",TRUE
