"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Sometimes when your will power makes you to feel as a villain and when you feel just cool down. Take a long breath  ","2018-07-27 19:20:27","FALSE","0","1","1","Climate","Bihar","India",FALSE
"2","@KiranKS You see the temperature of Bangalore in april 2018, 37 was normal.. leave other Indian states like UP,  Bihar, Odisha, etc....","2018-07-23 14:52:44","FALSE","0","0","1","Climate","Bihar","India",FALSE
"3",":   41.6    ,    36      ","2018-07-21 17:30:01","FALSE","0","0","0","Climate","Bihar","India",FALSE
"4","RT @News18Bihar:    41.6    , 36    

 ","2018-07-21 14:53:14","TRUE","7","0","0","Climate","Bihar","India",FALSE
"5","RT @News18Bihar:    41.6    , 36    
 ","2018-07-21 14:50:45","TRUE","9","0","0","Climate","Bihar","India",FALSE
"6","RT @VagariesWeather: Patna city in Bihar records highest temperature ever in July at 41.6C which is 9C above normal!! Also broken 36-ye","2018-07-21 12:52:06","TRUE","3","0","-1","Climate","Bihar","India",FALSE
"7","RT @News18Bihar:    41.6    , 36    

 ","2018-07-21 12:31:50","TRUE","7","0","0","Climate","Bihar","India",TRUE
"8","RT @News18Bihar:    41.6    , 36    
 ","2018-07-21 12:17:19","TRUE","9","0","0","Climate","Bihar","India",TRUE
"9","RT @VagariesWeather: Patna city in Bihar records highest temperature ever in July at 41.6C which is 9C above normal!! Also broken 36-ye","2018-07-21 10:54:21","TRUE","3","0","-1","Climate","Bihar","India",TRUE
"10","RT @News18Bihar:    41.6    , 36    

 ","2018-07-21 08:17:29","TRUE","7","0","0","Climate","Bihar","India",TRUE
"11","RT @News18Bihar:    41.6    , 36    
 ","2018-07-21 07:36:35","TRUE","9","0","0","Climate","Bihar","India",TRUE
"12","RT @News18Bihar:    41.6    , 36    

 ","2018-07-21 05:13:36","TRUE","7","0","0","Climate","Bihar","India",TRUE
"13","RT @News18Bihar:    41.6    , 36    

 ","2018-07-21 04:59:44","TRUE","7","0","0","Climate","Bihar","India",TRUE
"14","RT @News18Bihar:    41.6    , 36    

 ","2018-07-21 04:33:26","TRUE","7","0","0","Climate","Bihar","India",TRUE
"15","   41.6    , 36    

 ","2018-07-21 04:11:13","FALSE","7","33","0","Climate","Bihar","India",FALSE
"16","RT @News18Bihar:    41.6    , 36    
 ","2018-07-21 03:19:52","TRUE","9","0","0","Climate","Bihar","India",TRUE
"17","Retweeted News18 Bihar (@News18Bihar):

   41.6    , 36      ","2018-07-21 02:40:42","FALSE","0","0","0","Climate","Bihar","India",FALSE
"18","RT @News18Bihar:    41.6    , 36    
 ","2018-07-21 02:40:39","TRUE","9","0","0","Climate","Bihar","India",TRUE
"19",":    36   ,  41    ","2018-07-21 02:03:12","FALSE","0","0","0","Climate","Bihar","India",FALSE
"20","RT @News18Bihar:    41.6    , 36    
 ","2018-07-20 17:12:50","TRUE","9","0","0","Climate","Bihar","India",TRUE
"21","RT @News18Bihar:    41.6    , 36    
 ","2018-07-20 17:12:10","TRUE","9","0","0","Climate","Bihar","India",TRUE
"22","RT @News18Bihar:    41.6    , 36    
 ","2018-07-20 16:52:45","TRUE","9","0","0","Climate","Bihar","India",TRUE
"23","RT @News18Bihar:    41.6    , 36    
 ","2018-07-20 16:48:09","TRUE","9","0","0","Climate","Bihar","India",TRUE
"24","   41.6    , 36    
 ","2018-07-20 16:47:00","FALSE","9","10","0","Climate","Bihar","India",FALSE
"25","RT @VagariesWeather: Patna city in Bihar records highest temperature ever in July at 41.6C which is 9C above normal!! Also broken 36-ye","2018-07-20 15:02:12","TRUE","3","0","-1","Climate","Bihar","India",TRUE
"26","Patna city in Bihar records highest temperature ever in July at 41.6C which is 9C above normal!! Also broken 36  ","2018-07-20 15:00:42","FALSE","3","9","-1","Climate","Bihar","India",FALSE
