"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-28 18:47:43","TRUE","102","0","-2","Crime Rate","Bihar","India",FALSE
"2","RT @Manisha76594187: @gaugyan @PMOIndia @HMOIndia @NitishKumar @bihar_police @BiharCops @republic @aajtak @TimesNow @PTI_News @IndiaToday @","2018-07-28 18:43:24","TRUE","2","0","0","Crime Rate","Bihar","India",FALSE
"3","RT @ShariqulBari: To bring the attention of government towards child sex abuse,to punish the kingpins of this heinous crime, @yadavtejashwi","2018-07-28 18:42:40","TRUE","1","0","-3","Crime Rate","Bihar","India",FALSE
"4","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-28 18:39:32","TRUE","102","0","-2","Crime Rate","Bihar","India",TRUE
"5","RT @Manisha76594187: @gaugyan @PMOIndia @HMOIndia @NitishKumar @bihar_police @BiharCops @republic @aajtak @TimesNow @PTI_News @IndiaToday @","2018-07-28 18:38:12","TRUE","2","0","0","Crime Rate","Bihar","India",TRUE
"6","RT @soundgene: @gaugyan @PMOIndia @HMOIndia @NitishKumar @bihar_police @BiharCops @republic @aajtak @TimesNow @PTI_News @IndiaToday @News18","2018-07-28 18:36:52","TRUE","3","0","0","Crime Rate","Bihar","India",FALSE
"7","RT @VTankha: 29 girls raped in a shelter home in Bihar. 1 also murdered and buried. India shamed. Tell me in which civilised world a Govt c","2018-07-28 18:35:34","TRUE","133","0","-1","Crime Rate","Bihar","India",FALSE
"8","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-28 18:32:19","TRUE","102","0","-2","Crime Rate","Bihar","India",TRUE
"9","         ","2018-07-28 18:29:34","FALSE","0","0","0","Crime Rate","Bihar","India",FALSE
"10","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-28 18:23:34","TRUE","102","0","-2","Crime Rate","Bihar","India",TRUE
"11","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-28 18:12:05","TRUE","102","0","-2","Crime Rate","Bihar","India",TRUE
