"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @HappymonJacob: I know I should be careful with my language..but these bastards 

 ","2018-07-28 17:13:25","TRUE","3","0","-1","Culture","Bihar","India",FALSE
"2","RT @HappymonJacob: I know I should be careful with my language..but these bastards 

 ","2018-07-28 16:49:15","TRUE","3","0","-1","Culture","Bihar","India",TRUE
"3","RT @HappymonJacob: I know I should be careful with my language..but these bastards 

 ","2018-07-28 16:23:07","TRUE","3","0","-1","Culture","Bihar","India",TRUE
"4","I know I should be careful with my language..but these bastards 

 ","2018-07-28 16:13:47","FALSE","3","9","-1","Culture","Bihar","India",FALSE
"5","RT @RajeshK91173507: Maithili language must be given 2nd language status in Bihar","2018-07-28 08:04:20","TRUE","1","0","0","Culture","Bihar","India",FALSE
"6","Maithili language must be given 2nd language status in Bihar","2018-07-28 08:04:11","FALSE","1","1","0","Culture","Bihar","India",FALSE
"7","Sir good morning
ALP exam par aap vedio banaye all bihar student Hyderabad  de diya 
Agar exam dene nahi jayega to  ","2018-07-28 05:07:49","FALSE","0","0","1","Culture","Bihar","India",FALSE
"8","@noconversion No, Anga kingdom is present day bhagalpur &amp; munger district of bihar. Local language called angika.","2018-07-28 04:47:08","FALSE","0","2","0","Culture","Bihar","India",FALSE
"9","RT @narmadeshwa2053: @tweets_fa @JavedAlamPES6 @krirtna @VipinINC @iammnisa @2Suhana @HasibaAmin @Zoheb_Sh Even oppsn pty ppl respect her i","2018-07-27 23:55:30","TRUE","3","0","1","Culture","Bihar","India",FALSE
"10","@senthilchandr @BJP4India I don't want to hurt ur sentiments. I hv completed my  ","2018-07-27 18:54:28","FALSE","0","0","-1","Culture","Bihar","India",FALSE
"11","@ainvvy @chennaikaran her as CM of UP, murdering the official state language - or Rajasthan, or Bihar -- is fun. It can't be TN or Karnataka","2018-07-27 13:55:56","FALSE","0","0","1","Culture","Bihar","India",FALSE
"12","RT @trehan_barkha: HusbandMurder on rise
But who cares, lawmakers are deaf
@rsprasad
CrimeByWoman
In a shocking incident, a woman in Biha","2018-07-27 05:07:20","TRUE","42","0","-1","Culture","Bihar","India",FALSE
"13","RT @RajeshK91173507: Why not Maithili language been given 2nd language status in Bihar?We should fight for it?","2018-07-27 00:56:27","TRUE","1","0","0","Culture","Bihar","India",FALSE
"14","Why not Maithili language been given 2nd language status in Bihar?We should fight for it?","2018-07-27 00:56:17","FALSE","1","1","0","Culture","Bihar","India",FALSE
"15","@TRBRajaa @IndiGo6E May be the airline management thought Trichy is in UP or Bihar. Since no other language people  ","2018-07-26 14:51:04","FALSE","0","0","0","Culture","Bihar","India",FALSE
"16","          ","2018-07-26 14:41:03","FALSE","0","0","0","Culture","Bihar","India",FALSE
"17","RT @trehan_barkha: HusbandMurder on rise
But who cares, lawmakers are deaf
@rsprasad
CrimeByWoman
In a shocking incident, a woman in Biha","2018-07-25 17:17:52","TRUE","42","0","-1","Culture","Bihar","India",TRUE
"18","RT @trehan_barkha: HusbandMurder on rise
But who cares, lawmakers are deaf
@rsprasad
CrimeByWoman
In a shocking incident, a woman in Biha","2018-07-25 16:16:45","TRUE","42","0","-1","Culture","Bihar","India",TRUE
"19","@AkhileshExplore @Vaani_Singh It was because of the language used - ek bihari or rather bihar main use hotey hai ye  ","2018-07-25 16:07:27","FALSE","0","0","0","Culture","Bihar","India",FALSE
"20","@Mohanlal Sir Kya aap meri language samjhte hai mai bihar se sir","2018-07-25 11:19:59","FALSE","0","1","0","Culture","Bihar","India",FALSE
"21","RT @RajeshK91173507: When Maithili language will be given 2nd language status in Bihar by Nitish Kumar's Govt?","2018-07-25 08:35:55","TRUE","1","0","0","Culture","Bihar","India",FALSE
"22","When Maithili language will be given 2nd language status in Bihar by Nitish Kumar's Govt?","2018-07-25 08:35:45","FALSE","1","1","0","Culture","Bihar","India",FALSE
"23","RT @narmadeshwa2053: @tweets_fa @JavedAlamPES6 @krirtna @VipinINC @iammnisa @2Suhana @HasibaAmin @Zoheb_Sh Even oppsn pty ppl respect her i","2018-07-24 21:14:20","TRUE","3","0","1","Culture","Bihar","India",TRUE
"24","RT @narmadeshwa2053: @tweets_fa @JavedAlamPES6 @krirtna @VipinINC @iammnisa @2Suhana @HasibaAmin @Zoheb_Sh Even oppsn pty ppl respect her i","2018-07-24 21:13:07","TRUE","3","0","1","Culture","Bihar","India",TRUE
"25","RT @RajeshK91173507: @NitishKumar -Maithili language must be given 2nd language status in Bihar for Mithila chal people.","2018-07-24 16:15:42","TRUE","1","0","0","Culture","Bihar","India",FALSE
"26","@NitishKumar -Maithili language must be given 2nd language status in Bihar for Mithila chal people.","2018-07-24 16:15:28","FALSE","1","1","0","Culture","Bihar","India",FALSE
"27","@iEshan_ @ektaaloksingh @dilrajjangal @ArvindKejriwal Wah wah. Language badi acchi hai apki. Bihar k lagte ho ya fi  ","2018-07-24 09:26:17","FALSE","0","0","0","Culture","Bihar","India",FALSE
"28","@News18India @BiharTeachers- That's why people from Bihar Loves English. Because they make it ""English is a very Funny Language""","2018-07-24 07:48:15","FALSE","0","0","0","Culture","Bihar","India",FALSE
"29","@tweets_fa @JavedAlamPES6 @krirtna @VipinINC @iammnisa @2Suhana @HasibaAmin @Zoheb_Sh Even oppsn pty ppl respect he  ","2018-07-24 04:13:03","FALSE","3","4","1","Culture","Bihar","India",FALSE
"30","NitishKumar govt unanimously passes amendment law on liquor prohibition in the Bihar Assembly  ","2018-07-23 11:29:27","FALSE","0","0","0","Culture","Bihar","India",FALSE
"31","@Im_TheWall Basically m from madhubani a small palace in Bihar nd mithili is a language.  we speaks mathali languag  ","2018-07-23 06:00:31","FALSE","0","0","0","Culture","Bihar","India",FALSE
"32","@Babu_Bhaiyaa We dont want ur hindi. Hindi is also a regional language of UP/Bihar. Keep it in ur BIMARU hindi belt  ","2018-07-22 17:24:19","FALSE","0","0","0","Culture","Bihar","India",FALSE
"33","@decoyspirit @girishkargadde Only language that is forced on us is mughali hindi. Urdu is official lang of UP/Bihar  ","2018-07-22 17:20:11","FALSE","0","0","0","Culture","Bihar","India",FALSE
"34","@MrsGandhi @Dev_Fadnavis @sanjaynirupam Omg..to say in his own language Eh bihar ka panwala bayya pagal hogaya hai","2018-07-22 17:14:23","FALSE","0","0","0","Culture","Bihar","India",FALSE
"35","RT @RajeshK91173507: Maithili language must be given 2nd language status in Bihar to win Mithila region.","2018-07-22 13:32:27","TRUE","1","0","1","Culture","Bihar","India",FALSE
"36","Maithili language must be given 2nd language status in Bihar to win Mithila region.","2018-07-22 13:32:08","FALSE","1","1","1","Culture","Bihar","India",FALSE
"37","This Dumb Ex Army Asshole BJP mole does not know Indian Army is full of caste language &amp; religious regiments.. Jat  ","2018-07-22 04:38:03","FALSE","0","1","-1","Culture","Bihar","India",FALSE
"38","@Sharmis93118717 Me mumta didi ko support karta hu lakin bihar se hu isliye language nhi smjh pata 
Isliye pucha kya bol rhi","2018-07-22 03:23:17","FALSE","0","1","1","Culture","Bihar","India",FALSE
"39","RT @trehan_barkha: HusbandMurder on rise
But who cares, lawmakers are deaf
@rsprasad
CrimeByWoman
In a shocking incident, a woman in Biha","2018-07-21 14:09:07","TRUE","42","0","-1","Culture","Bihar","India",TRUE
"40","RT @trehan_barkha: HusbandMurder on rise
But who cares, lawmakers are deaf
@rsprasad
CrimeByWoman
In a shocking incident, a woman in Biha","2018-07-21 12:44:29","TRUE","42","0","-1","Culture","Bihar","India",TRUE
"41","INDIA - Students in Patna are learning ForeignLanguages to seek ""jobs in European countries like Germany, France  ","2018-07-21 08:58:22","FALSE","0","0","1","Culture","Bihar","India",FALSE
"42","Mumbai 's Papu praised Delhi's  ","2018-07-21 07:06:10","FALSE","0","1","0","Culture","Bihar","India",FALSE
"43","RT @VikasMarathi: Why is @SansuiOfficial insisting the people of Maharashtra to speak the language of UP/ Bihar? Stop imposing Hindi and d","2018-07-21 06:31:47","TRUE","1","0","-1","Culture","Bihar","India",FALSE
"44","Why is @SansuiOfficial insisting the people of Maharashtra to speak the language of UP/ Bihar? Stop imposing Hindi  ","2018-07-21 06:14:25","FALSE","1","2","-1","Culture","Bihar","India",FALSE
"45","Dr. Chandeshwor Dubey was born in Bihar, taught few years in Nepal and then went  to Manipur University to teach Hi  ","2018-07-21 03:15:58","FALSE","0","0","0","Culture","Bihar","India",FALSE
"46","RT @Harshchambawane: Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hindi","2018-07-20 19:47:12","TRUE","15","0","0","Culture","Bihar","India",FALSE
"47","Prophet Mohammad (PBUH):

""She who patiently tolerates her husbands bad character will be rewarded equivalent to t  ","2018-07-20 17:11:01","FALSE","0","1","0","Culture","Bihar","India",FALSE
"48","Dont spend time to reply to my tweets. For me this is an exercise, to improve my communication skills. I am only a  ","2018-07-20 15:26:21","FALSE","0","0","1","Culture","Bihar","India",FALSE
"49","RT @Harshchambawane: Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hindi","2018-07-20 14:23:44","TRUE","15","0","0","Culture","Bihar","India",TRUE
"50","RT @Harshchambawane: Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hindi","2018-07-20 14:17:09","TRUE","15","0","0","Culture","Bihar","India",TRUE
"51","RT @trehan_barkha: HusbandMurder on rise
But who cares, lawmakers are deaf
@rsprasad
CrimeByWoman
In a shocking incident, a woman in Biha","2018-07-20 07:48:21","TRUE","42","0","-1","Culture","Bihar","India",TRUE
"52","@madhukishwar @TheDailyPioneer some of their reporters like Faizan Ahmad (Bihar), Omer Farooq (Hyderabad), Abraham  ","2018-07-20 07:41:05","FALSE","0","1","1","Culture","Bihar","India",FALSE
"53","RT @Harshchambawane: Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hindi","2018-07-20 05:24:36","TRUE","15","0","0","Culture","Bihar","India",TRUE
"54","RT @Harshchambawane: Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hindi","2018-07-20 03:50:33","TRUE","15","0","0","Culture","Bihar","India",TRUE
"55","RT @Harshchambawane: Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hindi","2018-07-19 19:04:59","TRUE","15","0","0","Culture","Bihar","India",TRUE
"56","RT @Harshchambawane: Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hindi","2018-07-19 18:01:46","TRUE","15","0","0","Culture","Bihar","India",TRUE
"57","RT @trehan_barkha: HusbandMurder on rise
But who cares, lawmakers are deaf
@rsprasad
CrimeByWoman
In a shocking incident, a woman in Biha","2018-07-19 15:15:42","TRUE","42","0","-1","Culture","Bihar","India",TRUE
"58","RT @Harshchambawane: Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hindi","2018-07-19 15:13:16","TRUE","15","0","0","Culture","Bihar","India",TRUE
"59","RT @Harshchambawane: Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hindi","2018-07-19 14:25:46","TRUE","15","0","0","Culture","Bihar","India",TRUE
"60","RT @Harshchambawane: Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hindi","2018-07-19 14:07:37","TRUE","15","0","0","Culture","Bihar","India",TRUE
"61","RT @Harshchambawane: Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hindi","2018-07-19 13:59:04","TRUE","15","0","0","Culture","Bihar","India",TRUE
"62","RT @Harshchambawane: Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hindi","2018-07-19 13:48:43","TRUE","15","0","0","Culture","Bihar","India",TRUE
"63","Elf Schler vergewaltigen Mdchen, bis es ohnmchtig wird  ","2018-07-19 13:04:42","FALSE","0","0","0","Culture","Bihar","India",FALSE
"64","@Harshchambawane @Central_Railway @drmmumbaicr @MarathiRT @Mar @AmhiDombivlikar @RailwaySeva @cprocrly @rajtoday  ","2018-07-19 12:58:50","FALSE","0","0","-1","Culture","Bihar","India",FALSE
"65","RT @Harshchambawane: Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hindi","2018-07-19 10:22:40","TRUE","15","0","0","Culture","Bihar","India",TRUE
"66","RT @Harshchambawane: Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hindi","2018-07-19 10:15:12","TRUE","15","0","0","Culture","Bihar","India",TRUE
"67","Why announcements on trans-harbour line are done first in hindi language? It should always be first in marathi, hin  ","2018-07-19 09:53:52","FALSE","15","43","0","Culture","Bihar","India",FALSE
"68","RT @trehan_barkha: HusbandMurder on rise
But who cares, lawmakers are deaf
@rsprasad
CrimeByWoman
In a shocking incident, a woman in Biha","2018-07-19 05:45:21","TRUE","42","0","-1","Culture","Bihar","India",TRUE
"69","Now @BJP4India must organize camp everywhere to show the performance of the party of centre and states with printed  ","2018-07-19 04:45:07","FALSE","0","0","0","Culture","Bihar","India",FALSE
"70","RT @trehan_barkha: HusbandMurder on rise
But who cares, lawmakers are deaf
@rsprasad
CrimeByWoman
In a shocking incident, a woman in Biha","2018-07-19 02:49:13","TRUE","42","0","-1","Culture","Bihar","India",TRUE
"71","Bihar sarkar kakhan jaagat?  ","2018-07-19 02:35:58","FALSE","0","0","0","Culture","Bihar","India",FALSE
"72","RT @trehan_barkha: HusbandMurder on rise
But who cares, lawmakers are deaf
@rsprasad
CrimeByWoman
In a shocking incident, a woman in Biha","2018-07-18 20:23:46","TRUE","42","0","-1","Culture","Bihar","India",TRUE
"73","RT @trehan_barkha: HusbandMurder on rise
But who cares, lawmakers are deaf
@rsprasad
CrimeByWoman
In a shocking incident, a woman in Biha","2018-07-18 19:44:26","TRUE","42","0","-1","Culture","Bihar","India",TRUE
"74","When I talk English Marathi Santhali Bihari Bangali etc. People laugh means the language which I don't know people  ","2018-07-18 19:18:11","FALSE","0","0","0","Culture","Bihar","India",FALSE
"75","@N1rajKumar @PRajputsingh Kisko tujhe ..hamesha bihar ko nicha dikhane ka kaam kerta hai ye cheap language bol ke.. abhi waisa he gandu","2018-07-18 15:41:49","FALSE","0","0","-1","Culture","Bihar","India",FALSE
"76","RT @trehan_barkha: HusbandMurder on rise
But who cares, lawmakers are deaf
@rsprasad
CrimeByWoman
In a shocking incident, a woman in Biha","2018-07-18 11:52:33","TRUE","42","0","-1","Culture","Bihar","India",TRUE
