"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @SudarshanNewsTV: UP                        ","2018-07-28 18:48:23","TRUE","112","0","0","Education","Bihar","India",FALSE
"2","RT @SudarshanNewsTV: UP                        ","2018-07-28 18:45:29","TRUE","112","0","0","Education","Bihar","India",TRUE
"3","RT @SudarshanNewsTV: UP                        ","2018-07-28 18:41:32","TRUE","112","0","0","Education","Bihar","India",TRUE
"4","RT @SudarshanNewsTV: UP                        ","2018-07-28 18:40:23","TRUE","112","0","0","Education","Bihar","India",TRUE
"5","RT @SudarshanNewsTV: UP                        ","2018-07-28 18:36:21","TRUE","112","0","0","Education","Bihar","India",TRUE
"6","RT @SudarshanNewsTV: UP                        ","2018-07-28 18:35:33","TRUE","112","0","0","Education","Bihar","India",TRUE
"7","RT @SudarshanNewsTV: UP                        ","2018-07-28 18:24:12","TRUE","112","0","0","Education","Bihar","India",TRUE
"8","RT @SudarshanNewsTV: UP                        ","2018-07-28 18:22:28","TRUE","112","0","0","Education","Bihar","India",TRUE
"9","RT @NADEEMGOUR786: Rape with 40 orphan girls in Muzaffarpur, Bihar. girls were burnt, cut and drugged daily before rape victims forced to s","2018-07-28 18:14:44","TRUE","3","0","-3","Education","Bihar","India",FALSE
"10","RT @SudarshanNewsTV: UP                        ","2018-07-28 18:10:07","TRUE","112","0","0","Education","Bihar","India",TRUE
"11","RT @SudarshanNewsTV: UP                        ","2018-07-28 17:51:02","TRUE","112","0","0","Education","Bihar","India",TRUE
"12","RT @SudarshanNewsTV: UP                        ","2018-07-28 17:48:54","TRUE","112","0","0","Education","Bihar","India",TRUE
"13","RT @SudarshanNewsTV: UP                        ","2018-07-28 17:42:41","TRUE","112","0","0","Education","Bihar","India",TRUE
"14","RT @SudarshanNewsTV: UP                        ","2018-07-28 17:34:40","TRUE","112","0","0","Education","Bihar","India",TRUE
"15","RT @SudarshanNewsTV: UP                        ","2018-07-28 17:32:40","TRUE","112","0","0","Education","Bihar","India",TRUE
"16","RT @SudarshanNewsTV: UP                        ","2018-07-28 17:31:18","TRUE","112","0","0","Education","Bihar","India",TRUE
"17","Teacher ke liye same work same pay lagu nahin hua to 2019 loksabha chunav main nitish bjp ko Bihar main karari har  ","2018-07-28 17:29:12","FALSE","0","0","1","Education","Bihar","India",FALSE
"18","RT @SudarshanNewsTV: UP                        ","2018-07-28 17:15:58","TRUE","112","0","0","Education","Bihar","India",TRUE
"19","RT @SudarshanNewsTV: UP                        ","2018-07-28 17:12:26","TRUE","112","0","0","Education","Bihar","India",TRUE
"20","RT @SudarshanNewsTV: UP                        ","2018-07-28 17:03:03","TRUE","112","0","0","Education","Bihar","India",TRUE
"21","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:57:02","TRUE","112","0","0","Education","Bihar","India",TRUE
"22","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:55:42","TRUE","112","0","0","Education","Bihar","India",TRUE
"23","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:55:32","TRUE","112","0","0","Education","Bihar","India",TRUE
"24","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:54:31","TRUE","112","0","0","Education","Bihar","India",TRUE
"25","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:53:20","TRUE","112","0","0","Education","Bihar","India",TRUE
"26","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:51:06","TRUE","112","0","0","Education","Bihar","India",TRUE
"27","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:49:57","TRUE","112","0","0","Education","Bihar","India",TRUE
"28","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:49:00","TRUE","112","0","0","Education","Bihar","India",TRUE
"29","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:48:27","TRUE","112","0","0","Education","Bihar","India",TRUE
"30","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:48:16","TRUE","112","0","0","Education","Bihar","India",TRUE
"31","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:44:44","TRUE","112","0","0","Education","Bihar","India",TRUE
"32","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:44:00","TRUE","112","0","0","Education","Bihar","India",TRUE
"33","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:43:00","TRUE","112","0","0","Education","Bihar","India",TRUE
"34","@NitishKumar lagbhag all state ne tet uttirn ko asst teacher ka drza diya to bihar govt kyon nhi de skti","2018-07-28 16:42:55","FALSE","0","0","0","Education","Bihar","India",FALSE
"35","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:39:10","TRUE","112","0","0","Education","Bihar","India",TRUE
"36","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:37:23","TRUE","112","0","0","Education","Bihar","India",TRUE
"37","RT @SudarshanNewsTV: UP                        ","2018-07-28 16:33:53","TRUE","112","0","0","Education","Bihar","India",TRUE
