"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","The dual nature of @PMOIndia  with @Uttarpradesh and Bihar is opening the reality of the devoplepment in bihar for  ","2018-07-28 14:49:43","FALSE","0","0","0","Employment","Bihar","India",FALSE
"2","@PMOIndia @HMOIndia @NitishKumar @myogiadityanath :- Honorable P.M. Mr. Modi Bihar is also looking toward you to pr  ","2018-07-28 11:39:33","FALSE","0","0","1","Employment","Bihar","India",FALSE
"3","@SushilModi Every individual residing in Bihar has experienced and experiencing this Kayakalp in electricity, law a  ","2018-07-28 04:46:54","FALSE","0","0","0","Employment","Bihar","India",FALSE
"4","Pappu Yadav, RJC/Bihar in Hindi: if we dont give rescued labourers education/employment, then we drive the labourer  ","2018-07-26 11:00:17","FALSE","0","0","0","Employment","Bihar","India",FALSE
"5","@niranjan2428 Nanum adhe oorula Dhan iruken, Inga neraya Peru appudi Dhan bro irukanga streets la . They migrate f  ","2018-07-26 06:55:11","FALSE","0","1","0","Employment","Bihar","India",FALSE
"6","What a discurse for bihar school fail,unable to control their tongue in mass treated as leader,think about their pe  ","2018-07-26 04:08:59","FALSE","0","0","0","Employment","Bihar","India",FALSE
"7","@SKSharm50408153 @ndtv Sir, Under what circumstances...why industrialization still not in Bihar , when it will happ  ","2018-07-26 03:11:15","FALSE","0","1","0","Employment","Bihar","India",FALSE
"8","RT @Omkar_Raii: Pleased to address during inauguration of @TCS BPO centre @ Patna.This program will drive IT employment in Bihar.Digita","2018-07-25 11:28:11","TRUE","96","0","1","Employment","Bihar","India",FALSE
"9","RT @saurabhiirm: A delegation of @ActionAidIndia and ViklangAdhikarManch, Bihar met the President of India @rashtrapatibhvn to submit a me","2018-07-25 08:39:47","TRUE","7","0","0","Employment","Bihar","India",FALSE
"10","RT @saurabhiirm: A delegation of @ActionAidIndia and ViklangAdhikarManch, Bihar met the President of India @rashtrapatibhvn to submit a me","2018-07-25 03:12:23","TRUE","7","0","0","Employment","Bihar","India",TRUE
"11","@NitishKumar Bihar unable to generate employment... Devised a novel policy. Remove middlemen. Start prohibition. Yo  ","2018-07-24 16:33:28","FALSE","0","0","-1","Employment","Bihar","India",FALSE
"12","RT @saurabhiirm: A delegation of @ActionAidIndia and ViklangAdhikarManch, Bihar met the President of India @rashtrapatibhvn to submit a me","2018-07-24 14:56:46","TRUE","7","0","0","Employment","Bihar","India",TRUE
"13","RT @saurabhiirm: A delegation of @ActionAidIndia and ViklangAdhikarManch, Bihar met the President of India @rashtrapatibhvn to submit a me","2018-07-24 14:12:52","TRUE","7","0","0","Employment","Bihar","India",TRUE
"14","RT @saurabhiirm: A delegation of @ActionAidIndia and ViklangAdhikarManch, Bihar met the President of India @rashtrapatibhvn to submit a me","2018-07-24 07:08:04","TRUE","7","0","0","Employment","Bihar","India",TRUE
"15","RT @saurabhiirm: A delegation of @ActionAidIndia and ViklangAdhikarManch, Bihar met the President of India @rashtrapatibhvn to submit a me","2018-07-24 06:36:07","TRUE","7","0","0","Employment","Bihar","India",TRUE
"16","RT @saurabhiirm: A delegation of @ActionAidIndia and ViklangAdhikarManch, Bihar met the President of India @rashtrapatibhvn to submit a me","2018-07-24 06:33:44","TRUE","7","0","0","Employment","Bihar","India",TRUE
"17","A delegation of @ActionAidIndia and ViklangAdhikarManch, Bihar met the President of India @rashtrapatibhvn to subm  ","2018-07-24 05:41:52","FALSE","7","21","0","Employment","Bihar","India",FALSE
"18","RT @visionindiaspl: Niharika from Muzaffarpur, Bihar skilled under SkillIndia mission got a job at her door step in our Rural BPO under a","2018-07-24 03:46:00","TRUE","61","0","1","Employment","Bihar","India",FALSE
"19","RT @skilled_odisha: MVV workshop for Bbsr zone took place at KIIT campus in presence of Mr @SanjayKr1997 , Secy, @SDTE_Odisha, Mr @balwants","2018-07-23 16:59:38","TRUE","5","0","0","Employment","Bihar","India",FALSE
"20","lalu ka chhor family jab bihar se satta se hataa tab tak bihar ko lut chuka tha bihar sabse gar backward state mai  ","2018-07-23 05:34:53","FALSE","0","0","-1","Employment","Bihar","India",FALSE
"21","@NitishKumar @narendramodi @SushilModi @Bihar_BJP @AmitShah 

Ban of liquor in Bihar is totally farce.Everywhere ,e  ","2018-07-22 16:28:38","FALSE","0","0","0","Employment","Bihar","India",FALSE
"22","Bihar Police Constable / Fireman Recruitment 2018 | Bihar Police Recruitment Notification 2018 for 11865 Constable,  ","2018-07-22 14:13:43","FALSE","0","0","0","Employment","Bihar","India",FALSE
"23","Bihar Board 12th Result 2018 declared on 06 June 2018 | BSEB 12th Result 2018 announced | Direct Link here, to Chec  ","2018-07-22 13:51:17","FALSE","0","0","0","Employment","Bihar","India",FALSE
"24","@yadavtejashwi Apke papa ne to bihar ko bankrupt kar ke choda tha.employees ko salary dene ke paise nahi bache the  ","2018-07-22 06:03:05","FALSE","0","1","-1","Employment","Bihar","India",FALSE
"25","RT @WithPGV: How could CM Nitish Kumar keep himself away from the Pakoda Employment scheme of his alliance partner in Bihar. By ensuring an","2018-07-21 17:51:34","TRUE","164","0","0","Employment","Bihar","India",FALSE
"26","@PMOIndia @sureshpprabhu @narendramodi P.M please consider bihar's employment because migration is big problem of i  ","2018-07-21 03:25:09","FALSE","0","4","-1","Employment","Bihar","India",FALSE
"27","RT @visionindiaspl: Employment is the real test of any skilling initiative. Md.Naeem is gainfully employed with Bihar Vikas Mission, Govern","2018-07-20 16:03:31","TRUE","12","0","1","Employment","Bihar","India",FALSE
"28","RT @visionindiaspl: Employment is the real test of any skilling initiative. Md.Naeem is gainfully employed with Bihar Vikas Mission, Govern","2018-07-20 12:21:22","TRUE","12","0","1","Employment","Bihar","India",TRUE
"29"," ","2018-07-20 11:12:23","FALSE","0","2","0","Employment","Bihar","India",FALSE
"30","RT @visionindiaspl: Employment is the real test of any skilling initiative. Md.Naeem is gainfully employed with Bihar Vikas Mission, Govern","2018-07-20 10:23:52","TRUE","12","0","1","Employment","Bihar","India",TRUE
"31","RT @visionindiaspl: Employment is the real test of any skilling initiative. Md.Naeem is gainfully employed with Bihar Vikas Mission, Govern","2018-07-20 08:22:16","TRUE","12","0","1","Employment","Bihar","India",TRUE
"32","RT @visionindiaspl: Employment is the real test of any skilling initiative. Md.Naeem is gainfully employed with Bihar Vikas Mission, Govern","2018-07-19 19:13:50","TRUE","12","0","1","Employment","Bihar","India",TRUE
"33","RT @visionindiaspl: Employment is the real test of any skilling initiative. Md.Naeem is gainfully employed with Bihar Vikas Mission, Govern","2018-07-19 16:02:07","TRUE","12","0","1","Employment","Bihar","India",TRUE
"34","RT @visionindiaspl: Employment is the real test of any skilling initiative. Md.Naeem is gainfully employed with Bihar Vikas Mission, Govern","2018-07-19 14:40:58","TRUE","12","0","1","Employment","Bihar","India",TRUE
"35","RT @visionindiaspl: Employment is the real test of any skilling initiative. Md.Naeem is gainfully employed with Bihar Vikas Mission, Govern","2018-07-19 13:51:47","TRUE","12","0","1","Employment","Bihar","India",TRUE
