"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @NH_India: The building in Mandawali where the three girls were found dead is home to 14 migrant families from Bihar, UP and West Beng","2018-07-28 17:06:13","TRUE","8","0","-1","Food","Bihar","India",FALSE
"2","RT @ashish_ft: @Shishir32171184 @jamans97 @sashwani1 @amitgupta301279 @OfficialNBCC @Secretary_MoHUA @DrAK_Mittal @HardeepSPuri @MoHUA_Indi","2018-07-28 17:01:41","TRUE","24","0","0","Food","Bihar","India",FALSE
"3","@tamizha26055482 @NNRN61 @sumanthraman We welcome the industries and entrepreneurs to Bihar. For the unemployed and  ","2018-07-28 15:47:28","FALSE","0","0","0","Food","Bihar","India",FALSE
"4","Odisha to implement its own food security act from Oct 2: Naveen Patnaik  ","2018-07-28 11:45:54","FALSE","0","2","0","Food","Bihar","India",FALSE
"5","RT @NH_India: The building in Mandawali where the three girls were found dead is home to 14 migrant families from Bihar, UP and West Beng","2018-07-28 09:55:37","TRUE","8","0","-1","Food","Bihar","India",TRUE
"6","RT @NH_India: The building in Mandawali where the three girls were found dead is home to 14 migrant families from Bihar, UP and West Beng","2018-07-28 09:42:53","TRUE","8","0","-1","Food","Bihar","India",TRUE
"7","RT @NH_India: The building in Mandawali where the three girls were found dead is home to 14 migrant families from Bihar, UP and West Beng","2018-07-28 09:30:32","TRUE","8","0","-1","Food","Bihar","India",TRUE
"8","RT @NH_India: The building in Mandawali where the three girls were found dead is home to 14 migrant families from Bihar, UP and West Beng","2018-07-28 09:30:15","TRUE","8","0","-1","Food","Bihar","India",TRUE
"9","RT @NH_India: The building in Mandawali where the three girls were found dead is home to 14 migrant families from Bihar, UP and West Beng","2018-07-28 09:00:58","TRUE","8","0","-1","Food","Bihar","India",TRUE
"10","The building in Mandawali where the three girls were found dead is home to 14 migrant families from Bihar, UP and  ","2018-07-28 08:59:59","FALSE","8","17","-1","Food","Bihar","India",FALSE
"11","@dpradhanbjp @PMOIndia @NitishKumar sir please take an instant action about food distributor of sidhwal panchayat h  ","2018-07-28 08:16:27","FALSE","0","2","0","Food","Bihar","India",FALSE
"12","RT @ashish_ft: @Shishir32171184 @jamans97 @sashwani1 @amitgupta301279 @OfficialNBCC @Secretary_MoHUA @DrAK_Mittal @HardeepSPuri @MoHUA_Indi","2018-07-28 04:31:36","TRUE","24","0","0","Food","Bihar","India",TRUE
"13","@SushilModi - Hi Sir my Dad was in State food corporation, and got died in 2011, he joined in patna but after bihar  ","2018-07-27 11:43:49","FALSE","0","0","-1","Food","Bihar","India",FALSE
"14","@yadavtejashwi Mr. Tejaswi, if u truly want to help better the Overall Goverance and help the poor Girls. First see  ","2018-07-27 11:09:11","FALSE","0","0","0","Food","Bihar","India",FALSE
"15","RT @Mamdhata: Yeah right.   So that Laloo can get back his Bihar and we can get back aalo.

While we are at it, let us also walk the way Ga","2018-07-27 08:28:20","TRUE","1","0","1","Food","Bihar","India",FALSE
"16","Yeah right.   So that Laloo can get back his Bihar and we can get back aalo.

While we are at it, let us also walk  ","2018-07-27 08:14:44","FALSE","1","1","1","Food","Bihar","India",FALSE
"17","RT @balkhi07: India Wastes 67 Million Tonnes Of Food Annually, Enough To Feed Bihar For A Year
PoweringIndia  ","2018-07-27 06:01:01","FALSE","0","0","1","Food","Bihar","India",FALSE
"18","The study conducted by Ciphet, the farm ministrys harvest-research bodysays the food wastedis more than the natio  ","2018-07-27 05:57:45","FALSE","0","0","0","Food","Bihar","India",FALSE
"19","India Wastes 67 Million Tonnes Of Food Annually, Enough To Feed Bihar For A Year
PoweringIndia NaMoBharath  ","2018-07-27 05:55:31","FALSE","0","0","1","Food","Bihar","India",FALSE
"20","20 Popular Bihari Dishes | Famous Food Recipes of Bihar | Litti Chokha Recipe | Local Bihari Cuisine  ","2018-07-26 19:42:51","FALSE","0","0","2","Food","Bihar","India",FALSE
"21","@PiyushGoyal Thank-you for serving quality of food.. Badlta bharat badlta Indian railway @PMOIndia @ bihar sampark  ","2018-07-26 17:10:41","FALSE","0","0","0","Food","Bihar","India",FALSE
"22","Try these ten irresistible exotic food from Bihar which are deep routed in food culture of Bihar.  ","2018-07-26 12:00:41","FALSE","0","2","1","Food","Bihar","India",FALSE
"23","@RLSP_Bihar @DainikBhaskar @ZeeNewsHindi @BJPLive @PTI_News @the_hindu @News18Bihar @aajtak @AmarUjalaNews  ","2018-07-25 17:43:47","FALSE","0","0","0","Food","Bihar","India",FALSE
"24","Read Ur tagline @yadavtejashwi 
Ur Sangharsh is to loot Biharis.
Ur father,Rabri and I guess 10  to 12 approx of Ur  ","2018-07-25 16:50:13","FALSE","0","0","-1","Food","Bihar","India",FALSE
"25","@RajManav2017 I come from a reserved constituency in Bihar. I only see politicians benefiting from reservation. The  ","2018-07-25 16:41:02","FALSE","0","1","0","Food","Bihar","India",FALSE
"26","Litti Chokha Recipe- Traditional Dish of Bihar!! Delicious Food recipe!!How to make litti in kadahi!  ","2018-07-25 14:56:41","FALSE","0","0","1","Food","Bihar","India",FALSE
"27","@pandusapien Yes  ik but one of Bihar best food item isn't it ?","2018-07-25 13:10:04","FALSE","0","1","1","Food","Bihar","India",FALSE
"28","@fssaiindia Respected sir or madam....Good morning....Thanks for information.....Liquors or food laboratories ki ta  ","2018-07-25 02:30:38","FALSE","0","0","0","Food","Bihar","India",FALSE
"29","Pnr6416472723
I mukesh teveling bihar sampark kranti 12565 food quality superb and tasty and pc service good thanking you indian railway","2018-07-24 14:59:36","FALSE","0","0","2","Food","Bihar","India",FALSE
"30","RT @ashish_ft: @Shishir32171184 @jamans97 @sashwani1 @amitgupta301279 @OfficialNBCC @Secretary_MoHUA @DrAK_Mittal @HardeepSPuri @MoHUA_Indi","2018-07-24 05:30:54","TRUE","24","0","0","Food","Bihar","India",TRUE
"31","RT @ashish_ft: @Shishir32171184 @jamans97 @sashwani1 @amitgupta301279 @OfficialNBCC @Secretary_MoHUA @DrAK_Mittal @HardeepSPuri @MoHUA_Indi","2018-07-24 05:14:10","TRUE","24","0","0","Food","Bihar","India",TRUE
"32","RT @visionindiaspl: Inauguration of Pradhan Mantri Kaushal Kendra at Hajipur, Bihar by Honorable Minister Shri @irvpaswan ji, Minister of C","2018-07-24 03:43:06","TRUE","48","0","1","Food","Bihar","India",FALSE
"33","@PiyushGoyalOffc pnr-2448468035
Trian no-12566 bihar Sampark kranti
Food quality very good and tasty&amp; pantry servic  ","2018-07-23 16:37:23","FALSE","0","0","1","Food","Bihar","India",FALSE
"34","RT @ashish_ft: @Shishir32171184 @jamans97 @sashwani1 @amitgupta301279 @OfficialNBCC @Secretary_MoHUA @DrAK_Mittal @HardeepSPuri @MoHUA_Indi","2018-07-23 11:20:06","TRUE","24","0","0","Food","Bihar","India",TRUE
"35","Regional Manager - East and South: Food Processing Sector Skill Council, Patna, Bangalore and PUNE, Bihar, Karnatak  ","2018-07-23 10:45:58","FALSE","0","1","1","Food","Bihar","India",FALSE
"36","RT @ashish_ft: @Shishir32171184 @jamans97 @sashwani1 @amitgupta301279 @OfficialNBCC @Secretary_MoHUA @DrAK_Mittal @HardeepSPuri @MoHUA_Indi","2018-07-23 09:17:28","TRUE","24","0","0","Food","Bihar","India",TRUE
"37","RT @ashish_ft: @Shishir32171184 @jamans97 @sashwani1 @amitgupta301279 @OfficialNBCC @Secretary_MoHUA @DrAK_Mittal @HardeepSPuri @MoHUA_Indi","2018-07-23 07:05:52","TRUE","24","0","0","Food","Bihar","India",TRUE
"38","RT @ashish_ft: @Shishir32171184 @jamans97 @sashwani1 @amitgupta301279 @OfficialNBCC @Secretary_MoHUA @DrAK_Mittal @HardeepSPuri @MoHUA_Indi","2018-07-23 03:42:41","TRUE","24","0","0","Food","Bihar","India",TRUE
"39","@NitishKumar - Bihar should start exporting its food items in frozen or other packings. All other states are doing it now.","2018-07-23 03:19:23","FALSE","0","0","-1","Food","Bihar","India",FALSE
"40","RT @ashish_ft: @Shishir32171184 @jamans97 @sashwani1 @amitgupta301279 @OfficialNBCC @Secretary_MoHUA @DrAK_Mittal @HardeepSPuri @MoHUA_Indi","2018-07-23 01:44:17","TRUE","24","0","0","Food","Bihar","India",TRUE
"41","RT @ashish_ft: @Shishir32171184 @jamans97 @sashwani1 @amitgupta301279 @OfficialNBCC @Secretary_MoHUA @DrAK_Mittal @HardeepSPuri @MoHUA_Indi","2018-07-22 16:57:24","TRUE","24","0","0","Food","Bihar","India",TRUE
"42","@ndcnn There is a variant of this which used to be a popular late noon food in Bihar in summers. We called it Pan-b  ","2018-07-22 16:00:20","FALSE","0","2","1","Food","Bihar","India",FALSE
