"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @BloodDonorsIn: Patna Bihar Need Blood any group at IGIMS Hospital. Call 7903007618 via @p_rachna BloodMatters","2018-07-28 18:02:50","TRUE","59","0","0","Health","Bihar","India",FALSE
"2","RT @BloodDonorsIn: Patna Bihar Need Blood any group at IGIMS Hospital. Call 7903007618 via @p_rachna BloodMatters","2018-07-28 17:52:51","TRUE","59","0","0","Health","Bihar","India",TRUE
"3","RT @BloodDonorsIn: Patna Bihar Need Blood any group at IGIMS Hospital. Call 7903007618 via @p_rachna BloodMatters","2018-07-28 16:39:04","TRUE","59","0","0","Health","Bihar","India",TRUE
"4","     DM,      ","2018-07-28 16:27:21","FALSE","0","1","0","Health","Bihar","India",FALSE
"5","@navneet148 We congrats dr @navneet148 for his grate contribution to man kind and helping manking with vision and a  ","2018-07-28 15:38:29","FALSE","0","0","1","Health","Bihar","India",FALSE
"6","       ,        ","2018-07-28 15:36:26","FALSE","0","0","0","Health","Bihar","India",FALSE
"7","@JPNadda @AshwiniKChoubey @NitishKumar surprisingly a quack / munnabhai impersonating as a MBBS doctor running an i  ","2018-07-28 15:34:39","FALSE","0","1","-1","Health","Bihar","India",FALSE
"8","RT @BloodDonorsIn: Patna Bihar Need Blood any group at IGIMS Hospital. Call 7903007618 via @p_rachna BloodMatters","2018-07-28 15:06:27","TRUE","59","0","0","Health","Bihar","India",TRUE
"9","RT @BloodDonorsIn: Patna Bihar Need Blood any group at IGIMS Hospital. Call 7903007618 via @p_rachna BloodMatters","2018-07-28 13:40:08","TRUE","59","0","0","Health","Bihar","India",TRUE
"10","RT @BloodDonorsIn: Patna Bihar Need Blood any group at IGIMS Hospital. Call 7903007618 via @p_rachna BloodMatters","2018-07-28 13:34:10","TRUE","59","0","0","Health","Bihar","India",TRUE
"11","@PMOIndia sir not good work for Gaya Bihar please check on medical hospital","2018-07-28 13:33:20","FALSE","0","0","2","Health","Bihar","India",FALSE
"12","RT @BloodDonorsIn: Patna Bihar Need Blood any group at IGIMS Hospital. Call 7903007618 via @p_rachna BloodMatters","2018-07-28 13:10:43","TRUE","59","0","0","Health","Bihar","India",TRUE
"13","RT @BloodDonorsIn: Patna Bihar Need Blood any group at IGIMS Hospital. Call 7903007618 via @p_rachna BloodMatters","2018-07-28 12:56:58","TRUE","59","0","0","Health","Bihar","India",TRUE
"14","RT @BloodDonorsIn: Patna Bihar Need Blood any group at IGIMS Hospital. Call 7903007618 via @p_rachna BloodMatters","2018-07-28 12:50:19","TRUE","59","0","0","Health","Bihar","India",TRUE
"15","As no opd,, so rush in eopd... It is from purses hospital Bihar... Doctor on duty saw 80 cases like thus.. No guard  ","2018-07-28 12:26:41","FALSE","0","0","1","Health","Bihar","India",FALSE
"16","RT @BloodDonorsIn: Patna Bihar Need Blood any group at IGIMS Hospital. Call 7903007618 via @p_rachna BloodMatters","2018-07-28 12:21:52","TRUE","59","0","0","Health","Bihar","India",TRUE
"17","RT @BloodDonorsIn: Patna Bihar Need Blood any group at IGIMS Hospital. Call 7903007618 via @p_rachna BloodMatters","2018-07-28 12:16:33","TRUE","59","0","0","Health","Bihar","India",TRUE
