"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","              2    ","2018-07-28 12:48:50","FALSE","0","1","0","Crime Rate","Chhattisgarh","India",FALSE
"2","                 :  ","2018-07-28 10:12:28","FALSE","0","0","0","Crime Rate","Chhattisgarh","India",FALSE
"3","Chhattisgarh: POCSO case against CRPF members for allegedly molesting school girls  ","2018-07-28 07:30:32","FALSE","0","0","0","Crime Rate","Chhattisgarh","India",FALSE
"4","Chhattisgarh: POCSO case against CRPF members for allegedly molesting school girls  ","2018-07-28 07:21:31","FALSE","0","0","0","Crime Rate","Chhattisgarh","India",TRUE
"5","Chhattisgarh: POCSO case against CRPF members for allegedly molesting school girls  ","2018-07-28 07:18:10","FALSE","0","0","0","Crime Rate","Chhattisgarh","India",TRUE
"6","Chhattisgarh: POCSO case against CRPF members for allegedly molesting school girls  ","2018-07-28 07:17:30","FALSE","0","0","0","Crime Rate","Chhattisgarh","India",TRUE
"7","Chhattisgarh: POCSO case against CRPF members for allegedly molesting school girls  ","2018-07-28 07:02:50","FALSE","0","0","0","Crime Rate","Chhattisgarh","India",TRUE
"8","Chhattisgarh: POCSO case against CRPF members for allegedly molesting school girls  ","2018-07-28 06:55:50","FALSE","0","0","0","Crime Rate","Chhattisgarh","India",TRUE
"9","        
OnlineIndia News India Chhattisgarh News Bilaspur Crime ArmyJawan 
 ","2018-07-27 14:19:50","FALSE","0","0","-1","Crime Rate","Chhattisgarh","India",FALSE
"10","           ,      :  ","2018-07-27 11:09:16","FALSE","0","0","0","Crime Rate","Chhattisgarh","India",FALSE
"11","RT @JurmAajTak:         ,   
 ","2018-07-26 16:20:19","TRUE","1","0","0","Crime Rate","Chhattisgarh","India",FALSE
"12","        ,   
 ","2018-07-26 13:29:37","FALSE","0","1","0","Crime Rate","Chhattisgarh","India",FALSE
"13","        ,   
 ","2018-07-26 13:28:55","FALSE","1","0","0","Crime Rate","Chhattisgarh","India",TRUE
"14","Breaking :      , 7 SI, 12 ASI  35   ,      ","2018-07-26 10:44:45","FALSE","1","1","-1","Crime Rate","Chhattisgarh","India",FALSE
"15","RT @top_gun55: BJP has completely exploited the resources of chhattisgarh. Durg Bhillainagar ranks high in the crime rate against women wit","2018-07-26 03:21:14","TRUE","13","0","-1","Crime Rate","Chhattisgarh","India",FALSE
"16","RT @anshulwalia92: Raman singh failed to control Crime rate in chhattisgarh
Crime rate in Raipur, Durg, Bhilai Is higher than many metro ci","2018-07-25 19:04:22","TRUE","1","0","-2","Crime Rate","Chhattisgarh","India",FALSE
