"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","CSPHCL Recruitment 2018  117 Asst &amp; Jr Engineer Posts | Apply Online

Organization Name: Chhattisgarh State Power  ","2018-07-28 05:17:43","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"2","@PiyushgHindi @RailMinIndia sir  we are seeking government job, toiling day and night and the railway ministry has  ","2018-07-28 04:23:01","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"3","          -,           ","2018-07-27 11:09:43","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"4","[Job] Section Head HSEF Site | Company: Reliance Industries | Location: Barabanki CT Chhattisgarh India |  ","2018-07-26 09:42:43","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"5","The last date to apply is 06/08/2018
Click here for more information:  ","2018-07-26 05:14:01","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"6","CHHATTISGARH STATE POWER HOLDING COMPANY LTD
Name of the posts: AE, AO / AM, Ado / AM, Medical Officer, Welfare Off  ","2018-07-25 12:51:28","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"7","   220    , 10      :  ","2018-07-25 06:09:51","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"8","Job recruitment Recruitment in Chhattisgarh State Power Companies 2018  ","2018-07-24 17:17:27","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"9","CG Forest Recruitment 2018  Forest Guard Posts | Apply Online

Organization Name: Chhattisgarh Forest DepartmentEm  ","2018-07-24 11:17:44","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"10","Chhattisgarh youth need a job, not mobile.
Raman Singh ji (@drramansingh) give jobs to the youth who will take the  ","2018-07-24 09:28:22","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"11","Chhattisgarh youth need a job, not mobile.
Raman Singh ji (@drramansingh) give jobs to the youth who will take the  ","2018-07-24 09:26:53","FALSE","0","1","0","Employment","Chhattisgarh","India",TRUE
"12","RT @News18CG:        :    ","2018-07-24 02:44:12","TRUE","2","0","0","Employment","Chhattisgarh","India",FALSE
