"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-28 08:36:13","TRUE","94","0","-1","Employment","Chhattisgarh","India",FALSE
"2","Jagdalpur Forest Department Recruitment Notification 2018  22 Chhattisgarh Forest Guard Jobs @  ","2018-07-28 07:05:04","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"3","whatcha chhattisgarh! Did lollipops give
Raman Singh ji is the youth of the state

Lollipop (mobile) for employmen  ","2018-07-28 05:25:11","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"4","whatcha chhattisgarh! Did lollipops give
Raman Singh ji is the youth of the state
Lollipop (mobile) for employment  ","2018-07-28 05:23:25","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"5","CSPHCL Recruitment 2018  117 Asst &amp; Jr Engineer Posts | Apply Online

Organization Name: Chhattisgarh State Power  ","2018-07-28 05:17:43","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"6","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-26 10:35:12","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"7","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-26 08:35:13","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"8","RT @AShukkla:           Chhattisgarh               ","2018-07-25 07:59:48","TRUE","6","0","0","Employment","Chhattisgarh","India",FALSE
"9","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-24 13:44:52","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"10","CG Vidhan Sabha Assistant Marshal Recruitment 2018 | Chhattisgarh Vidhan Sabha (CG Vidhan Sabha) Recruitment 2018 f  ","2018-07-24 12:17:28","FALSE","0","0","0","Employment","Chhattisgarh","India",FALSE
"11","CG Vidhan Sabha Assistant Marshal Recruitment 2018 | Chhattisgarh Vidhan Sabha (CG Vidhan Sabha) Recruitment 2018 f  ","2018-07-24 12:17:25","FALSE","0","0","0","Employment","Chhattisgarh","India",TRUE
"12","CG Vidhan Sabha Assistant Marshal Recruitment 2018 | Chhattisgarh Vidhan Sabha (CG Vidhan Sabha) Recruitment 2018 f  ","2018-07-24 12:17:19","FALSE","0","0","0","Employment","Chhattisgarh","India",TRUE
"13","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-24 05:45:57","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"14","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-24 03:37:26","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"15","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-24 01:39:33","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"16","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 23:22:33","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"17","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 18:47:53","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"18","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 17:46:52","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"19","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 16:38:52","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"20","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 13:55:09","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"21","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 13:47:26","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"22","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 13:13:44","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"23","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 12:31:24","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"24","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 12:12:46","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"25","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 11:33:21","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"26","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 10:47:09","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"27","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 10:32:24","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"28","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 10:20:45","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"29","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 10:04:51","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"30","@drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling b  ","2018-07-23 09:01:10","FALSE","0","1","-1","Employment","Chhattisgarh","India",FALSE
"31","@scroll_in @psychia90 The same racket exists in North Bengal, upper Assam, Chhattisgarh. Local touts, fat commissio  ","2018-07-23 08:50:28","FALSE","0","0","-2","Employment","Chhattisgarh","India",FALSE
"32","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 08:28:12","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"33","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 08:16:01","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"34","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 08:13:38","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"35","RT @afzal_raipuri: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 08:07:13","TRUE","2","0","-1","Employment","Chhattisgarh","India",FALSE
"36","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 08:00:38","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"37","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 07:58:50","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"38","@drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling b  ","2018-07-23 07:48:53","FALSE","0","0","-1","Employment","Chhattisgarh","India",TRUE
"39","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 07:16:52","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"40","RT @afzal_raipuri: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 07:15:17","TRUE","2","0","-1","Employment","Chhattisgarh","India",TRUE
"41","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 07:07:50","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"42","@drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling b  ","2018-07-23 07:04:26","FALSE","2","0","-1","Employment","Chhattisgarh","India",TRUE
"43","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 07:04:09","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"44","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 07:00:41","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"45","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 06:43:55","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"46","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 06:37:48","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"47","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 06:34:46","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"48","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 06:23:42","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"49","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 06:13:18","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"50","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 06:03:12","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"51","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 05:51:50","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"52","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 05:51:48","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"53","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 05:46:29","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"54","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 05:40:58","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
"55","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 05:37:25","TRUE","94","0","-1","Employment","Chhattisgarh","India",TRUE
