"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","      ....   , -    ","2018-07-28 08:48:34","FALSE","0","0","0","Food","Chhattisgarh","India",FALSE
"2","       380     ","2018-07-27 14:07:57","FALSE","0","0","0","Food","Chhattisgarh","India",FALSE
"3","RT @Prernaw: Sukma, Chhattisgarh Implementing new food menu under poshanabhiyaan @PMenonIFPRI @GMgeetha97 @WCDCgGov  ","2018-07-27 13:58:43","TRUE","7","0","0","Food","Chhattisgarh","India",FALSE
"4","RT @Prernaw: Sukma, Chhattisgarh Implementing new food menu under poshanabhiyaan @PMenonIFPRI @GMgeetha97 @WCDCgGov  ","2018-07-27 11:26:27","TRUE","7","0","0","Food","Chhattisgarh","India",TRUE
"5","RT @Prernaw: Sukma, Chhattisgarh Implementing new food menu under poshanabhiyaan @PMenonIFPRI @GMgeetha97 @WCDCgGov  ","2018-07-27 09:43:19","TRUE","7","0","0","Food","Chhattisgarh","India",TRUE
"6","RT @Prernaw: Sukma, Chhattisgarh Implementing new food menu under poshanabhiyaan @PMenonIFPRI @GMgeetha97 @WCDCgGov  ","2018-07-27 09:40:40","TRUE","7","0","0","Food","Chhattisgarh","India",TRUE
"7","RT @Prernaw: Sukma, Chhattisgarh Implementing new food menu under poshanabhiyaan @PMenonIFPRI @GMgeetha97 @WCDCgGov  ","2018-07-27 09:38:15","TRUE","7","0","0","Food","Chhattisgarh","India",TRUE
"8","RT @Prernaw: Sukma, Chhattisgarh Implementing new food menu under poshanabhiyaan @PMenonIFPRI @GMgeetha97 @WCDCgGov  ","2018-07-27 09:15:10","TRUE","7","0","0","Food","Chhattisgarh","India",TRUE
"9","RT @Prernaw: Sukma, Chhattisgarh Implementing new food menu under poshanabhiyaan @PMenonIFPRI @GMgeetha97 @WCDCgGov  ","2018-07-27 09:13:53","TRUE","7","0","0","Food","Chhattisgarh","India",TRUE
"10","Sukma, Chhattisgarh Implementing new food menu under poshanabhiyaan @PMenonIFPRI @GMgeetha97 @WCDCgGov  ","2018-07-27 09:10:03","FALSE","7","14","0","Food","Chhattisgarh","India",FALSE
