"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @rohit4health: District hospital Sukma, Chhattisgarh is functioning and performing well.good team effort has been done by district admin","2018-07-28 18:41:45","TRUE","3","0","0","Health Care","Chhattisgarh","India",FALSE
"2","RT @News18CG: PHC    ,      ","2018-07-28 14:57:59","TRUE","1","0","0","Health Care","Chhattisgarh","India",FALSE
"3"," -                Watch Video Rural  ","2018-07-28 10:01:59","FALSE","0","1","0","Health Care","Chhattisgarh","India",FALSE
"4","MP:  1        ,     
 ","2018-07-28 09:59:40","FALSE","0","3","0","Health Care","Chhattisgarh","India",FALSE
"5","RT @rohit4health: District hospital Sukma, Chhattisgarh is functioning and performing well.good team effort has been done by district admin","2018-07-28 09:45:33","TRUE","3","0","0","Health Care","Chhattisgarh","India",TRUE
"6","RT @rohit4health: District hospital Sukma, Chhattisgarh is functioning and performing well.good team effort has been done by district admin","2018-07-28 07:49:33","TRUE","3","0","0","Health Care","Chhattisgarh","India",TRUE
"7","District hospital Sukma, Chhattisgarh is functioning and performing well. Good team effort has been done by distr  ","2018-07-28 07:37:41","FALSE","0","3","2","Health Care","Chhattisgarh","India",FALSE
"8","District hospital Sukma, Chhattisgarh is functioning and performing well.good team effort has been done by district  ","2018-07-28 06:28:03","FALSE","3","5","0","Health Care","Chhattisgarh","India",FALSE
"9","RT @gluppschlopp: Latest government survey (NSS 71st round) shows that in Chhattisgarh, 95% of insured people who were hospitalised in pri","2018-07-28 04:05:04","TRUE","4","0","0","Health Care","Chhattisgarh","India",FALSE
"10","      ,     
OnlineIndia India News Chhattisgarh  ","2018-07-27 14:20:44","FALSE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"11","PHC    ,      ","2018-07-27 13:06:04","FALSE","1","1","0","Health Care","Chhattisgarh","India",FALSE
"12","Lalpur governt. school,Raipur, Chhattisgarh,near NH MMI hospital,needs 2 aquaguards and 2 watercoolers for primary  ","2018-07-27 11:17:56","FALSE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"13","RT @lalluram_news:     60       ,       Awaited Hospital Appr","2018-07-27 07:29:39","TRUE","1","0","0","Health Care","Chhattisgarh","India",FALSE
"14","    60       ,       Awaited Hospital  ","2018-07-27 06:31:08","FALSE","1","0","0","Health Care","Chhattisgarh","India",FALSE
"15","RT @lalluram_news:     8   ,    7   ...     Hospital success","2018-07-27 03:57:49","TRUE","1","0","1","Health Care","Chhattisgarh","India",FALSE
"16","    8   ,    7   ...     Hospital  ","2018-07-27 03:56:07","FALSE","1","2","0","Health Care","Chhattisgarh","India",FALSE
"17","RT @airnewsalerts: President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.","2018-07-26 17:28:21","TRUE","5","0","0","Health Care","Chhattisgarh","India",FALSE
"18","Former Chhattisgarh CM Ajit Jogi on life support at Gurugram hospital","2018-07-26 14:13:15","FALSE","0","0","1","Health Care","Chhattisgarh","India",FALSE
"19","RT @ZeeMPCG: VIDEO:     ,          ","2018-07-26 10:09:53","TRUE","1","0","0","Health Care","Chhattisgarh","India",FALSE
"20","MadhyaPradesh Chhattisgarh ""VIDEO:     ,          ","2018-07-26 07:05:04","FALSE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"21","RT @KishanSPawti: VIDEO:     ,          ","2018-07-26 06:44:32","TRUE","4","0","0","Health Care","Chhattisgarh","India",FALSE
"22","RT @KishanSPawti: VIDEO:     ,          ","2018-07-26 06:44:06","TRUE","4","0","0","Health Care","Chhattisgarh","India",TRUE
"23","RT @KishanSPawti: VIDEO:     ,          ","2018-07-26 06:43:05","TRUE","4","0","0","Health Care","Chhattisgarh","India",TRUE
"24","RT @KishanSPawti: VIDEO:     ,          ","2018-07-26 06:42:28","TRUE","4","0","0","Health Care","Chhattisgarh","India",TRUE
"25","VIDEO:     ,          ","2018-07-26 05:08:30","FALSE","4","6","0","Health Care","Chhattisgarh","India",FALSE
"26","VIDEO:     ,          ","2018-07-26 05:04:45","FALSE","1","4","0","Health Care","Chhattisgarh","India",TRUE
"27","@rashtrapatibhvn Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.  ","2018-07-26 02:58:29","FALSE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"28","President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.","2018-07-26 02:43:56","FALSE","0","3","0","Health Care","Chhattisgarh","India",FALSE
"29","RT @airnewsalerts: President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.","2018-07-26 02:23:22","TRUE","5","0","0","Health Care","Chhattisgarh","India",TRUE
"30","President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.  ","2018-07-26 02:04:09","FALSE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"31","RT @airnewsalerts: President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.","2018-07-26 01:50:56","TRUE","5","0","0","Health Care","Chhattisgarh","India",TRUE
"32","RT @airnewsalerts: President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.","2018-07-26 00:33:05","TRUE","5","0","0","Health Care","Chhattisgarh","India",TRUE
"33","President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.","2018-07-26 00:30:51","FALSE","5","32","0","Health Care","Chhattisgarh","India",TRUE
"34","@ppbajjpai Watching your news today ""Save India"" Sir please suggest to Ankit's parents for their treatment to consu  ","2018-07-25 16:03:13","FALSE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"35","Retweeted Patrika Chhattisgarh (@patrikacg):

      ,         ","2018-07-25 11:40:32","FALSE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"36","RT @patrikacg:       ,         -:
 ","2018-07-25 11:40:20","TRUE","1","0","0","Health Care","Chhattisgarh","India",FALSE
"37","      ,         -:
 ","2018-07-25 11:14:49","FALSE","1","1","0","Health Care","Chhattisgarh","India",FALSE
"38","When was the last time you had your Ears checked?
For any problem related to Ear, Nose or Throat;
Visit: 
Mahadev S  ","2018-07-25 10:49:23","FALSE","0","0","-1","Health Care","Chhattisgarh","India",FALSE
"39","For a healthy liver scan ..
 Visit : Ramkrishna Care hospital, Raipur ,Chhattisgarh  Call : 9755006842,0771-3003  ","2018-07-25 06:20:38","FALSE","0","0","1","Health Care","Chhattisgarh","India",FALSE
"40","          ,      :  ","2018-07-25 05:09:52","FALSE","0","1","0","Health Care","Chhattisgarh","India",FALSE
"41","RT @ANI: Chhattisgarh: A vehicle carrying students of Kendriya Vidyalaya NTPC Korba fell off a 30-feet high bridge near Sichai Colony (darr","2018-07-24 14:31:40","TRUE","22","0","-1","Health Care","Chhattisgarh","India",FALSE
"42","     ,       
 ","2018-07-24 08:44:17","FALSE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"43","RT @ANI: Chhattisgarh: 20 girls fell sick after consuming food in a girl's hostel yesterday in Kanker's Pakhanjore. All girls were admitte","2018-07-24 07:46:04","TRUE","14","0","-2","Health Care","Chhattisgarh","India",FALSE
"44","Best  MultiSuperSpecialties Hospital  in central India Raipur Chhattisgarh , with available  Expert &amp; Experience  ","2018-07-24 05:58:46","FALSE","0","0","2","Health Care","Chhattisgarh","India",FALSE
