"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @IYC: ChhattisgarhBachao 
People have been forced to carry their ailing family members on their shoulders to the hospitals! Don't peopl","2018-07-28 11:18:36","TRUE","154","0","-1","Health Care","Chhattisgarh","India",FALSE
"2","Expression Of Interest For Providing Of Coaching For Jee(Main/Advance), Neet, Pet(Iit/Nit Medical College) Examinat  ","2018-07-28 09:40:43","FALSE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"3","RT @IYC: ChhattisgarhBachao 
People have been forced to carry their ailing family members on their shoulders to the hospitals! Don't peopl","2018-07-28 08:37:22","TRUE","154","0","-1","Health Care","Chhattisgarh","India",TRUE
"4","Chhattisgarh State Power Holding Company Limited  CSPHCL Recruitment 2018  Last Date 08 August 2018  AE, JE, Med  ","2018-07-27 10:37:47","FALSE","0","0","-1","Health Care","Chhattisgarh","India",FALSE
"5","Chhattisgarh State Power Holding Company Limited  CSPHCL Recruitment 2018  Last Date 08 August 2018  AE, JE, Med  ","2018-07-27 10:25:58","FALSE","0","0","-1","Health Care","Chhattisgarh","India",TRUE
"6","CSPHCL Recruitment 2018 CSPHCL aka Chhattisgarh State Power Holding Co. Limited invites Application for the post of  ","2018-07-27 07:58:31","FALSE","0","0","-1","Health Care","Chhattisgarh","India",FALSE
"7","   @rashtrapatibhvn @PMOIndia @narendramodi @AmitShah @rammadhavbjp @Ramlal @SushmaSwaraj  ","2018-07-26 18:55:18","FALSE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"8","RT @airnewsalerts: President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.","2018-07-26 17:28:21","TRUE","5","0","0","Health Care","Chhattisgarh","India",FALSE
"9","      119     ,     :  ","2018-07-26 13:43:29","FALSE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"10","RT @aajtak:       ,          -  
 ","2018-07-26 10:15:05","TRUE","11","0","0","Health Care","Chhattisgarh","India",FALSE
"11","RT @IYC: ChhattisgarhBachao 
People have been forced to carry their ailing family members on their shoulders to the hospitals! Don't peopl","2018-07-26 08:35:19","TRUE","154","0","-1","Health Care","Chhattisgarh","India",TRUE
"12","Chhattisgarh:BJP Leader Holds Prayer Meet At AMedical Science And ResearchInstitute To Please Rain Gods - This i  ","2018-07-26 04:50:40","FALSE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"13","RT @aajtak:       ,          -  
 ","2018-07-26 03:05:07","TRUE","11","0","0","Health Care","Chhattisgarh","India",TRUE
"14","RT @aajtak:       ,          -  
 ","2018-07-26 03:02:50","TRUE","11","0","0","Health Care","Chhattisgarh","India",TRUE
"15","@rashtrapatibhvn Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.  ","2018-07-26 02:58:29","FALSE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"16","President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.","2018-07-26 02:43:56","FALSE","0","3","0","Health Care","Chhattisgarh","India",FALSE
"17","RT @aajtak:       ,          -  
 ","2018-07-26 02:42:42","TRUE","11","0","0","Health Care","Chhattisgarh","India",TRUE
