"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Sir mi bihar ke bhagalpur se mera exam Chhattisgarh me para hi jo jane me 1500 karch lagta hi wo v 4 din phale or b  ","2018-07-28 01:42:33","FALSE","0","0","-1","Transportation","Chhattisgarh","India",FALSE
"2","@saharsarail @navbiharpatrika @spjdivn @ECRlyHJP @GM_ECRly @drmsee1 @drmmalda @EasternRailway @PiyushGoyalOffc  ","2018-07-27 09:05:07","FALSE","0","1","0","Transportation","Chhattisgarh","India",FALSE
"3","     ,      
 ","2018-07-27 08:18:33","FALSE","0","0","0","Transportation","Chhattisgarh","India",FALSE
"4","@RailMinIndia sir mai CRPF 228 bn chhattisgarh posting hua hai or mera kal waha pahuchna bahut jaruuri hai.mai trai  ","2018-07-27 05:30:46","FALSE","0","0","0","Transportation","Chhattisgarh","India",FALSE
"5","Make Bastar bandh successful, Amid Presidents visit, Naxals uproot train tracks inChhattisgarh  ","2018-07-26 22:59:54","FALSE","0","0","0","Transportation","Chhattisgarh","India",FALSE
"6","RT @ani_digital: Amid President Ram Nath Kovind's visit to Chhattisgarh, Naxals uprooted train tracks in Bhansi area of Dantewada district","2018-07-26 13:11:11","TRUE","4","0","0","Transportation","Chhattisgarh","India",FALSE
"7","RT @News18CG: :    , -      ","2018-07-26 12:38:59","TRUE","1","0","0","Transportation","Chhattisgarh","India",FALSE
"8","RT @ani_digital: Amid President Ram Nath Kovind's visit to Chhattisgarh, Naxals uprooted train tracks in Bhansi area of Dantewada district","2018-07-26 11:34:15","TRUE","4","0","0","Transportation","Chhattisgarh","India",TRUE
"9","Amid Presidents Visit, Naxals Uproot Train Tracks inChhattisgarh  ","2018-07-26 09:07:56","FALSE","0","0","-1","Transportation","Chhattisgarh","India",FALSE
"10","RT @ani_digital: Amid President Ram Nath Kovind's visit to Chhattisgarh, Naxals uprooted train tracks in Bhansi area of Dantewada district","2018-07-26 08:49:25","TRUE","4","0","0","Transportation","Chhattisgarh","India",TRUE
"11","RT @ani_digital: Amid President Ram Nath Kovind's visit to Chhattisgarh, Naxals uprooted train tracks in Bhansi area of Dantewada district","2018-07-26 08:11:45","TRUE","4","0","0","Transportation","Chhattisgarh","India",TRUE
"12","Amid President Ram Nath Kovind's visit to Chhattisgarh, Naxals uprooted train tracks in Bhansi area of Dantewada di  ","2018-07-26 08:08:25","FALSE","4","3","0","Transportation","Chhattisgarh","India",FALSE
"13","Amid President's visit, Naxals uproot train tracks in Chhattisgarh  ","2018-07-26 08:00:00","FALSE","0","0","-1","Transportation","Chhattisgarh","India",FALSE
"14","Amid President RamNathKovinds visit, Naxals uproot train tracks in Chhattisgarh

 ","2018-07-26 07:47:41","FALSE","0","0","-1","Transportation","Chhattisgarh","India",FALSE
"15",":    , -      ","2018-07-26 04:54:16","FALSE","1","0","0","Transportation","Chhattisgarh","India",FALSE
"16","RT @Nai_Dunia:    , -   -   ","2018-07-26 02:19:04","TRUE","2","0","0","Transportation","Chhattisgarh","India",FALSE
"17","RT @Nai_Dunia:    , -   -   ","2018-07-25 22:21:39","TRUE","2","0","0","Transportation","Chhattisgarh","India",TRUE
"18","   , -   -   ","2018-07-25 17:29:47","FALSE","2","2","0","Transportation","Chhattisgarh","India",FALSE
"19","MadhyaPradesh Chhattisgarh ""MP: -            ","2018-07-24 07:05:04","FALSE","0","0","0","Transportation","Chhattisgarh","India",FALSE
"20","@RailMinIndia Train no 22846. It has crossed Bilaspur, Chhattisgarh. Please help","2018-07-24 01:28:02","FALSE","0","0","0","Transportation","Chhattisgarh","India",FALSE
"21","Train no 22846, train has crossed Bilaspur junction Chhattisgarh","2018-07-24 01:25:05","FALSE","0","0","0","Transportation","Chhattisgarh","India",FALSE
"22","RT @ZeeMPCG: MP: -            ","2018-07-23 13:44:42","TRUE","1","0","0","Transportation","Chhattisgarh","India",FALSE
"23","MP: -            ","2018-07-23 13:44:28","FALSE","1","2","0","Transportation","Chhattisgarh","India",FALSE
"24","RT @drmwat_ecor: @eastcoastrail @RailMinIndia  Heavy rains in various parts of the Chhattisgarh &amp; Odisha and water flowing on the track dis","2018-07-23 12:13:32","TRUE","7","0","0","Transportation","Chhattisgarh","India",FALSE
"25","RT @drmwat_ecor: @eastcoastrail @RailMinIndia  Heavy rains in various parts of the Chhattisgarh &amp; Odisha and water flowing on the track dis","2018-07-23 03:45:25","TRUE","7","0","0","Transportation","Chhattisgarh","India",TRUE
"26","@Central_Railway  I made a booking from Hazrat Nizamuddin Station (NZM)  to Phagwara Junction (PGW).My PNR number i  ","2018-07-23 03:03:12","FALSE","0","0","0","Transportation","Chhattisgarh","India",FALSE
"27","MadhyaPradesh Chhattisgarh ""Video:            '',  ,     ","2018-07-22 07:09:53","FALSE","0","0","0","Transportation","Chhattisgarh","India",FALSE
"28","Video:            '',  ,       ","2018-07-22 06:58:36","FALSE","0","1","0","Transportation","Chhattisgarh","India",FALSE
"29","RT @drmwat_ecor: @eastcoastrail @RailMinIndia  Heavy rains in various parts of the Chhattisgarh &amp; Odisha and water flowing on the track dis","2018-07-22 01:49:20","TRUE","7","0","0","Transportation","Chhattisgarh","India",TRUE
