"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @MihirBijur: For dog's sake

Repeat after me

""Saint Bernards and Huskies are not meant for Delhi or Mumbai weather!""","2018-07-29 15:57:39","TRUE","329","0","-1","Climate","Delhi","India",FALSE
"2","Right now: Mist, Temperature: 30.5C, Humidity: 55%, Wind: From South at 0KPH, Updated: 8:54PM Delhi Weather","2018-07-29 15:24:53","FALSE","0","0","-1","Climate","Delhi","India",FALSE
"3","RT @MihirBijur: For dog's sake

Repeat after me

""Saint Bernards and Huskies are not meant for Delhi or Mumbai weather!""","2018-07-29 15:20:53","TRUE","329","0","-1","Climate","Delhi","India",TRUE
"4","RT @NilagiriVamshi2: Registeel raid Jiosponsored
Gym:  Delhi 
Team: 
Weather: cloudy 
time 48 min  to hatch 

Coords: 28.511502,77.04","2018-07-29 14:43:43","TRUE","3","0","0","Climate","Delhi","India",FALSE
"5","RT @NilagiriVamshi2: Registeel raid Jiosponsored
Gym:  Delhi 
Team: 
Weather: cloudy 
time 48 min  to hatch 

Coords: 28.511502,77.04","2018-07-29 14:34:53","TRUE","3","0","-1","Climate","Delhi","India",TRUE
"6","RT @NilagiriVamshi2: Registeel raid Jiosponsored
Gym:  Delhi 
Team: 
Weather: cloudy 
time 48 min  to hatch 

Coords: 28.511502,77.04","2018-07-29 14:30:10","TRUE","3","0","3","Climate","Delhi","India",TRUE
"7","Right now: Haze, Temperature: 31.2C, Humidity: 53%, Wind: From South at 0KPH, Updated: 7:54PM Delhi Weather","2018-07-29 14:24:53","FALSE","0","0","1","Climate","Delhi","India",FALSE
"8","@gossipdatabase the ideal indian city would be delhi infra + mumbai people + bangalore weather, heh","2018-07-29 14:23:58","FALSE","0","2","1","Climate","Delhi","India",FALSE
"9","Registeel raid Jiosponsored
Gym:  Delhi 
Team: 
Weather: cloudy 
time 48 min  to hatch 

Coords: 28.511502,77  ","2018-07-29 14:22:29","FALSE","3","2","0","Climate","Delhi","India",FALSE
"10","RT @DainikBhaskar:        , 7     ; 1500      
 ","2018-07-29 14:20:12","TRUE","11","0","1","Climate","Delhi","India",FALSE
"11","current weather in New Delhi: haze, 33C
70% humidity, wind 3kmh, pressure 997mb","2018-07-29 13:47:35","FALSE","0","0","1","Climate","Delhi","India",FALSE
"12","RT @Live_Hindustan: -NCR   , MP      ,    
 ","2018-07-29 13:44:07","TRUE","2","0","-2","Climate","Delhi","India",FALSE
"13","RT @MihirBijur: For dog's sake

Repeat after me

""Saint Bernards and Huskies are not meant for Delhi or Mumbai weather!""","2018-07-29 13:26:51","TRUE","329","0","1","Climate","Delhi","India",TRUE
