"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","DEAR FCI &amp; GOVT OF INDIA

PROVIDING FOOD SECURITY TO NATION IS IMPORTANT

WHAT ABOUT JOB SECURITY TO DDEQ APPLICANT  ","2018-07-29 16:28:27","FALSE","0","0","-1","Employment","Delhi","India",FALSE
"2","@ArvindKejriwal Your job is abuse India and our prime minister? Or rule Delhi ? After your failure ruling the state  ","2018-07-29 16:06:39","FALSE","0","0","-1","Employment","Delhi","India",FALSE
"3","@aajtak Bravo &amp; Honest Public Servant...Really Good Job Work In Delhi.","2018-07-29 15:58:42","FALSE","0","0","-1","Employment","Delhi","India",FALSE
"4","Delhi: 16-year-old lured into job at spa, allegedly confined and raped  ","2018-07-29 15:49:34","FALSE","0","0","0","Employment","Delhi","India",FALSE
"5","  ..
  ","2018-07-29 15:25:40","FALSE","0","2","-1","Employment","Delhi","India",FALSE
"6","@ARENA0072002 You have new Job Matches! back office jobs within 25 mi. of New Delhi, Delhi IN  ","2018-07-29 15:09:13","FALSE","0","0","3","Employment","Delhi","India",FALSE
"7","Delhi: 16-year-old lured into job at spa, allegedly confined and raped  ","2018-07-29 15:08:13","FALSE","0","0","1","Employment","Delhi","India",TRUE
"8","Delhi: 16-year-old lured into job at spa, allegedly confined andraped  ","2018-07-29 15:08:06","FALSE","0","0","1","Employment","Delhi","India",FALSE
"9","@abhishekawsum You have new Job Matches! marketing jobs within 25 mi. of New Delhi, Delhi IN  ","2018-07-29 15:06:59","FALSE","0","0","0","Employment","Delhi","India",FALSE
"10","@DaaruBaazMehta @ArvindKejriwal who says we Indians are not morally corrupt. likes to this wonderful pic only 1.3k  ","2018-07-29 15:05:34","FALSE","0","0","1","Employment","Delhi","India",FALSE
"11","RT @GOP: ""Minority groups, workers without high school degrees, and those with disabilities are experiencing greater job opportunities. Ame","2018-07-29 15:03:57","TRUE","468","0","1","Employment","Delhi","India",FALSE
"12","Job Offer For Banca Channel Ghaziabad, Noida, Delhi- Salary -3.5l /a..Join Soon...","2018-07-29 15:02:47","FALSE","0","0","-2","Employment","Delhi","India",FALSE
"13","16-Year-Old Lured Into Job At Spa In Delhi, Allegedly Confined And Raped

 ","2018-07-29 14:30:36","FALSE","0","0","1","Employment","Delhi","India",FALSE
"14","Shame on some despirate assholes!!!16-Year-Old Lured Into Job At Spa In Delhi, Allegedly Confined And Raped  ","2018-07-29 14:26:37","FALSE","0","0","0","Employment","Delhi","India",FALSE
"15","RT @indiatvnews: Delhi: 16-year-old lured into job at spa, allegedly confined and raped
 ","2018-07-29 14:20:02","TRUE","1","0","1","Employment","Delhi","India",FALSE
