"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@ssvsasp Saw Kaveri Hosp ambulance followed by a police vehicle going towards airport ?Is Thalaivar being shifted t  ","2018-07-29 15:10:15","FALSE","0","0","-1","Health Care","Delhi","India",FALSE
"2","RT @CutestFunniest: *Got injured, bleeding*

Other countries :
OMG call the ambulance...

India : 
*slaps* mana kiya tha na bahar jane ko..","2018-07-29 07:40:49","TRUE","101","0","-1","Health Care","Delhi","India",FALSE
"3","@pureodiasaswata @exciseodisha @BYJD_Odisha @Sevayat @VOXPopu03028596 @bimalendu71 @PramodpandaVk @geminianguddu  ","2018-07-29 07:05:15","FALSE","0","4","-1","Health Care","Delhi","India",FALSE
"4","MPM Air Ambulance an emergency both medical transport services (Air and Train are available in Delhi Patna to trans  ","2018-07-28 13:04:28","FALSE","0","1","0","Health Care","Delhi","India",FALSE
"5","Date: 28.07.2018
Hathani  kund Barrage 
15:00  503935  Cusecs released
Old Delhi Railway Bridge
14:00 hrs  205.18M  ","2018-07-28 11:44:54","FALSE","0","0","-1","Health Care","Delhi","India",FALSE
"6","@SushmaSwaraj @MEAIndia Need Help URGENT!!!, Arranged Air Ambulance by Sir GangaRam Hospital Delhi. Need Help in br  ","2018-07-28 11:26:05","FALSE","0","0","3","Health Care","Delhi","India",FALSE
"7","I liked a @YouTube video  ","2018-07-27 19:20:08","FALSE","0","0","1","Health Care","Delhi","India",FALSE
"8","Now the services of Road Ambulance equipped with the medical facility in Delhi are available. If you need this type  ","2018-07-27 11:03:14","FALSE","0","0","1","Health Care","Delhi","India",FALSE
"9","If your patient needs to be shifted from Bagdogra to Delhi, Mumbai, hospitals, then contact the Falcon Emergency Ai  ","2018-07-27 10:30:54","FALSE","0","0","0","Health Care","Delhi","India",FALSE
"10","RT @iPankajShukla: PM Shri @narendramodi to flag countrywide emergency ambulance service for SriLanka through video conferencing from New","2018-07-27 05:44:07","TRUE","60","0","1","Health Care","Delhi","India",FALSE
