"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @htTweets: Old Yamuna Bridge closed to traffic as water level breaches danger mark
 ","2018-07-29 15:55:25","TRUE","5","0","-1","Transportation","Delhi","India",FALSE
"2","Delhi: Old Yamuna Bridge closed to traffic as water levelrises  ","2018-07-29 15:55:16","FALSE","0","0","-1","Transportation","Delhi","India",FALSE
"3","RT @abpnewstv: Delhi flood alert: Old Yamuna Bridge closed to traffic as water level rises
 ","2018-07-29 15:55:10","TRUE","8","0","-1","Transportation","Delhi","India",FALSE
"4","RT @abpnewstv: Delhi flood alert: Old Yamuna Bridge closed to traffic as water level rises
 ","2018-07-29 15:54:57","TRUE","8","0","0","Transportation","Delhi","India",TRUE
"5","RT @IndianExpress: An order banning movement of traffic on the bridge was issued after the flow in the Yamuna showed a rising trend. 

 ","2018-07-29 15:54:33","TRUE","2","0","-1","Transportation","Delhi","India",FALSE
"6","RT @htTweets: Old Yamuna Bridge closed to traffic as water level breaches danger mark
 ","2018-07-29 15:54:14","TRUE","5","0","3","Transportation","Delhi","India",TRUE
"7","RT @htTweets: Old Yamuna Bridge closed to traffic as water level breaches danger mark
 ","2018-07-29 15:53:40","TRUE","5","0","1","Transportation","Delhi","India",TRUE
"8","RT @htTweets: Old Yamuna Bridge closed to traffic as water level breaches danger mark
 ","2018-07-29 15:53:38","TRUE","5","0","1","Transportation","Delhi","India",TRUE
"9","Delhi: Old Yamuna Bridge closed to traffic as water levelrises  ","2018-07-29 15:53:18","FALSE","0","0","0","Transportation","Delhi","India",TRUE
"10","Old Yamuna Bridge closed to traffic as water level breaches danger mark
 ","2018-07-29 15:52:05","FALSE","0","0","1","Transportation","Delhi","India",FALSE
"11","RT @htTweets: Old Yamuna Bridge closed to traffic as water level breaches danger mark
 ","2018-07-29 15:51:39","TRUE","5","0","1","Transportation","Delhi","India",TRUE
"12","Delhi flood alert: Old Yamuna Bridge closed to traffic as water level rises
 ","2018-07-29 15:51:31","FALSE","0","0","-2","Transportation","Delhi","India",FALSE
"13","Old Yamuna Bridge closed to traffic as water level breaches danger mark
 ","2018-07-29 15:51:19","FALSE","5","18","1","Transportation","Delhi","India",TRUE
"14","RT @DrAdwitiya: Traffic Rules must be Complied to Ensure Road Safety, else Disasters occur the most Devastating way..!

While returning fro","2018-07-29 15:51:01","TRUE","25","0","0","Transportation","Delhi","India",FALSE
"15","An order banning movement of traffic on the bridge was issued after the flow in the Yamuna showed a rising trend. 

 ","2018-07-29 15:50:44","FALSE","2","7","1","Transportation","Delhi","India",FALSE
"16","RT @abpnewstv: Delhi flood alert: Old Yamuna Bridge closed to traffic as water level rises
 ","2018-07-29 15:49:47","TRUE","8","0","1","Transportation","Delhi","India",TRUE
"17","RT @DrAdwitiya: Traffic Rules must be Complied to Ensure Road Safety, else Disasters occur the most Devastating way..!

While returning fro","2018-07-29 15:49:37","TRUE","25","0","0","Transportation","Delhi","India",TRUE
"18","RT @abpnewstv: Delhi flood alert: Old Yamuna Bridge closed to traffic as water level rises
 ","2018-07-29 15:49:23","TRUE","8","0","1","Transportation","Delhi","India",TRUE
"19","RT @DrAdwitiya: Traffic Rules must be Complied to Ensure Road Safety, else Disasters occur the most Devastating way..!

While returning fro","2018-07-29 15:49:09","TRUE","25","0","1","Transportation","Delhi","India",TRUE
"20","RT @ANI: Delhi: District Magistrate (DM) of East Delhi, K. Mahesh, orders closure of traffic on the old Yamuna Bridge with immediate effect","2018-07-29 15:48:20","TRUE","26","0","0","Transportation","Delhi","India",FALSE
"21","Delhi: Old Yamuna Bridge closed to traffic as water levelrises  ","2018-07-29 15:47:41","FALSE","0","0","0","Transportation","Delhi","India",TRUE
"22","RT @abpnewstv: Delhi flood alert: Old Yamuna Bridge closed to traffic as water level rises
 ","2018-07-29 15:47:30","TRUE","8","0","1","Transportation","Delhi","India",TRUE
"23","RT @TOIDelhi: Rising water level in Yamuna: District magistrate of east Delhi K Mahesh orders closure of traffic on the old Yamuna Bridge w","2018-07-29 15:47:23","TRUE","4","0","0","Transportation","Delhi","India",FALSE
"24","RT @abpnewstv: Delhi flood alert: Old Yamuna Bridge closed to traffic as water level rises
 ","2018-07-29 15:46:59","TRUE","8","0","1","Transportation","Delhi","India",TRUE
"25","RT @RachnaUpadhya: DelhiFlood
Old yamuna bridge (lohe wala pul) has been closed for traffic from both sides due to increase in yamuna leve","2018-07-29 15:46:47","TRUE","2","0","0","Transportation","Delhi","India",FALSE
"26","RT @ANI: Delhi: District Magistrate (DM) of East Delhi, K. Mahesh, orders closure of traffic on the old Yamuna Bridge with immediate effect","2018-07-29 15:46:36","TRUE","26","0","0","Transportation","Delhi","India",TRUE
"27","RT @abpnewstv: Delhi flood alert: Old Yamuna Bridge closed to traffic as water level rises
 ","2018-07-29 15:46:28","TRUE","8","0","1","Transportation","Delhi","India",TRUE
"28","RT @ndtv: Delhi's Old Yamuna Bridge closed to traffic as water level rises  ","2018-07-29 15:46:23","TRUE","6","0","1","Transportation","Delhi","India",FALSE
"29","RT @ndtv: Delhi's Old Yamuna Bridge closed to traffic as water level rises  ","2018-07-29 15:44:30","TRUE","6","0","1","Transportation","Delhi","India",TRUE
"30","Delhi flood alert: Old Yamuna Bridge closed to traffic as water level rises
 ","2018-07-29 15:44:29","FALSE","8","22","1","Transportation","Delhi","India",FALSE
"31","RT @ANI: Delhi: District Magistrate (DM) of East Delhi, K. Mahesh, orders closure of traffic on the old Yamuna Bridge with immediate effect","2018-07-29 15:41:31","TRUE","26","0","1","Transportation","Delhi","India",TRUE
"32","RT @ANI: Delhi: District Magistrate (DM) of East Delhi, K. Mahesh, orders closure of traffic on the old Yamuna Bridge with immediate effect","2018-07-29 15:41:28","TRUE","26","0","0","Transportation","Delhi","India",TRUE
"33","RT @RachnaUpadhya: DelhiFlood
Old yamuna bridge (lohe wala pul) has been closed for traffic from both sides due to increase in yamuna leve","2018-07-29 15:41:03","TRUE","2","0","0","Transportation","Delhi","India",TRUE
"34","RT @ANI: Delhi: District Magistrate (DM) of East Delhi, K. Mahesh, orders closure of traffic on the old Yamuna Bridge with immediate effect","2018-07-29 15:39:17","TRUE","26","0","0","Transportation","Delhi","India",TRUE
"35","Delhi's Old Yamuna Bridge Closed To Traffic As Water Level Rises  ","2018-07-29 15:39:05","FALSE","0","0","0","Transportation","Delhi","India",FALSE
"36","RT @TOIDelhi: Rising water level in Yamuna: District magistrate of east Delhi K Mahesh orders closure of traffic on the old Yamuna Bridge w","2018-07-29 15:38:10","TRUE","4","0","1","Transportation","Delhi","India",TRUE
"37","Waterlogging, traffic snarls, road cave-in in NCR: 3 hours of rain drowned 3 governments' claims of development  ","2018-07-29 15:37:41","FALSE","0","0","0","Transportation","Delhi","India",FALSE
"38","RT @ANI: Delhi: District Magistrate (DM) of East Delhi, K. Mahesh, orders closure of traffic on the old Yamuna Bridge with immediate effect","2018-07-29 15:37:07","TRUE","26","0","-2","Transportation","Delhi","India",TRUE
"39","RT @TOIDelhi: Rising water level in Yamuna: District magistrate of east Delhi K Mahesh orders closure of traffic on the old Yamuna Bridge w","2018-07-29 15:36:42","TRUE","4","0","0","Transportation","Delhi","India",TRUE
"40","RT @TOIDelhi: Rising water level in Yamuna: District magistrate of east Delhi K Mahesh orders closure of traffic on the old Yamuna Bridge w","2018-07-29 15:35:56","TRUE","4","0","0","Transportation","Delhi","India",TRUE
"41","Rising water level in Yamuna: District magistrate of east Delhi K Mahesh orders closure of traffic on the old Yamun  ","2018-07-29 15:35:44","FALSE","4","7","0","Transportation","Delhi","India",FALSE
"42","RT @ANI: Delhi: District Magistrate (DM) of East Delhi, K. Mahesh, orders closure of traffic on the old Yamuna Bridge with immediate effect","2018-07-29 15:35:38","TRUE","26","0","0","Transportation","Delhi","India",TRUE
"43","RT @krishna14841550: @narendramodi Sir,
DwarkaExpressWay     ??

     @nitin_gadkari   ","2018-07-29 15:35:16","TRUE","22","0","0","Transportation","Delhi","India",FALSE
"44","RT @ANI: Delhi: District Magistrate (DM) of East Delhi, K. Mahesh, orders closure of traffic on the old Yamuna Bridge with immediate effect","2018-07-29 15:34:30","TRUE","26","0","-1","Transportation","Delhi","India",TRUE
"45","RT @ANI: Delhi: District Magistrate (DM) of East Delhi, K. Mahesh, orders closure of traffic on the old Yamuna Bridge with immediate effect","2018-07-29 15:33:00","TRUE","26","0","0","Transportation","Delhi","India",TRUE
"46","RT @ndtv: Delhi's Old Yamuna Bridge closed to traffic as water level rises  ","2018-07-29 15:32:39","TRUE","6","0","0","Transportation","Delhi","India",TRUE
"47","RT @ANI: Delhi: District Magistrate (DM) of East Delhi, K. Mahesh, orders closure of traffic on the old Yamuna Bridge with immediate effect","2018-07-29 15:30:33","TRUE","26","0","0","Transportation","Delhi","India",TRUE
"48","Delhi: District Magistrate (DM) of East Delhi, K. Mahesh, orders closure of traffic on the old Yamuna Bridge with  ","2018-07-29 15:29:40","FALSE","0","0","0","Transportation","Delhi","India",FALSE
"49","Old Yamuna Bridge closed on Sunday for traffic due to risingYamuna  ","2018-07-29 15:29:39","FALSE","0","0","0","Transportation","Delhi","India",FALSE
"50","RT @ANI: Delhi: District Magistrate (DM) of East Delhi, K. Mahesh, orders closure of traffic on the old Yamuna Bridge with immediate effect","2018-07-29 15:29:22","TRUE","26","0","0","Transportation","Delhi","India",TRUE
"51","RT @ndtv: Delhi's Old Yamuna Bridge closed to traffic as water level rises  ","2018-07-29 15:29:07","TRUE","6","0","0","Transportation","Delhi","India",TRUE
"52","Delhi's Old Yamuna Bridge Closed To Traffic As Water Level Rises  ","2018-07-29 15:29:02","FALSE","0","0","1","Transportation","Delhi","India",TRUE
