"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","      ,     Gujarat GujaratRain 

 ","2018-07-28 05:38:13","FALSE","0","5","0","Climate","Gujarat","India",FALSE
"2","In our city located in gujarat, INDIA, weather is cloudy.. should I able to watch it? askNASA","2018-07-27 18:44:24","FALSE","0","0","-1","Climate","Gujarat","India",FALSE
"3","RT @chitralekhamag: :  5       ,      ","2018-07-27 15:09:00","TRUE","1","0","0","Climate","Gujarat","India",FALSE
"4","        ","2018-07-27 15:00:01","FALSE","0","0","0","Climate","Gujarat","India",FALSE
"5",":  5       ,       ","2018-07-27 12:05:58","FALSE","1","3","0","Climate","Gujarat","India",FALSE
"6","Hindi:   -    I  ","2018-07-26 16:16:01","FALSE","0","8","0","Climate","Gujarat","India",FALSE
"7","RT @SkymetWeather: At the moment, in absence of any system, rains would remain on the lower side over the state of Gujarat.  ","2018-07-26 10:12:52","TRUE","2","0","-1","Climate","Gujarat","India",FALSE
"8","RT @SkymetWeather: At the moment, in absence of any system, rains would remain on the lower side over the state of Gujarat.  ","2018-07-26 09:31:00","TRUE","2","0","-1","Climate","Gujarat","India",TRUE
"9","At the moment, in absence of any system, rains would remain on the lower side over the state of Gujarat.  ","2018-07-26 09:30:04","FALSE","2","8","-1","Climate","Gujarat","India",FALSE
"10","      ,        
Delhi NorthIndia heavyrain  ","2018-07-26 05:54:22","FALSE","0","0","0","Climate","Gujarat","India",FALSE
"11","@DeshGujarat Good governance indeed past 20 yrs, able to send Mangalyaan but not effective reliable weather forecas  ","2018-07-26 03:29:38","FALSE","0","0","3","Climate","Gujarat","India",FALSE
"12","RT @SkymetWeather: Light Rain In Gujarat To Continue For Few More Days.  ","2018-07-25 05:53:41","TRUE","2","0","0","Climate","Gujarat","India",FALSE
"13","RT @SkymetWeather: Light Rain In Gujarat To Continue For Few More Days.  ","2018-07-24 17:18:16","TRUE","2","0","0","Climate","Gujarat","India",TRUE
"14","Light Rain In Gujarat To Continue For Few More Days.  ","2018-07-24 15:30:47","FALSE","2","8","0","Climate","Gujarat","India",FALSE
"15",",           LetsTalkGujarat Monsoon2018

Gujarat Weather
Via  ","2018-07-24 14:01:11","FALSE","0","0","0","Climate","Gujarat","India",FALSE
"16"," 20    , 6     LetsTalkGujarat Monsoon2018

Gujarat Weather
Via  ","2018-07-24 12:59:57","FALSE","0","0","0","Climate","Gujarat","India",FALSE
"17","   - Weather (Rain) Forecast Gujarat ( Ahmedabad, Amreli, Baroda, Bhavnagar, Bhuj, Deesa, Dwarka  ","2018-07-24 07:32:15","FALSE","0","0","0","Climate","Gujarat","India",FALSE
"18","   - Weather (Rain) Forecast Gujarat ( Ahmedabad, Amreli, Baroda, Bhavnagar, Bhuj, Deesa, Dwarka  ","2018-07-24 07:29:07","FALSE","0","0","0","Climate","Gujarat","India",TRUE
