"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Selling liquor is not a crime in India, but you should be Vijay Malya, not Vijay Chhara.
- Raju Solanki , Social Ac  ","2018-07-28 19:28:42","FALSE","0","0","-1","Crime Rate","Gujarat","India",FALSE
"2","          
 ","2018-07-28 18:15:00","FALSE","0","1","0","Crime Rate","Gujarat","India",FALSE
"3","RT @priyankac19: Jumping with joy is BJP reaction when such incidents occur, who can forget garlanding convicts of lynch crime?
Talking o","2018-07-28 14:49:01","TRUE","1618","0","1","Crime Rate","Gujarat","India",FALSE
"4","RT @chitralekhamag:        ...     ","2018-07-28 13:29:17","TRUE","1","0","0","Crime Rate","Gujarat","India",FALSE
"5","       ...     ","2018-07-28 13:10:37","FALSE","1","0","0","Crime Rate","Gujarat","India",FALSE
"6","@oneillyatescbc @BDUTT @washingtonpost when gujarat suffers riots PM is not responsible n when one alleged lynching  ","2018-07-28 11:11:24","FALSE","0","0","-1","Crime Rate","Gujarat","India",FALSE
"7","RESPECTED PRIME MINISTER OF INDIA. SIR I KUNDAN FIND OUT SOME GOOD PROJECTS FOR TO STOP CRIME AND GOOD GOVERNANCE A  ","2018-07-28 08:42:56","FALSE","0","0","1","Crime Rate","Gujarat","India",FALSE
"8","RESPECTED SIR I KUNDAN RAVAL FROM PALANPUR GUJARAT. SIR I PREPARE SOME  PROJECTS WHICH IS VERY HELPFUL TO STOP CRIM  ","2018-07-28 08:33:47","FALSE","0","0","1","Crime Rate","Gujarat","India",FALSE
"9","@RNTata2000 RESPECTED SIR I KUNDAN RAVAL FROM PALANPUR GUJARAT. SIR I PRAPARE SOME PROJECTS WHICH IS VERY HELPFUL T  ","2018-07-28 08:30:12","FALSE","0","0","1","Crime Rate","Gujarat","India",FALSE
"10","            
-          ","2018-07-28 03:00:38","FALSE","1","1","0","Crime Rate","Gujarat","India",FALSE
"11","RT @MahapatPravat: How can we expect women safety from @BJP4India whose leaders involved in such heinous crime. 
BalatkariJanataParty
Mod","2018-07-27 19:01:31","TRUE","27","0","-2","Crime Rate","Gujarat","India",FALSE
"12","Vadodara constable, the woman caught ferrying liquor  LetsTalkVadodara

Vadodara Baroda Gujarat Crime
Via  ","2018-07-27 16:03:54","FALSE","0","0","0","Crime Rate","Gujarat","India",FALSE
"13","RT @dinulala80: @KumarVikashpiya @derekobrienmp @ippatel Definitely we should as @derekobrienmp told in the public meeting that modi ji is","2018-07-27 13:05:49","TRUE","1","0","0","Crime Rate","Gujarat","India",FALSE
"14","@KumarVikashpiya @derekobrienmp @ippatel Definitely we should as @derekobrienmp told in the public meeting that mod  ","2018-07-27 12:59:41","FALSE","1","1","0","Crime Rate","Gujarat","India",FALSE
"15","         ","2018-07-27 12:50:00","FALSE","0","3","0","Crime Rate","Gujarat","India",FALSE
"16","        1    LetsTalkRajkot Robbery

Rajkot FakePolice Gujarat  ","2018-07-27 12:27:58","FALSE","0","0","0","Crime Rate","Gujarat","India",FALSE
"17",":           ","2018-07-27 12:00:00","FALSE","0","2","0","Crime Rate","Gujarat","India",FALSE
"18","       ,    LetsTalkRajkot RoadAccident

Rajkot Gujarat Crime
Vi  ","2018-07-27 11:59:19","FALSE","0","0","0","Crime Rate","Gujarat","India",FALSE
"19"," .11           LetsTalkRajkot Rape  ","2018-07-27 11:51:37","FALSE","0","0","-1","Crime Rate","Gujarat","India",FALSE
"20","RT @SwapnilATalekar: @mayurvsk @JaiMaharashtraN @TulsidasBhoite @VrushaliGYadav @MarathiBrain @MarathiRT @marathivichar @MaharashtraRT Cri","2018-07-27 10:51:44","TRUE","49","0","0","Crime Rate","Gujarat","India",FALSE
"21","        ","2018-07-27 06:58:25","FALSE","0","3","0","Crime Rate","Gujarat","India",FALSE
