"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Raan Festival, Gujarat  ","2018-07-28 17:37:07","FALSE","0","0","0","Culture","Gujarat","India",FALSE
"2","RT @DrJmzala:                       ","2018-07-28 17:07:35","TRUE","1","0","0","Culture","Gujarat","India",FALSE
"3","E haaloo...  Now festival at different level all together in Gujarat. Vacation during Navratri in school collage navratri @vijayrupanibjp","2018-07-28 16:02:10","FALSE","0","2","0","Culture","Gujarat","India",FALSE
"4","@CMO_Gujarat Sir please consider ITI students for navratri festival holiday @BhupendraSinh1 @vibhavaridave","2018-07-28 15:32:08","FALSE","0","0","0","Culture","Gujarat","India",FALSE
"5","                      ","2018-07-28 15:18:40","FALSE","0","1","0","Culture","Gujarat","India",FALSE
"6","@vijayrupanibjp govt @BhupendraSinh1 sir now amends Navratri Festival holiday in Gujarat

@myogiadityanath sir  ","2018-07-28 14:40:57","FALSE","0","3","0","Culture","Gujarat","India",FALSE
"7","BEST BUY FESTIVAL 2018, begins.

Get upto 50% discount on making charges of 916 Hallmark Gold Jewelry &amp; Real Diamon  ","2018-07-28 14:03:53","FALSE","0","0","3","Culture","Gujarat","India",FALSE
"8","@vijayrupanibjp govt @BhupendraSinh1 sir now amends Navratri Festival holiday in Gujarat

@myogiadityanath sir  ","2018-07-28 14:00:52","FALSE","1","2","0","Culture","Gujarat","India",TRUE
"9","                      ","2018-07-28 13:11:42","FALSE","1","6","0","Culture","Gujarat","India",TRUE
"10","RT @dhhfilm: Were excited to announce that DHH will be screened at International Gujarati Film Festival on the 5th August 2018.
gujaratim","2018-07-28 12:40:35","TRUE","5","0","1","Culture","Gujarat","India",FALSE
"11","Gujarat youth is happy as education minister declared nine days vacation during Navaratri festival.","2018-07-28 10:51:50","FALSE","0","1","1","Culture","Gujarat","India",FALSE
"12","         
Gujarat education Festival  Education  ","2018-07-28 10:42:06","FALSE","0","0","0","Culture","Gujarat","India",FALSE
"13","RT @YogiDevnathji: Celebration of 69th Forest Festival - 2018
Honorable Chief Minister of the state of Progressive Gujarat, who is on the D","2018-07-28 08:14:36","TRUE","48","0","3","Culture","Gujarat","India",FALSE
"14","RT @KutchTourGuide: Rann of Kutch is the place where sky and land seems to meet each other!

Book your trip for dream rann utsav festival t","2018-07-28 06:27:54","TRUE","1","0","0","Culture","Gujarat","India",FALSE
"15","Rann of Kutch is the place where sky and land seems to meet each other!

Book your trip for dream rann utsav festiv  ","2018-07-28 05:49:55","FALSE","1","0","0","Culture","Gujarat","India",FALSE
"16","RT @YogiDevnathji: Celebration of 69th Forest Festival - 2018
Honorable Chief Minister of the state of Progressive Gujarat, who is on the D","2018-07-27 17:31:55","TRUE","48","0","3","Culture","Gujarat","India",TRUE
"17","RT @YogiDevnathji: Celebration of 69th Forest Festival - 2018
Honorable Chief Minister of the state of Progressive Gujarat, who is on the D","2018-07-27 14:32:57","TRUE","48","0","3","Culture","Gujarat","India",TRUE
"18","RT @YogiDevnathji: Celebration of 69th Forest Festival - 2018
Honorable Chief Minister of the state of Progressive Gujarat, who is on the D","2018-07-27 14:27:54","TRUE","48","0","3","Culture","Gujarat","India",TRUE
"19","RT @YogiDevnathji: Celebration of 69th Forest Festival - 2018
Honorable Chief Minister of the state of Progressive Gujarat, who is on the D","2018-07-27 13:39:55","TRUE","48","0","3","Culture","Gujarat","India",TRUE
"20","RT @YogiDevnathji: Celebration of 69th Forest Festival - 2018
Honorable Chief Minister of the state of Progressive Gujarat, who is on the D","2018-07-27 11:52:36","TRUE","48","0","3","Culture","Gujarat","India",TRUE
"21","RT @YogiDevnathji: Celebration of 69th Forest Festival - 2018
Honorable Chief Minister of the state of Progressive Gujarat, who is on the D","2018-07-27 11:44:50","TRUE","48","0","3","Culture","Gujarat","India",TRUE
"22","RT @YogiDevnathji: Celebration of 69th Forest Festival - 2018
Honorable Chief Minister of the state of Progressive Gujarat, who is on the D","2018-07-27 10:36:40","TRUE","48","0","3","Culture","Gujarat","India",TRUE
