"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @DhrumilBJP: Thanking Edu Ministry of Gujarat Smt. @vibhavaridave &amp; Shri. @BhupendraSinh1 Saheb for declaring holidays during Navratras","2018-07-28 19:25:27","TRUE","2","0","0","Education","Gujarat","India",FALSE
"2","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 19:21:08","TRUE","20","0","0","Education","Gujarat","India",FALSE
"3","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 19:12:19","TRUE","20","0","0","Education","Gujarat","India",TRUE
"4","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 19:03:26","TRUE","10","0","0","Education","Gujarat","India",FALSE
"5","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 18:50:17","TRUE","20","0","0","Education","Gujarat","India",TRUE
"6","@u_mirella @Treasure515 @BavejaH @pulsezx @nitingodbole @rpskataria @RFilipovic @GittePrina @nmehta4 @SiddharthKS  ","2018-07-28 18:31:13","FALSE","0","0","1","Education","Gujarat","India",FALSE
"7","@mpvadodara He is student of Gujarat public school
Great work in movie","2018-07-28 18:27:41","FALSE","0","0","1","Education","Gujarat","India",FALSE
"8","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 18:21:20","TRUE","20","0","0","Education","Gujarat","India",TRUE
"9","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 18:11:02","TRUE","20","0","0","Education","Gujarat","India",TRUE
"10","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 18:09:16","TRUE","20","0","0","Education","Gujarat","India",TRUE
"11","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 17:57:00","TRUE","20","0","0","Education","Gujarat","India",TRUE
"12","RT @Lang21067418: @CNBCTV18Live @ShereenBhan @msisodia @AamAadmiParty Shereen ji the Gujarat model of Modiji will surely be better than the","2018-07-28 17:55:33","TRUE","1","0","1","Education","Gujarat","India",FALSE
