"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1"," ","2018-07-28 17:31:32","FALSE","0","0","0","Employment","Gujarat","India",FALSE
"2","RT @postaresume: Front desk Executive for a leading Hote job at POST A RESUME HR Consult - Ahmedabad, Gujarat  ","2018-07-28 16:34:32","TRUE","3","0","1","Employment","Gujarat","India",FALSE
"3","RT @postaresume: Front desk Executive for a leading Hote job at POST A RESUME HR Consult - Ahmedabad, Gujarat  ","2018-07-28 16:25:18","TRUE","3","0","1","Employment","Gujarat","India",TRUE
"4","RT @postaresume: Front desk Executive for a leading Hote job at POST A RESUME HR Consult - Ahmedabad, Gujarat  ","2018-07-28 16:25:11","TRUE","3","0","1","Employment","Gujarat","India",TRUE
"5","Front desk Executive for a leading Hote job at POST A RESUME HR Consult - Ahmedabad, Gujarat  ","2018-07-28 16:23:15","FALSE","3","4","1","Employment","Gujarat","India",FALSE
"6","At SSIU, we have a job of responsibility and devout commitment to enlighten the lives of our Students, by providing  ","2018-07-28 15:08:13","FALSE","0","0","3","Employment","Gujarat","India",FALSE
"7","For Post Of Marketing Executive In Ahmadabad, Vadodara A in Ahmedabad, Gujarat, India: mba, executive  ","2018-07-28 14:01:42","FALSE","0","0","0","Employment","Gujarat","India",FALSE
"8","RT @postaresume: Business development executive for a le job at POST A RESUME HR Consult - Ahmedabad, Gujarat  ","2018-07-28 13:30:00","TRUE","4","0","0","Employment","Gujarat","India",FALSE
"9"," ","2018-07-28 13:01:37","FALSE","0","0","0","Employment","Gujarat","India",TRUE
"10","IITRAM Recruitment 2018 for Non-Teaching Positions gujarat IITRAMRecruitment2018 job maru Marugujarat  ","2018-07-28 12:48:13","FALSE","0","0","0","Employment","Gujarat","India",FALSE
"11","Assistant Manager Candidates List for Interview/ Document Verification 2018 - AMC  ","2018-07-28 12:44:36","FALSE","0","0","0","Employment","Gujarat","India",FALSE
"12","@superrlowkeyy @cryshnah Chai wala person now PM that's democracy. Not intrested to mention him as a chai wala.  It  ","2018-07-28 12:41:44","FALSE","0","0","0","Employment","Gujarat","India",FALSE
"13","Assistant Manager, Officer &amp; Other Post Recruitment in BOB applyinbobfinancialsolutions BOB BOBRecruitment  ","2018-07-28 12:39:59","FALSE","0","0","0","Employment","Gujarat","India",FALSE
"14","@vijayrupanibjp @CMOGuj 
Van manotsav no program pati gayo hoy ne toh as video jova.
Van Mohotsav ne muko padto nak  ","2018-07-28 11:13:08","FALSE","0","0","0","Employment","Gujarat","India",FALSE
"15","[Job] Mall Maintenance Manager | Company: Shree Balaji Group | Location: Ahmedabad GJ Gujarat India | Ahmedabad  ","2018-07-28 11:02:45","FALSE","0","0","0","Employment","Gujarat","India",FALSE
"16","Project Assistant (Level II) Posts in CSIR  CSMCRI centralsaltmarinechemicalsresearch gujarat job maru  ","2018-07-28 08:25:04","FALSE","0","0","0","Employment","Gujarat","India",FALSE
"17","Diploma ME Freshers for QC/Production - Shapar in Rajkot, Gujarat, India: qc  ","2018-07-28 08:10:32","FALSE","0","1","0","Employment","Gujarat","India",FALSE
"18","Ahmedabad West vibrant Loksabha MP @drkiritpsolanki 
Speech publish in Pak news.
He raised issue of Indians worki  ","2018-07-28 07:49:39","FALSE","0","2","0","Employment","Gujarat","India",FALSE
"19","Account Assistant / Accountant Shapar, Rajkot in Rajkot, Gujarat, India: accountant, tally, erp  ","2018-07-28 07:40:30","FALSE","0","1","0","Employment","Gujarat","India",FALSE
