"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@narendramodi @AmitShah @RahulGandhi @HardikPatel_ @vijayrupanibjp @Nitinbhai_Patel @BhupendraSinh1 @CMOGuj What a  ","2018-07-28 19:21:26","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"2","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 19:03:26","TRUE","10","0","0","Health Care","Gujarat","India",FALSE
"3","RT @Bharatgohil1174: The Gujarat government's government medical and dental physiotherapy will not result in huge fees of 400 to 500 per ce","2018-07-28 18:55:26","TRUE","0","0","0","Health Care","Gujarat","India",FALSE
"4","@bindasbhidu I am a medical post graduate student studying in Gujarat. Unfortunately both my parents died last year  ","2018-07-28 18:11:25","FALSE","0","0","-2","Health Care","Gujarat","India",FALSE
"5","RT @justgetmbbs: Gujarat increases government college medical fees by more than 4 times.
The fee for MBBS was increased from Rs. 6000 per","2018-07-28 18:08:44","TRUE","1","0","0","Health Care","Gujarat","India",FALSE
"6","Gujarat increases government college medical fees by more than 4 times.
The fee for MBBS was increased from Rs. 60  ","2018-07-28 18:08:20","FALSE","1","5","0","Health Care","Gujarat","India",FALSE
"7","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 17:41:10","TRUE","10","0","0","Health Care","Gujarat","India",TRUE
"8","RT @socialmedia4bjp: Non emergency private medical services affected across Gujarat  ","2018-07-28 17:36:03","TRUE","8","0","-1","Health Care","Gujarat","India",FALSE
"9","RT @puriyash41: @IndianExpress Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; college o","2018-07-28 17:32:05","TRUE","1","0","0","Health Care","Gujarat","India",FALSE
"10","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 17:18:25","TRUE","10","0","0","Health Care","Gujarat","India",TRUE
"11","@IndianExpress Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c  ","2018-07-28 17:13:25","FALSE","1","7","0","Health Care","Gujarat","India",FALSE
"12","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 17:03:14","TRUE","10","0","0","Health Care","Gujarat","India",TRUE
"13","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 17:02:48","TRUE","10","0","0","Health Care","Gujarat","India",TRUE
"14","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 16:39:57","TRUE","10","0","0","Health Care","Gujarat","India",TRUE
"15","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 16:26:28","TRUE","10","0","0","Health Care","Gujarat","India",TRUE
"16","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 16:02:04","TRUE","10","0","0","Health Care","Gujarat","India",TRUE
"17","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 15:58:32","TRUE","10","0","0","Health Care","Gujarat","India",TRUE
"18","@bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt sc  ","2018-07-28 15:50:27","FALSE","10","11","0","Health Care","Gujarat","India",FALSE
"19","The Gujarat government's government medical and dental physiotherapy will not result in huge fees of 400 to 500 per  ","2018-07-28 15:48:21","FALSE","0","3","0","Health Care","Gujarat","India",FALSE
"20","RT @socialmedia4bjp: Non emergency private medical services affected across Gujarat  ","2018-07-28 13:42:51","TRUE","8","0","-1","Health Care","Gujarat","India",TRUE
"21","RT @socialmedia4bjp: Non emergency private medical services affected across Gujarat  ","2018-07-28 12:42:58","TRUE","8","0","-1","Health Care","Gujarat","India",TRUE
"22","RT @socialmedia4bjp: Non emergency private medical services affected across Gujarat  ","2018-07-28 10:25:14","TRUE","8","0","-1","Health Care","Gujarat","India",TRUE
"23","RT @socialmedia4bjp: Non emergency private medical services affected across Gujarat  ","2018-07-28 10:24:18","TRUE","8","0","-1","Health Care","Gujarat","India",TRUE
"24","RT @socialmedia4bjp: Non emergency private medical services affected across Gujarat  ","2018-07-28 10:24:16","TRUE","8","0","-1","Health Care","Gujarat","India",TRUE
"25","Non emergency private medical services affected across Gujarat  ","2018-07-28 10:24:05","FALSE","8","11","-1","Health Care","Gujarat","India",FALSE
"26","RT @khabarchhe:   ,  ,   
SouthGujarat Gujarat National  NMCBill DoctorsStrike IndianMedicalAssociat","2018-07-28 10:18:26","TRUE","1","0","0","Health Care","Gujarat","India",FALSE
"27","rohitsardana hey please go through defence personal kids problem,who r aspiring medical in Gujarat &amp; Maharashtra","2018-07-28 10:10:39","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"28","RT @tv9gujarati: Doctors' strike: Gujarat Doctors go on strike against new medical bill :
 ","2018-07-28 09:23:25","TRUE","2","0","-2","Health Care","Gujarat","India",FALSE
"29","RT @tv9gujarati: Doctors' strike: Gujarat Doctors go on strike against new medical bill :
 ","2018-07-28 09:20:48","TRUE","2","0","-2","Health Care","Gujarat","India",TRUE
"30","Doctors' strike: Gujarat Doctors go on strike against new medical bill :
 ","2018-07-28 09:17:16","FALSE","2","4","-2","Health Care","Gujarat","India",FALSE
"31","  ,  ,   
SouthGujarat Gujarat National  NMCBill DoctorsStrike  ","2018-07-28 08:51:09","FALSE","1","1","0","Health Care","Gujarat","India",FALSE
