"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@dimpleyadavsp__ @yadavakhilesh @pankhuripathak Kyuki gujarat me metro ke bina bhi har chhote gaav ko bus services  ","2018-07-28 18:02:58","FALSE","0","1","0","Transportaion","Gujarat","India",FALSE
"2","RT @News18Guj:          
 ","2018-07-28 16:52:16","TRUE","2","0","0","Transportaion","Gujarat","India",FALSE
"3","RT @News18Guj:          
 ","2018-07-28 16:47:17","TRUE","2","0","0","Transportaion","Gujarat","India",TRUE
"4","         
 ","2018-07-28 16:35:00","FALSE","2","6","0","Transportaion","Gujarat","India",FALSE
"5","RT @anilpurohi: Ahmedabad : Traffic police slaps fine on BRTS drivers, policeman for flouting traffic rules :  ","2018-07-28 14:47:12","TRUE","1","0","1","Transportaion","Gujarat","India",FALSE
"6","Ahmedabad : Traffic police slaps fine on BRTS drivers, policeman for flouting traffic rules :  ","2018-07-28 14:36:24","FALSE","1","1","1","Transportaion","Gujarat","India",FALSE
"7","RT @tv9gujarati: Ahmedabad : Traffic police slaps fine on BRTS drivers, policeman for flouting traffic rules :  ","2018-07-28 13:47:11","TRUE","2","0","1","Transportaion","Gujarat","India",FALSE
"8","RT @tv9gujarati: Ahmedabad : Traffic police slaps fine on BRTS drivers, policeman for flouting traffic rules :  ","2018-07-28 12:49:55","TRUE","2","0","1","Transportaion","Gujarat","India",TRUE
"9","Ahmedabad : Traffic police slaps fine on BRTS drivers, policeman for flouting traffic rules :  ","2018-07-28 12:49:11","FALSE","2","10","1","Transportaion","Gujarat","India",TRUE
"10","@CollectorAnd  @GSRTC_SERVICE @GSRTC_Gujarat @GSRTC_Gujarat Dearsir ,pls arrange to evening &amp; morning students bus  ","2018-07-28 09:29:17","FALSE","0","0","0","Transportaion","Gujarat","India",FALSE
"11","RT @shakilpatel86: Mohamed pura madina hotel samwedan sill traffic vistar me
Municipal corporation KE orders se
1 machine se pending pada h","2018-07-28 06:54:41","TRUE","29","0","0","Transportaion","Gujarat","India",FALSE
"12","Currently gujarat government cerebrating traffic control week in ahmedabad but what is the permanent solution!?  ","2018-07-28 04:52:06","FALSE","0","1","0","Transportaion","Gujarat","India",FALSE
"13","Bhagirathsinh Jadeja SPS appointed SP- State Traffic Branch-I , Gandhinagar, Gujarat -  ","2018-07-28 03:06:27","FALSE","0","0","0","Transportaion","Gujarat","India",FALSE
"14","GSRTC Recruitment 2018.Gujarat State Road Transport Corporation Limited (GSRTC), Amdavad invites online applicatio  ","2018-07-27 07:00:15","FALSE","0","1","-1","Transportaion","Gujarat","India",FALSE
"15","RT @INDBureaucracy: Akshayraj Makwana IPS appointed DCP- Traffic, Ahmedabad City, Gujarat -  ","2018-07-27 06:47:18","TRUE","1","0","0","Transportaion","Gujarat","India",FALSE
"16","@DRMBRCWR @WesternRly @RailMinIndia 

At. &amp; Post. Tejgadh, Tal. Chhota Udepur, Dist. Vadodara Gujarat;
Damaged Rail  ","2018-07-27 06:33:17","FALSE","0","1","-1","Transportaion","Gujarat","India",FALSE
"17","Akshayraj Makwana IPS appointed DCP- Traffic, Ahmedabad City, Gujarat -  ","2018-07-27 06:08:48","FALSE","1","0","0","Transportaion","Gujarat","India",FALSE
"18","RT @INDBureaucracy: Sanjay Kharat IPS appointed DCP- Traffic, Ahmedabad City, Gujarat -  ","2018-07-27 05:47:27","TRUE","1","0","0","Transportaion","Gujarat","India",FALSE
"19","Sanjay Kharat IPS appointed DCP- Traffic, Ahmedabad City, Gujarat -  ","2018-07-27 05:08:44","FALSE","1","0","0","Transportaion","Gujarat","India",FALSE
"20","RT @CollectorDahod: Dahod nagarpalika's man and machineries @ work today in different places of nagarpalika areas.Citizens r requsted not t","2018-07-27 04:15:04","TRUE","2","0","1","Transportaion","Gujarat","India",FALSE
"21","RT @taaeer: Suddenly roads in Ahmedabad  hv become much larger. Jams have reduced on most main roads. Police work is appreciable. Things w","2018-07-26 17:08:10","TRUE","2","0","2","Transportaion","Gujarat","India",FALSE
"22","RT @taaeer: Suddenly roads in Ahmedabad  hv become much larger. Jams have reduced on most main roads. Police work is appreciable. Things w","2018-07-26 16:47:12","TRUE","2","0","2","Transportaion","Gujarat","India",TRUE
"23","Beggars, nowadays at every cross road in Western Amdavad, knocking your car window, entire family in presence doing  ","2018-07-26 16:16:14","FALSE","0","6","0","Transportaion","Gujarat","India",FALSE
"24","Suddenly roads in Ahmedabad  hv become much larger. Jams have reduced on most main roads. Police work is appreciab  ","2018-07-26 15:49:41","FALSE","2","3","1","Transportaion","Gujarat","India",FALSE
"25","RT @_AshutoshPatel: Thank You Very Much @AhmedabadPolice 
and Traffic Department of Ahmedabad for your wondorful work for Parking issues th","2018-07-26 11:35:42","TRUE","2","0","1","Transportaion","Gujarat","India",FALSE
"26","Sudhir Desai transferred as DCP Traffic, Surat City | Gujarat Police
 ","2018-07-26 09:21:24","FALSE","0","0","0","Transportaion","Gujarat","India",FALSE
"27","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-26 08:55:03","TRUE","27","0","0","Transportaion","Gujarat","India",FALSE
"28","RT @_AshutoshPatel: Thank You Very Much @AhmedabadPolice 
and Traffic Department of Ahmedabad for your wondorful work for Parking issues th","2018-07-26 07:47:12","TRUE","2","0","1","Transportaion","Gujarat","India",TRUE
"29","Thank You Very Much @AhmedabadPolice 
and Traffic Department of Ahmedabad for your wondorful work for Parking issue  ","2018-07-26 07:30:02","FALSE","2","10","1","Transportaion","Gujarat","India",FALSE
"30","RT @rjmeeit:       ?
         ,   ","2018-07-26 07:29:48","TRUE","1","0","0","Transportaion","Gujarat","India",FALSE
"31","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-26 06:27:16","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"32","RT @moneycontrolcom: To rein in rising traffic woes, Gujarat state government likely to impose one citizen, one vehicle policy
 ","2018-07-26 01:29:14","TRUE","1","0","-1","Transportaion","Gujarat","India",FALSE
"33","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 22:53:02","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"34","RT @AhmedabadPolice: Live Now from 4PM to 5.30PM to address traffic issues in Ahmedabad AhmedabadTrafficPoliceOnline Tweet or DM us! Mar","2018-07-25 18:56:46","TRUE","13","0","-2","Transportaion","Gujarat","India",FALSE
"35","@moneycontrolcom During rush hour you can see lot of traffic on both sidebar f road and BRTS lane is almost empty.  ","2018-07-25 18:48:05","FALSE","0","0","0","Transportaion","Gujarat","India",FALSE
"36","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 18:09:28","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"37","RT @latestly: Gujarat Government Plans to Introduce 'One Citizen One Vehicle' Policy to Reduce the Traffic Congestion
Traffic | Gujarat |","2018-07-25 16:26:40","TRUE","1","0","0","Transportaion","Gujarat","India",FALSE
"38","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 15:51:54","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"39","To rein in rising traffic woes, Gujarat state government likely to impose one citizen, one vehicle policy
 ","2018-07-25 15:37:17","FALSE","1","4","-1","Transportaion","Gujarat","India",FALSE
"40","@MrsGandhi My colleague from Gujarat traveled by road to the Sahar International Airport on time without any traffic delay.","2018-07-25 15:13:03","FALSE","0","0","-1","Transportaion","Gujarat","India",FALSE
"41","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 15:10:28","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"42","RT @TOIAhmedabad: Gujarat: Head constable of Vadodara city traffic police detained with a woman by rapid response cell for ferrying India","2018-07-25 15:03:32","TRUE","3","0","1","Transportaion","Gujarat","India",FALSE
"43","RT @TOIAhmedabad: Gujarat: Head constable of Vadodara city traffic police detained with a woman by rapid response cell for ferrying India","2018-07-25 13:37:40","TRUE","3","0","1","Transportaion","Gujarat","India",TRUE
"44","RT @TOIAhmedabad: Gujarat: Head constable of Vadodara city traffic police detained with a woman by rapid response cell for ferrying India","2018-07-25 13:37:25","TRUE","3","0","1","Transportaion","Gujarat","India",TRUE
"45","Gujarat: Head constable of Vadodara city traffic police detained with a woman by rapid response cell for ferrying  ","2018-07-25 13:36:44","FALSE","3","8","1","Transportaion","Gujarat","India",FALSE
"46","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 12:55:25","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"47","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 12:53:50","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"48","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 12:40:21","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"49","RT @dr_padhi: What a shame! Congress can go to any extent for power! They burned Haryana for jaat reservations, gujarat for patels, karnata","2018-07-25 11:42:24","TRUE","3","0","-2","Transportaion","Gujarat","India",FALSE
"50","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 11:32:12","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"51","Gujarat Government Plans to Introduce 'One Citizen One Vehicle' Policy to Reduce the Traffic Congestion
Traffic |  ","2018-07-25 11:30:31","FALSE","1","1","0","Transportaion","Gujarat","India",FALSE
"52","RT @dr_padhi: What a shame! Congress can go to any extent for power! They burned Haryana for jaat reservations, gujarat for patels, karnata","2018-07-25 11:29:07","TRUE","3","0","-2","Transportaion","Gujarat","India",TRUE
"53","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 11:22:10","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"54","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 11:19:25","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"55","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 11:05:08","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"56","RT @mamta_shyam: Hope this continues @AhmedabadPolice and across Gujarat.
On the beautiful and progressive Gujarat, the traffic sense is a","2018-07-25 10:47:39","TRUE","5","0","2","Transportaion","Gujarat","India",FALSE
"57","RT @mamta_shyam: Hope this continues @AhmedabadPolice and across Gujarat.
On the beautiful and progressive Gujarat, the traffic sense is a","2018-07-25 10:47:25","TRUE","5","0","2","Transportaion","Gujarat","India",TRUE
"58","RT @tv9gujarati: Even after many efforts authorities failed to solve traffic issues in Ahmedabad ;  ","2018-07-25 10:47:18","TRUE","1","0","-2","Transportaion","Gujarat","India",FALSE
"59","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 10:44:32","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"60","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 10:21:15","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"61","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 10:19:32","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"62","Even after many efforts authorities failed to solve traffic issues in Ahmedabad ;  ","2018-07-25 10:15:00","FALSE","1","3","-2","Transportaion","Gujarat","India",FALSE
"63","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 10:14:16","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"64","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 10:12:51","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"65","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 10:11:08","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"66","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 10:07:58","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"67","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 10:06:28","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"68","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 10:04:52","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"69","RT @amz360: Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 10:04:13","TRUE","27","0","0","Transportaion","Gujarat","India",TRUE
"70","Has Gujarat traffic police fined @rahulkanwal for not wearing a helmet?  ","2018-07-25 10:03:56","FALSE","27","41","0","Transportaion","Gujarat","India",FALSE
"71","      ?
         ,    ","2018-07-25 09:55:29","FALSE","1","4","0","Transportaion","Gujarat","India",FALSE
"72","Hope this continues @AhmedabadPolice and across Gujarat.
On the beautiful and progressive Gujarat, the traffic sens  ","2018-07-25 09:54:37","FALSE","5","11","2","Transportaion","Gujarat","India",FALSE
"73","What a shame! Congress can go to any extent for power! They burned Haryana for jaat reservations, gujarat for patel  ","2018-07-25 09:05:06","FALSE","3","3","-2","Transportaion","Gujarat","India",FALSE
"74","RT @KunjannPatel: @CPAhmedabad Hat's to the way you and your department are handling the issues of Traffic in the city of Ahmedabad.@narend","2018-07-25 08:47:11","TRUE","1","0","-1","Transportaion","Gujarat","India",FALSE
"75","@CPAhmedabad Hat's to the way you and your department are handling the issues of Traffic in the city of Ahmedabad.@  ","2018-07-25 08:37:47","FALSE","1","0","-1","Transportaion","Gujarat","India",FALSE
"76","RT @urbanvoicesin: Parking is the Mother of All Traffic Issues. There can't be parking space for each vehicle everywhere, says City Police","2018-07-25 07:09:22","TRUE","10","0","-1","Transportaion","Gujarat","India",FALSE
"77","RT @chitralekhamag:                  ","2018-07-25 06:47:11","TRUE","1","0","0","Transportaion","Gujarat","India",FALSE
"78","GSRTC Recruitment 2018.Gujarat State Road Transport Corporation Limited (GSRTC), Amdavad invites online applicatio  ","2018-07-25 06:35:04","FALSE","0","0","-1","Transportaion","Gujarat","India",TRUE
"79","                  ","2018-07-25 05:49:18","FALSE","1","2","0","Transportaion","Gujarat","India",FALSE
"80","@CNBC_Awaaz Gujarat government is working to make rule of 1 person 1 vehicle to control traffic of Gujarat  ","2018-07-25 05:31:37","FALSE","0","0","0","Transportaion","Gujarat","India",FALSE
"81","@AnilSinghviZEE Gujarat government is working to make rule of 1 person 1 vehicle to control traffic of Gujarat  ","2018-07-25 05:29:11","FALSE","0","0","0","Transportaion","Gujarat","India",FALSE
"82","RT @urbanvoicesin: Parking is the Mother of All Traffic Issues. There can't be parking space for each vehicle everywhere, says City Police","2018-07-25 04:31:37","TRUE","10","0","-1","Transportaion","Gujarat","India",TRUE
"83","          ! 
-         ","2018-07-25 03:38:29","FALSE","0","3","0","Transportaion","Gujarat","India",FALSE
"84","RT @AjaySrivastav70: @RealMediaCrooks You're lucky to have such cow feeding facility in Gujarat, large cities in MP have removed the cows f","2018-07-25 03:22:29","TRUE","1","0","1","Transportaion","Gujarat","India",FALSE
"85","Thanks to Honorable Gujarat High court the @vijayrupanibjp government has been finally pushed into action for manag  ","2018-07-25 02:42:58","FALSE","0","0","1","Transportaion","Gujarat","India",FALSE
"86","        
CentralGujarat  Rain TrafficPolice AhemadabadPolice AMC  ","2018-07-25 00:31:08","FALSE","0","1","0","Transportaion","Gujarat","India",FALSE
"87","RT @urbanvoicesin: Parking is the Mother of All Traffic Issues. There can't be parking space for each vehicle everywhere, says City Police","2018-07-24 22:16:43","TRUE","10","0","-1","Transportaion","Gujarat","India",TRUE
"88","RT @DeshGujarat: Gujarat High Court appreciates Ahmedabad Police Commissioner A.K. Singh and city police team for work done in a week in tr","2018-07-24 19:11:43","TRUE","23","0","2","Transportaion","Gujarat","India",FALSE
"89","RT @urbanvoicesin: Parking is the Mother of All Traffic Issues. There can't be parking space for each vehicle everywhere, says City Police","2018-07-24 18:56:11","TRUE","10","0","-1","Transportaion","Gujarat","India",TRUE
"90","@RealMediaCrooks You're lucky to have such cow feeding facility in Gujarat, large cities in MP have removed the cow  ","2018-07-24 18:10:53","FALSE","1","1","1","Transportaion","Gujarat","India",FALSE
"91","RT @urbanvoicesin: Parking is the Mother of All Traffic Issues. There can't be parking space for each vehicle everywhere, says City Police","2018-07-24 13:40:42","TRUE","10","0","-1","Transportaion","Gujarat","India",TRUE
"92","RT @YiAhmedabad: Address your traffic issues! Obey the rules! 

YiAhmedabad CII Ahmedabad AhmedabadTrafficPoliceOnline MaruAmdavad","2018-07-24 13:20:35","TRUE","2","0","-1","Transportaion","Gujarat","India",FALSE
"93","RT @urbanvoicesin: Parking is the Mother of All Traffic Issues. There can't be parking space for each vehicle everywhere, says City Police","2018-07-24 12:23:36","TRUE","10","0","-1","Transportaion","Gujarat","India",TRUE
"94","RT @urbanvoicesin: Parking is the Mother of All Traffic Issues. There can't be parking space for each vehicle everywhere, says City Police","2018-07-24 12:14:14","TRUE","10","0","-1","Transportaion","Gujarat","India",TRUE
"95","RT @AhmedabadPolice: Live Now from 4PM to 5.30PM to address traffic issues in Ahmedabad AhmedabadTrafficPoliceOnline Tweet or DM us! Mar","2018-07-24 11:32:50","TRUE","18","0","-2","Transportaion","Gujarat","India",TRUE
"96","Gujarat RTC Traffic Controller Exam Hall Ticket 2018  Download GSRTC Call Letter www.gsrtc  ","2018-07-24 10:25:40","FALSE","0","0","0","Transportaion","Gujarat","India",FALSE
"97","Gujarat RTC Traffic Controller Exam Hall Ticket 2018  Download GSRTC Call Letter ","2018-07-24 10:25:35","FALSE","0","0","0","Transportaion","Gujarat","India",FALSE
"98","GSRTC Recruitment 2018.Gujarat State Road Transport Corporation Limited (GSRTC), Amdavad invites online applicatio  ","2018-07-24 09:50:06","FALSE","0","0","-1","Transportaion","Gujarat","India",TRUE
"99","RT @DeshGujarat: Gujarat High Court appreciates Ahmedabad Police Commissioner A.K. Singh and city police team for work done in a week in tr","2018-07-24 09:00:42","TRUE","23","0","2","Transportaion","Gujarat","India",TRUE
"100","RT @DeshGujarat: Gujarat High Court appreciates Ahmedabad Police Commissioner A.K. Singh and city police team for work done in a week in tr","2018-07-24 08:24:05","TRUE","23","0","2","Transportaion","Gujarat","India",TRUE
"101","RT @AhmedabadPolice: Live Now from 4PM to 5.30PM to address traffic issues in Ahmedabad AhmedabadTrafficPoliceOnline Tweet or DM us! Mar","2018-07-24 08:09:33","TRUE","13","0","-2","Transportaion","Gujarat","India",TRUE
"102",":      ; :       ","2018-07-24 08:02:17","FALSE","0","0","0","Transportaion","Gujarat","India",FALSE
"103","RT @DeshGujarat: Gujarat High Court appreciates Ahmedabad Police Commissioner A.K. Singh and city police team for work done in a week in tr","2018-07-24 06:04:43","TRUE","23","0","2","Transportaion","Gujarat","India",TRUE
"104","To solve traffic issues in the state, Transport commissioner demanded records from RTOs ;  ","2018-07-24 05:58:58","FALSE","0","6","-1","Transportaion","Gujarat","India",FALSE
