"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-28 18:38:12","TRUE","31","0","-1","Education","Haryana","India",FALSE
"2","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-28 14:37:28","TRUE","31","0","-1","Education","Haryana","India",TRUE
"3","RT @ANI: Haryana: Police uses water cannon to disperse TGT (Trained Graduate Teacher) &amp; PGT (Post Graduate Teacher) candidates protesting i","2018-07-28 14:17:34","TRUE","31","0","-1","Education","Haryana","India",FALSE
"4","I added a video to a @YouTube playlist  ","2018-07-28 14:01:53","FALSE","0","0","0","Education","Haryana","India",FALSE
"5","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-28 04:26:51","TRUE","31","0","-1","Education","Haryana","India",TRUE
"6","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-28 04:15:21","TRUE","31","0","-1","Education","Haryana","India",TRUE
"7","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-28 03:19:53","TRUE","31","0","-1","Education","Haryana","India",TRUE
"8","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-28 00:08:43","TRUE","31","0","-1","Education","Haryana","India",TRUE
"9","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 19:37:06","TRUE","31","0","-1","Education","Haryana","India",TRUE
"10","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 18:02:56","TRUE","31","0","-1","Education","Haryana","India",TRUE
"11","RT @ella_gh: Rote learning of English now driven by government! Haryana state has a booklet with 1,000 sentences in English, the teacher te","2018-07-27 17:37:28","TRUE","1","0","0","Education","Haryana","India",FALSE
"12","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 17:11:13","TRUE","31","0","-1","Education","Haryana","India",TRUE
"13","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 16:32:15","TRUE","31","0","-1","Education","Haryana","India",TRUE
"14","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 16:14:24","TRUE","31","0","-1","Education","Haryana","India",TRUE
"15","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 14:41:53","TRUE","31","0","-1","Education","Haryana","India",TRUE
"16","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 14:36:57","TRUE","31","0","-1","Education","Haryana","India",TRUE
"17","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-27 14:35:46","TRUE","15","0","0","Education","Haryana","India",FALSE
"18","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 14:30:10","TRUE","31","0","-1","Education","Haryana","India",TRUE
"19","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 12:37:57","TRUE","31","0","-1","Education","Haryana","India",TRUE
"20","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 11:58:51","TRUE","31","0","-1","Education","Haryana","India",TRUE
"21","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 11:56:37","TRUE","31","0","-1","Education","Haryana","India",TRUE
"22","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 10:45:04","TRUE","31","0","-1","Education","Haryana","India",TRUE
"23"," ","2018-07-27 10:38:53","FALSE","0","0","0","Education","Haryana","India",FALSE
"24","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 10:19:28","TRUE","31","0","-1","Education","Haryana","India",TRUE
"25","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 09:14:00","TRUE","31","0","-1","Education","Haryana","India",TRUE
"26","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 08:50:04","TRUE","31","0","-1","Education","Haryana","India",TRUE
"27","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 08:10:55","TRUE","31","0","-1","Education","Haryana","India",TRUE
"28","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 07:47:33","TRUE","31","0","-1","Education","Haryana","India",TRUE
"29","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 07:27:11","TRUE","31","0","-1","Education","Haryana","India",TRUE
"30","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 07:17:43","TRUE","31","0","-1","Education","Haryana","India",TRUE
"31","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 07:06:37","TRUE","31","0","-1","Education","Haryana","India",TRUE
"32","RT @Monna92300721: GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of someone","2018-07-27 07:06:22","TRUE","31","0","-1","Education","Haryana","India",TRUE
"33","GuruPurnima
When you are moving blindly through the valley of life, stumbling in darkness, you need the help of so  ","2018-07-27 06:56:13","FALSE","31","29","-1","Education","Haryana","India",FALSE
"34","sir narendra modi ji give a word of digital india.I am from haryana.but in Haryana there are not even a single perm  ","2018-07-27 06:07:07","FALSE","0","0","0","Education","Haryana","India",FALSE
"35","          , 3   
Haryana fifteenyearold student kidnappingcase  ","2018-07-26 11:21:01","FALSE","0","0","0","Education","Haryana","India",FALSE
"36","RT @urtamoghna: WomenEmpowerment
WomenReservationBill

 ","2018-07-26 11:07:51","TRUE","13","0","0","Education","Haryana","India",FALSE
"37","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-26 05:51:22","TRUE","15","0","0","Education","Haryana","India",TRUE
"38","Haryana Teacher Vacancy 2018 Haryana Govt Jobs 2018 Haryana Sarkari Naukri 2018 HTET BANKERS BUDDY:  ","2018-07-26 04:18:34","FALSE","0","0","0","Education","Haryana","India",FALSE
"39","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-26 03:33:55","TRUE","15","0","0","Education","Haryana","India",TRUE
"40","@TheAmitLakhani  ","2018-07-25 22:38:28","FALSE","0","0","0","Education","Haryana","India",FALSE
"41","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-25 16:51:28","TRUE","15","0","0","Education","Haryana","India",TRUE
"42","RT @Shreya51220015: WednesdayWisdom
Who is that true spiritual teacher who can bring u out of darkness?
To know watch 
Haryana News at 6:0","2018-07-25 15:46:28","TRUE","3","0","1","Education","Haryana","India",FALSE
"43","@cmohry @PMOIndia @HMOIndia @INCHaryana @police_haryana 9 july ko badagaon , thana narayangadh , district ambala me  ","2018-07-25 15:11:14","FALSE","0","0","0","Education","Haryana","India",FALSE
"44","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-25 14:35:43","TRUE","15","0","0","Education","Haryana","India",TRUE
"45","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-25 14:08:46","TRUE","15","0","0","Education","Haryana","India",TRUE
"46","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-25 13:55:06","TRUE","15","0","0","Education","Haryana","India",TRUE
"47","RT @BisyarVickram:   10    -       
@cmohry @mlkhattar
Sir time has come to start a campa","2018-07-25 12:34:55","TRUE","10","0","0","Education","Haryana","India",FALSE
"48","RT @BisyarVickram:   10    -       
@cmohry @mlkhattar
Sir time has come to start a campa","2018-07-25 12:10:18","TRUE","10","0","0","Education","Haryana","India",TRUE
"49","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-25 12:08:54","TRUE","15","0","0","Education","Haryana","India",TRUE
"50","RT @BisyarVickram:   10    -       
@cmohry @mlkhattar
Sir time has come to start a campa","2018-07-25 11:52:36","TRUE","10","0","0","Education","Haryana","India",TRUE
"51","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-25 11:52:34","TRUE","15","0","0","Education","Haryana","India",TRUE
"52","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-25 10:25:31","TRUE","15","0","0","Education","Haryana","India",TRUE
"53","RT @urtamoghna: WomenEmpowerment
WomenReservationBill

 ","2018-07-25 09:46:42","TRUE","13","0","0","Education","Haryana","India",TRUE
"54","RT @urtamoghna: WomenEmpowerment
WomenReservationBill

 ","2018-07-25 09:42:01","TRUE","13","0","0","Education","Haryana","India",TRUE
"55","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-25 09:05:55","TRUE","15","0","0","Education","Haryana","India",TRUE
"56","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-25 08:48:28","TRUE","15","0","0","Education","Haryana","India",TRUE
"57","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-25 08:01:08","TRUE","15","0","0","Education","Haryana","India",TRUE
"58","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-25 07:58:41","TRUE","15","0","0","Education","Haryana","India",TRUE
"59","RT @Sid837: Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    -","2018-07-25 07:57:46","TRUE","15","0","0","Education","Haryana","India",TRUE
"60","Ablanari BiasedLaw CrimeByWomen DisposableMale MardKoDardHoga MeTooMen WednesdayWisdom   10    ","2018-07-25 07:24:20","FALSE","15","4","0","Education","Haryana","India",FALSE
"61","RT @Shreya51220015: WednesdayWisdom
Who is that true spiritual teacher who can bring u out of darkness?
To know watch 
Haryana News at 6:0","2018-07-25 07:23:20","TRUE","3","0","1","Education","Haryana","India",TRUE
"62","WednesdayWisdom
Who is that true spiritual teacher who can bring u out of darkness?
To know watch 
Haryana News at 6:00 am","2018-07-25 07:21:48","FALSE","3","3","1","Education","Haryana","India",FALSE
"63","Jobs For Opening for Music Teacher  Kurukshetra  Haryana Kurukshetra, Haryana !  ","2018-07-25 07:19:12","FALSE","0","0","0","Education","Haryana","India",FALSE
"64","RT @BisyarVickram:   10    -       
@cmohry @mlkhattar
Sir time has come to start a campa","2018-07-25 07:13:49","TRUE","10","0","0","Education","Haryana","India",TRUE
"65","RT @BisyarVickram:   10    -       
@cmohry @mlkhattar
Sir time has come to start a campa","2018-07-25 06:44:50","TRUE","10","0","0","Education","Haryana","India",TRUE
"66","RT @urtamoghna: WomenEmpowerment
WomenReservationBill

 ","2018-07-25 06:35:43","TRUE","13","0","0","Education","Haryana","India",TRUE
"67","RT @BisyarVickram:   10    -       
@cmohry @mlkhattar
Sir time has come to start a campa","2018-07-25 05:53:52","TRUE","10","0","0","Education","Haryana","India",TRUE
"68","RT @urtamoghna: WomenEmpowerment
WomenReservationBill

 ","2018-07-25 05:44:45","TRUE","13","0","0","Education","Haryana","India",TRUE
"69","We are almost completing a year in Haryana and have trained thousands of teachers under Sampark Smart Shala program  ","2018-07-25 05:40:49","FALSE","0","6","1","Education","Haryana","India",FALSE
"70","RT @urtamoghna: WomenEmpowerment
WomenReservationBill

 ","2018-07-25 05:40:36","TRUE","13","0","0","Education","Haryana","India",TRUE
"71","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-25 04:32:21","TRUE","16","0","0","Education","Haryana","India",FALSE
"72","              ","2018-07-25 03:30:03","FALSE","0","0","0","Education","Haryana","India",FALSE
"73","RT @urtamoghna: WomenEmpowerment
WomenReservationBill

 ","2018-07-25 00:40:00","TRUE","13","0","0","Education","Haryana","India",TRUE
"74","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-24 22:51:46","TRUE","16","0","0","Education","Haryana","India",TRUE
"75","RT @urtamoghna: WomenEmpowerment
WomenReservationBill

 ","2018-07-24 18:04:59","TRUE","13","0","0","Education","Haryana","India",TRUE
"76","RT @urtamoghna: WomenEmpowerment
WomenReservationBill

 ","2018-07-24 14:31:27","TRUE","13","0","0","Education","Haryana","India",TRUE
"77","RT @urtamoghna: WomenEmpowerment
WomenReservationBill

 ","2018-07-24 14:00:00","TRUE","13","0","0","Education","Haryana","India",TRUE
"78","RT @urtamoghna: WomenEmpowerment
WomenReservationBill

 ","2018-07-24 13:49:29","TRUE","13","0","0","Education","Haryana","India",TRUE
"79","RT @urtamoghna: WomenEmpowerment
WomenReservationBill

 ","2018-07-24 13:38:50","TRUE","13","0","0","Education","Haryana","India",TRUE
"80","RT @urtamoghna: WomenEmpowerment
WomenReservationBill

 ","2018-07-24 13:37:30","TRUE","13","0","0","Education","Haryana","India",TRUE
"81","RT @IVFoundation: 54 prisoners reform into YOGA TEACHERS through 45 day YOGA TEACHER TRAINING COURSE in collaboration with Panchawati YOGA","2018-07-24 13:34:04","TRUE","1","0","1","Education","Haryana","India",FALSE
"82"," ","2018-07-24 13:26:45","FALSE","0","0","0","Education","Haryana","India",TRUE
"83","RT @BisyarVickram:   10    -       
@cmohry @mlkhattar
Sir time has come to start a campa","2018-07-24 13:06:46","TRUE","10","0","0","Education","Haryana","India",TRUE
"84","Patient and generous teacher ! japanesepatisserie aspire learn skills hetheman kanjiromochizuki chefdeep  ","2018-07-24 12:59:09","FALSE","0","0","3","Education","Haryana","India",FALSE
"85","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-24 12:55:14","TRUE","16","0","0","Education","Haryana","India",TRUE
"86","     ,       ","2018-07-24 12:47:21","FALSE","0","3","0","Education","Haryana","India",FALSE
"87","RT @Chiranjeev_INC:                

In This Government Girls School In H","2018-07-24 12:45:59","TRUE","37","0","0","Education","Haryana","India",FALSE
"88","     ,     
 ","2018-07-24 12:45:12","FALSE","0","1","0","Education","Haryana","India",FALSE
"89","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-24 12:24:28","TRUE","16","0","0","Education","Haryana","India",TRUE
"90","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-24 12:21:04","TRUE","16","0","0","Education","Haryana","India",TRUE
"91"," ","2018-07-24 12:15:18","FALSE","0","0","0","Education","Haryana","India",TRUE
"92","RT @BisyarVickram:   10    -       
@cmohry @mlkhattar
Sir time has come to start a campa","2018-07-24 12:06:03","TRUE","10","0","0","Education","Haryana","India",TRUE
"93","54 prisoners reform into YOGA TEACHERS through 45 day YOGA TEACHER TRAINING COURSE in collaboration with Panchawat  ","2018-07-24 11:33:59","FALSE","1","3","1","Education","Haryana","India",FALSE
"94","WomenEmpowerment
WomenReservationBill

 ","2018-07-24 10:42:59","FALSE","13","5","0","Education","Haryana","India",FALSE
"95","Teacher elope with Class X male student, they go to Hisar, Delhi, Katra before the teacher isarrested  ","2018-07-24 09:54:39","FALSE","0","0","0","Education","Haryana","India",FALSE
"96","Rote learning of English now driven by government! Haryana state has a booklet with 1,000 sentences in English, the  ","2018-07-24 09:30:58","FALSE","1","4","0","Education","Haryana","India",FALSE
"97","RT @BisyarVickram:   10    -       
@cmohry @mlkhattar
Sir time has come to start a campa","2018-07-24 09:17:54","TRUE","10","0","0","Education","Haryana","India",TRUE
"98","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-24 08:51:23","TRUE","16","0","0","Education","Haryana","India",TRUE
"99","RT @BisyarVickram:   10    -       
@cmohry @mlkhattar
Sir time has come to start a campa","2018-07-24 08:05:25","TRUE","10","0","0","Education","Haryana","India",TRUE
"100","  10    -       
@cmohry @mlkhattar
Sir time has come to start a  ","2018-07-24 07:16:03","FALSE","10","4","0","Education","Haryana","India",FALSE
"101","  10    -       
 ","2018-07-24 05:27:17","FALSE","0","1","0","Education","Haryana","India",FALSE
"102","@mlkhattar Sir haryana ke sbhi schoolo me computer teacher bachchon ke saath milke paudagiri kr rhe hai ...Aap comp  ","2018-07-24 05:13:04","FALSE","0","0","0","Education","Haryana","India",FALSE
"103","15           ,         ","2018-07-24 01:43:04","FALSE","0","0","0","Education","Haryana","India",FALSE
"104","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-24 01:39:51","TRUE","16","0","0","Education","Haryana","India",TRUE
"105","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-23 16:20:35","TRUE","16","0","0","Education","Haryana","India",TRUE
"106","Jobs For Music Teacher / Computer Teacher /PRT Teacher/theatre Teacher Karnal, Haryana !  ","2018-07-23 16:10:47","FALSE","0","0","0","Education","Haryana","India",FALSE
"107","@INCHaryana @AshokTanwar_INC @RahulGandhi Congress sarkar zindabad.. hm bchpn se he congress k sath h.. or govt Sch  ","2018-07-23 16:09:45","FALSE","0","0","0","Education","Haryana","India",FALSE
"108","@RahulGandhi @AshokTanwar_INC Rahul bhai m haryana se hu. Or m yha ki government k against bolna chahta hu.. yha co  ","2018-07-23 16:07:12","FALSE","0","0","0","Education","Haryana","India",FALSE
"109","RT @HaryanaKesari:    10          
 ","2018-07-23 14:58:35","TRUE","1","0","0","Education","Haryana","India",FALSE
"110","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-23 14:57:04","TRUE","16","0","0","Education","Haryana","India",TRUE
"111","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-23 14:51:23","TRUE","16","0","0","Education","Haryana","India",TRUE
"112","RT @HaryanaKesari:  ","2018-07-23 14:50:35","TRUE","2","0","0","Education","Haryana","India",FALSE
"113","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-23 14:13:02","TRUE","16","0","0","Education","Haryana","India",TRUE
"114","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-23 13:49:59","TRUE","16","0","0","Education","Haryana","India",TRUE
"115","   10          
 ","2018-07-23 13:28:30","FALSE","1","0","0","Education","Haryana","India",FALSE
"116","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-23 13:06:54","TRUE","16","0","0","Education","Haryana","India",TRUE
"117","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-23 12:15:31","TRUE","16","0","0","Education","Haryana","India",TRUE
"118","RT @Lakhvir47141659: BJP sarkar se request hai ki computer teacher or computer LA  ko goli ja bumb se uda do kam se kam enka roj ka Marna k","2018-07-23 12:05:13","TRUE","3","0","0","Education","Haryana","India",FALSE
"119","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-23 11:31:29","TRUE","16","0","0","Education","Haryana","India",TRUE
"120","ResignManekaGandhi WomenSafety
Thank you @timesofindia 
We request Sh @narendramodi @PMOIndia ji to sack Smt  ","2018-07-23 11:26:38","FALSE","0","0","-1","Education","Haryana","India",FALSE
"121","       15   10          
 ","2018-07-23 11:01:16","FALSE","0","0","0","Education","Haryana","India",FALSE
"122","RT @SatyajitBCH:     ...??       ...??      Teachers  ...??  ","2018-07-23 10:59:11","TRUE","16","0","0","Education","Haryana","India",TRUE
"123","    ...??       ...??      Teachers  ...??  ","2018-07-23 10:06:51","FALSE","16","7","0","Education","Haryana","India",FALSE
"124","Retweeted Haryana Kesari (@HaryanaKesari):

 ","2018-07-23 10:02:07","FALSE","0","0","0","Education","Haryana","India",FALSE
"125","RT @HaryanaKesari:  ","2018-07-23 10:01:55","TRUE","2","0","0","Education","Haryana","India",TRUE
"126","RT @indiacorenews:      15      ,    ","2018-07-23 10:01:32","TRUE","1","0","0","Education","Haryana","India",FALSE
"127","     15      ,    ","2018-07-23 09:48:47","FALSE","1","1","0","Education","Haryana","India",FALSE
"128","RT @News18India: 20              

 ","2018-07-23 09:23:40","TRUE","2","0","0","Education","Haryana","India",FALSE
"129"," ","2018-07-23 08:45:23","FALSE","2","1","0","Education","Haryana","India",TRUE
"130","20              

 ","2018-07-23 07:54:05","FALSE","0","0","0","Education","Haryana","India",FALSE
"131","RT @News18India: 20              

 ","2018-07-23 07:45:19","TRUE","2","0","0","Education","Haryana","India",TRUE
"132","20              

 ","2018-07-23 07:41:21","FALSE","0","0","0","Education","Haryana","India",TRUE
"133","20              

 ","2018-07-23 07:39:45","FALSE","0","2","0","Education","Haryana","India",TRUE
"134","20              

 ","2018-07-23 07:39:40","FALSE","2","17","0","Education","Haryana","India",TRUE
"135","@AmitShah Haryana ki traf bhi dekho amit shah ji Computer Teacher ko 2 month ho gye dharne pr ko sathi samadhan kro ji","2018-07-23 04:11:03","FALSE","0","0","0","Education","Haryana","India",FALSE
"136","Jobs For Music Teacher Gurgaon, Haryana ! Veena  ","2018-07-23 01:59:15","FALSE","0","0","0","Education","Haryana","India",FALSE
"137","RT @Vinodku76234664: @CtwaOfficial @cmohry @mlkhattar @VirenSchauhan @rbsharmabjp @BJP4Haryana @AmitShah @PMOIndia @News18Haryana @stvharya","2018-07-22 15:29:23","TRUE","4","0","0","Education","Haryana","India",FALSE
"138","RT @Vinodku76234664: @CtwaOfficial @cmohry @mlkhattar @VirenSchauhan @rbsharmabjp @BJP4Haryana @AmitShah @PMOIndia @News18Haryana @stvharya","2018-07-22 15:26:21","TRUE","4","0","0","Education","Haryana","India",TRUE
"139","RT @Vinodku76234664: @CtwaOfficial @cmohry @mlkhattar @VirenSchauhan @rbsharmabjp @BJP4Haryana @AmitShah @PMOIndia @News18Haryana @stvharya","2018-07-22 15:06:02","TRUE","4","0","0","Education","Haryana","India",TRUE
"140","SRS Bhiwani Teacher Recruitment 2018 : S Radhakrishnan School Bhiwani, Haryana invited applications for recruitmen  ","2018-07-22 15:02:47","FALSE","0","0","0","Education","Haryana","India",FALSE
"141","RT @Vinodku76234664: @CtwaOfficial @cmohry @mlkhattar @VirenSchauhan @rbsharmabjp @BJP4Haryana @AmitShah @PMOIndia @News18Haryana @stvharya","2018-07-22 14:50:35","TRUE","4","0","0","Education","Haryana","India",TRUE
"142","@myogiadityanath    karnal haryana se hu mne up lt grade teacher m form fill kiya tha din rat mehnt ki le  ","2018-07-22 12:06:39","FALSE","0","0","-1","Education","Haryana","India",FALSE
"143","@CtwaOfficial @cmohry @mlkhattar @VirenSchauhan @rbsharmabjp @BJP4Haryana @AmitShah @PMOIndia @News18Haryana  ","2018-07-22 03:46:44","FALSE","4","7","0","Education","Haryana","India",FALSE
"144","Today's yoga teacher's Training course  convocation program at Guru gram prison... DG.prison k.selvaraj ji, S.S.Pra  ","2018-07-21 18:06:13","FALSE","0","1","-1","Education","Haryana","India",FALSE
"145","@mlkhattar The schdule given in para 5 (ii) of teacher transfer policy as amended on 01-06-17 is being voilated by  ","2018-07-21 12:20:54","FALSE","0","0","0","Education","Haryana","India",FALSE
"146","@cmohry Teacher transfer policy schdule as given in para 5 (ii)is being voilated by the Principal Secretary School  ","2018-07-21 09:32:28","FALSE","0","0","0","Education","Haryana","India",FALSE
"147","RT @abpnewstv: This Haryana govt school has just one student and one teacher!  ","2018-07-21 08:50:10","TRUE","13","0","0","Education","Haryana","India",FALSE
"148"," ","2018-07-21 08:43:16","FALSE","0","0","0","Education","Haryana","India",TRUE
"149","RT @adityagoel123: but few colleges have taken this as an opportunity to save few bucks and have made mockery of the system. TITS, bhiwani,","2018-07-20 16:52:51","TRUE","4","0","-1","Education","Haryana","India",FALSE
"150","RT @adityagoel123: but few colleges have taken this as an opportunity to save few bucks and have made mockery of the system. TITS, bhiwani,","2018-07-20 15:35:32","TRUE","4","0","-1","Education","Haryana","India",TRUE
"151","RT @abpnewstv: This Haryana govt school has just one student and one teacher!  ","2018-07-20 14:59:59","TRUE","13","0","0","Education","Haryana","India",TRUE
"152","RT @abpnewstv: This Haryana govt school has just one student and one teacher!  ","2018-07-20 14:45:14","TRUE","13","0","0","Education","Haryana","India",TRUE
"153","RT @abpnewstv: This Haryana govt school has just one student and one teacher!  ","2018-07-20 14:30:51","TRUE","13","0","0","Education","Haryana","India",TRUE
"154","RT @abpnewstv: This Haryana govt school has just one student and one teacher!  ","2018-07-20 14:26:58","TRUE","13","0","0","Education","Haryana","India",TRUE
"155","RT @abpnewstv: This Haryana govt school has just one student and one teacher!  ","2018-07-20 13:55:25","TRUE","13","0","0","Education","Haryana","India",TRUE
"156","RT @abpnewstv: This Haryana govt school has just one student and one teacher!  ","2018-07-20 13:40:48","TRUE","13","0","0","Education","Haryana","India",TRUE
"157","RT @abpnewstv: This Haryana govt school has just one student and one teacher!  ","2018-07-20 13:37:31","TRUE","13","0","0","Education","Haryana","India",TRUE
"158","RT @abpnewstv: This Haryana govt school has just one student and one teacher!  ","2018-07-20 13:36:32","TRUE","13","0","0","Education","Haryana","India",TRUE
"159","RT @abpnewstv: This Haryana govt school has just one student and one teacher!  ","2018-07-20 13:32:34","TRUE","13","0","0","Education","Haryana","India",TRUE
"160","RT @abpnewstv: This Haryana govt school has just one student and one teacher!  ","2018-07-20 13:31:48","TRUE","13","0","0","Education","Haryana","India",TRUE
"161","RT @abpnewstv: This Haryana govt school has just one student and one teacher!  ","2018-07-20 13:31:25","TRUE","13","0","0","Education","Haryana","India",TRUE
"162","RT @abpnewstv: This Haryana govt school has just one student and one teacher!  ","2018-07-20 13:30:55","TRUE","13","0","0","Education","Haryana","India",TRUE
"163","RT @adityagoel123: but few colleges have taken this as an opportunity to save few bucks and have made mockery of the system. TITS, bhiwani,","2018-07-20 13:30:41","TRUE","4","0","-1","Education","Haryana","India",TRUE
"164","This Haryana govt school has just one student and one teacher!  ","2018-07-20 13:30:01","FALSE","13","70","0","Education","Haryana","India",FALSE
"165","but few colleges have taken this as an opportunity to save few bucks and have made mockery of the system. TITS, bhi  ","2018-07-20 13:29:09","FALSE","4","5","-1","Education","Haryana","India",FALSE
"166","RT @Chiranjeev_INC:                

In This Government Girls School In H","2018-07-20 13:23:56","TRUE","37","0","0","Education","Haryana","India",TRUE
"167","RT @abpnewstv: This Haryana govt school has just one student and one teacher!

 ","2018-07-20 10:10:25","TRUE","4","0","0","Education","Haryana","India",FALSE
