"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @TheRahulMehra: I hope our Sports Minister @Ra_THORe can persuade Haryana CM, which otherwise has one of the best sports policy in India","2018-07-28 19:32:40","TRUE","14","0","1","Employment","Haryana","India",FALSE
"2","RT @TheRahulMehra: I hope our Sports Minister @Ra_THORe can persuade Haryana CM, which otherwise has one of the best sports policy in India","2018-07-28 17:25:38","TRUE","14","0","1","Employment","Haryana","India",TRUE
"3","RT @TheRahulMehra: I hope our Sports Minister @Ra_THORe can persuade Haryana CM, which otherwise has one of the best sports policy in India","2018-07-28 17:11:38","TRUE","14","0","1","Employment","Haryana","India",TRUE
"4","RT @paduaboy57: @jeevakishore5 @RajRay026 @nomorehindi @sarang_bmohan @saileenas @South_Indians @GargaC @BanglaPokkho @ANNZnDIPZ @Truth_of_","2018-07-28 17:11:01","TRUE","1","0","0","Employment","Haryana","India",FALSE
"5","@virenderduhan82 Great Haryana police. Nice job","2018-07-28 17:04:09","FALSE","0","1","2","Employment","Haryana","India",FALSE
"6","@jeevakishore5 @RajRay026 @nomorehindi @sarang_bmohan @saileenas @South_Indians @GargaC @BanglaPokkho @ANNZnDIPZ  ","2018-07-28 16:59:26","FALSE","1","1","0","Employment","Haryana","India",FALSE
"7","RT @TheRahulMehra: I hope our Sports Minister @Ra_THORe can persuade Haryana CM, which otherwise has one of the best sports policy in India","2018-07-28 16:42:42","TRUE","14","0","1","Employment","Haryana","India",TRUE
"8","RT @TheRahulMehra: I hope our Sports Minister @Ra_THORe can persuade Haryana CM, which otherwise has one of the best sports policy in India","2018-07-28 16:14:35","TRUE","14","0","1","Employment","Haryana","India",TRUE
"9","RT @TheRahulMehra: I hope our Sports Minister @Ra_THORe can persuade Haryana CM, which otherwise has one of the best sports policy in India","2018-07-28 16:13:51","TRUE","14","0","1","Employment","Haryana","India",TRUE
"10","RT @TheRahulMehra: I hope our Sports Minister @Ra_THORe can persuade Haryana CM, which otherwise has one of the best sports policy in India","2018-07-28 15:54:50","TRUE","14","0","1","Employment","Haryana","India",TRUE
"11","RT @TheRahulMehra: I hope our Sports Minister @Ra_THORe can persuade Haryana CM, which otherwise has one of the best sports policy in India","2018-07-28 15:37:21","TRUE","14","0","1","Employment","Haryana","India",TRUE
"12","@ips_shrikant @cmohry @police_haryana @mlkhattar @propolicejjr Good job sir","2018-07-28 15:36:54","FALSE","0","0","1","Employment","Haryana","India",FALSE
"13","RT @TheRahulMehra: I hope our Sports Minister @Ra_THORe can persuade Haryana CM, which otherwise has one of the best sports policy in India","2018-07-28 15:16:45","TRUE","14","0","1","Employment","Haryana","India",TRUE
"14","RT @TheRahulMehra: I hope our Sports Minister @Ra_THORe can persuade Haryana CM, which otherwise has one of the best sports policy in India","2018-07-28 15:10:38","TRUE","14","0","1","Employment","Haryana","India",TRUE
"15","RT @TheRahulMehra: I hope our Sports Minister @Ra_THORe can persuade Haryana CM, which otherwise has one of the best sports policy in India","2018-07-28 14:59:43","TRUE","14","0","1","Employment","Haryana","India",TRUE
"16","RT @TheRahulMehra: I hope our Sports Minister @Ra_THORe can persuade Haryana CM, which otherwise has one of the best sports policy in India","2018-07-28 14:55:24","TRUE","14","0","1","Employment","Haryana","India",TRUE
"17","I hope our Sports Minister @Ra_THORe can persuade Haryana CM, which otherwise has one of the best sports policy in  ","2018-07-28 14:53:58","FALSE","14","31","1","Employment","Haryana","India",FALSE
"18","Analytics job evening round-up by FinStat

Data Analyst
Guest Houser - Gurgaon, Haryana - IN

*Bachelors degree  ","2018-07-28 14:30:13","FALSE","0","0","0","Employment","Haryana","India",FALSE
"19","RT @Nimbrania_amit: @cmohry @amrut_MoHUA @MoHUA_India @HardeepSPuri @PMOIndia @BJP4Haryana @PIB_India @MIB_India Congratulations.   Great t","2018-07-28 11:20:17","TRUE","1","0","2","Employment","Haryana","India",FALSE
"20","RT @FollowCII: From JOBLESS to getting a suitable JOB - Ajay Yadav from Haryana is thankful to CII-MCC for guiding him to choose the right","2018-07-28 11:07:02","TRUE","4","0","2","Employment","Haryana","India",FALSE
"21","[Job] Vice President Engineering | Company: GreyOrange | Location: Gurgaon HR Haryana India | Gurgaon Building  ","2018-07-28 11:03:04","FALSE","0","0","-1","Employment","Haryana","India",FALSE
"22","@cmohry @amrut_MoHUA @MoHUA_India @HardeepSPuri @PMOIndia @BJP4Haryana @PIB_India @MIB_India Congratulations.   Great to job by haryana govt","2018-07-28 10:33:14","FALSE","1","1","2","Employment","Haryana","India",FALSE
"23","Respected PM sir, you are doing a great job. But we are facing many problems due to irresponsible authorities. I am  ","2018-07-28 10:27:24","FALSE","0","0","-1","Employment","Haryana","India",FALSE
"24","@iMac_too Don't know what was so hurry give Post Retd job and also appointment son as Haryana legal team","2018-07-28 10:23:20","FALSE","0","0","0","Employment","Haryana","India",FALSE
"25","RT @manojxavi: Why the haryana government is allowing this man __ 
 to continue his job when he's charged with so man","2018-07-28 09:06:11","TRUE","15","0","0","Employment","Haryana","India",FALSE
"26","RT @mamta98257582: __ 
Why haryana government allow this man to continue his job when he is dishonest and he has a lo","2018-07-28 08:04:35","TRUE","84","0","-1","Employment","Haryana","India",FALSE
"27","RT @mamta98257582: __ 
Why haryana government allow this man to continue his job when he is dishonest and he has a lo","2018-07-28 07:54:28","TRUE","84","0","-1","Employment","Haryana","India",TRUE
"28","Associate/Associate Consultant- SAM Simple Managed Services: Software One - Gurgaon, Haryana - Bangalore, Karnataka  ","2018-07-28 06:47:08","FALSE","0","0","0","Employment","Haryana","India",FALSE
"29","Associate/Associate Consultant (SAM Technical- Flexera): Software One - Gurgaon, Haryana - Bangalore, Karnataka - P  ","2018-07-28 06:47:07","FALSE","0","0","0","Employment","Haryana","India",FALSE
"30","Virtual Sales Account Manager - Government &amp; Defence Vertica: Cisco Systems - Gurgaon, Haryana - We serve our custo  ","2018-07-28 06:35:06","FALSE","0","0","0","Employment","Haryana","India",FALSE
"31","Head - Contract Management(Corporate/ Head Office): Apco Infratech - Gurgaon, Haryana - Be fully conversant with va  ","2018-07-28 06:35:06","FALSE","0","0","0","Employment","Haryana","India",FALSE
"32","Research Scientist: National Brain Research Centre - Gurgaon, Haryana - NBRC Jobs 2018: 01 Research Scientist Vacan  ","2018-07-28 06:35:05","FALSE","0","0","0","Employment","Haryana","India",FALSE
"33","Amdocs Clarify (Smart/Thin Client) Software Engineers: techtosuit - Gurgaon, Haryana - Job Description Dear Candida  ","2018-07-28 06:35:05","FALSE","0","0","0","Employment","Haryana","India",FALSE
"34","Services Delivery Manager: Microsoft - Gurgaon, Haryana - Excellent at prioritization, time management, excellent f  ","2018-07-28 06:35:05","FALSE","0","0","2","Employment","Haryana","India",FALSE
"35","BIM Designer - HVAC, Global Delivery Center, Gurgaon: AECOM - Gurgaon, Haryana - Further growth is underway to meet  ","2018-07-28 06:15:10","FALSE","0","0","0","Employment","Haryana","India",FALSE
"36","Business Development Manager - Corporate Sales: Mindspecs - Gurgaon, Haryana - Capture and share customer feedback  ","2018-07-28 06:15:10","FALSE","0","0","0","Employment","Haryana","India",FALSE
"37","Sales and Marketing (MBA) gurgaon or ncr location read all mail: Vinod Placement Service - Gurgaon, Haryana - JOB P  ","2018-07-28 06:15:09","FALSE","0","0","0","Employment","Haryana","India",FALSE
"38","Research Analyst I: IHS Markit - Gurgaon, Haryana - Department overview: The Markit Corporate Actions service is a  ","2018-07-28 06:15:08","FALSE","0","0","0","Employment","Haryana","India",FALSE
"39","@cmohry @MunCorpGurugram @DC_Gurugram  @nitin_gadkari  flooding on golf course extension road between Vati  ","2018-07-28 05:07:40","FALSE","0","0","0","Employment","Haryana","India",FALSE
"40","This episode of the good Seine,,,, zindagi ki MeHaK,,, serial,,,, Good job  ","2018-07-28 04:15:44","FALSE","0","0","2","Employment","Haryana","India",FALSE
"41","RT @manojxavi: Why the haryana government is allowing this man __ 
 to continue his job when he's charged with so man","2018-07-28 03:03:11","TRUE","15","0","0","Employment","Haryana","India",TRUE
"42"," ","2018-07-27 19:00:56","FALSE","0","0","0","Employment","Haryana","India",FALSE
"43","RT @HimanshuAdlakh6: __ 
Why haryana government allow this man to continue his job when he is dishonest and he has a","2018-07-27 18:08:04","TRUE","2","0","-1","Employment","Haryana","India",FALSE
"44","RT @manojxavi: Why the haryana government is allowing this man __ 
 to continue his job when he's charged with so man","2018-07-27 18:06:26","TRUE","15","0","0","Employment","Haryana","India",TRUE
"45","RT @HimanshuAdlakh6: __ 
Why haryana government allow this man to continue his job when he is dishonest and he has a","2018-07-27 17:09:35","TRUE","2","0","-1","Employment","Haryana","India",TRUE
"46","__ 
Why haryana government allow this man to continue his job when he is dishonest and he has  ","2018-07-27 17:05:28","FALSE","2","2","-1","Employment","Haryana","India",FALSE
"47","@narendramodi govt Job for dependent family member after death of employee during service Haryana plz accept my req  ","2018-07-27 16:00:30","FALSE","0","0","-1","Employment","Haryana","India",FALSE
"48","@CPFaridabad @FTPfbd @police_haryana @smartcityfbd @police_kaithal @igrohtak @gurgaonpolice I agree they have done  ","2018-07-27 15:51:37","FALSE","0","2","0","Employment","Haryana","India",FALSE
"49","RT @mamta98257582: __ 
Why haryana government allow this man to continue his job when he is dishonest and he has a lo","2018-07-27 15:01:59","TRUE","84","0","-1","Employment","Haryana","India",TRUE
"50","RT @manojxavi: Why the haryana government is allowing this man __ 
 to continue his job when he's charged with so man","2018-07-27 13:57:26","TRUE","15","0","0","Employment","Haryana","India",TRUE
"51","RT @Bishnu_Parida: Seventy (70) youth from Jharkhand (Saraikela, Giridih &amp; Bokaro) got job placement in Haryana after completing 6 months t","2018-07-27 13:28:59","TRUE","2","0","0","Employment","Haryana","India",FALSE
"52","NHM Haryana Recruitment - 55 Posts
Job Location - Haryana
Name of Posts - DPM &amp; Other Posts
Last Date For Submissio  ","2018-07-27 13:11:20","FALSE","0","0","0","Employment","Haryana","India",FALSE
"53","@cajobportal.com CA / CMA / MBA with 1-2 yrs of PQE as a Management Trainee at Haryana  ","2018-07-27 12:50:43","FALSE","0","0","0","Employment","Haryana","India",FALSE
"54","@cmohry @imvaishalisingh Great sir.. your performance outstanding.. salute you hundred times... good job. @PMOIndia  ","2018-07-27 12:46:57","FALSE","0","0","4","Employment","Haryana","India",FALSE
"55","RT @Bishnu_Parida: Seventy (70) youth from Jharkhand (Saraikela, Giridih &amp; Bokaro) got job placement in Haryana after completing 6 months t","2018-07-27 12:24:36","TRUE","2","0","0","Employment","Haryana","India",TRUE
"56","Job recruitment Faculty Vacancy in Haryana Vishwakarma Skill University 2018  ","2018-07-27 12:19:18","FALSE","0","0","1","Employment","Haryana","India",FALSE
"57","Seventy (70) youth from Jharkhand (Saraikela, Giridih &amp; Bokaro) got job placement in Haryana after completing 6 mon  ","2018-07-27 11:35:57","FALSE","2","13","0","Employment","Haryana","India",FALSE
"58","RT @mamta98257582: __ 
Why haryana government allow this man to continue his job when he is dishonest and he has a lo","2018-07-27 11:10:26","TRUE","84","0","-1","Employment","Haryana","India",TRUE
"59","Job frauds duped people in Haryana too..  ","2018-07-27 10:29:20","FALSE","0","0","0","Employment","Haryana","India",FALSE
"60","Finance Associate  Reinsurance job at XL Group - Gurgaon, Haryana  ","2018-07-27 10:15:05","FALSE","0","0","0","Employment","Haryana","India",FALSE
"61","RT @mamta98257582: __ 
Why haryana government allow this man to continue his job when he is dishonest and he has a lo","2018-07-27 10:03:28","TRUE","84","0","-1","Employment","Haryana","India",TRUE
"62","RT @adrijabose: The story of Haryana's brides feels eerily similar to Handmaid's Tale. ""Their only job is to produce children,"" Rishi Kant","2018-07-27 09:57:14","TRUE","4","0","0","Employment","Haryana","India",FALSE
"63","RT @mamta98257582: __ 
Why haryana government allow this man to continue his job when he is dishonest and he has a lo","2018-07-27 09:24:36","TRUE","84","0","-1","Employment","Haryana","India",TRUE
"64","Commercial &amp; Logistics Executive in Gurgaon, Haryana, India: drafting, executive, supplier, commerce  ","2018-07-27 08:48:37","FALSE","0","1","0","Employment","Haryana","India",FALSE
"65","RT @adrijabose: The story of Haryana's brides feels eerily similar to Handmaid's Tale. ""Their only job is to produce children,"" Rishi Kant","2018-07-27 08:20:30","TRUE","4","0","0","Employment","Haryana","India",TRUE
"66","Job frauds duped people in Haryana too  ","2018-07-27 08:10:33","FALSE","0","0","0","Employment","Haryana","India",FALSE
"67","RT @merinews: When a brilliant IAS officer Mr. Tayal quit his job after being fed up with a semi-literate Haryana MLA

One day a semi-liter","2018-07-27 07:57:57","TRUE","3","0","1","Employment","Haryana","India",FALSE
"68","RT @adrijabose: The story of Haryana's brides feels eerily similar to Handmaid's Tale. ""Their only job is to produce children,"" Rishi Kant","2018-07-27 07:43:24","TRUE","4","0","0","Employment","Haryana","India",TRUE
"69","RT @adrijabose: The story of Haryana's brides feels eerily similar to Handmaid's Tale. ""Their only job is to produce children,"" Rishi Kant","2018-07-27 07:39:16","TRUE","4","0","0","Employment","Haryana","India",TRUE
"70","The story of Haryana's brides feels eerily similar to Handmaid's Tale. ""Their only job is to produce children,"" Ris  ","2018-07-27 07:38:43","FALSE","4","1","0","Employment","Haryana","India",FALSE
"71","Associate Consultant- Sharepoint Online: Software One - Gurgaon, Haryana - Please enable cookies in your browser to  ","2018-07-27 06:11:08","FALSE","0","0","0","Employment","Haryana","India",FALSE
"72","ITSM Landscape Governance: Bombardier - Gurgaon, Haryana - ITSM Landscape Governance-TGIS-INGN01782113 Description  ","2018-07-27 06:11:08","FALSE","0","0","0","Employment","Haryana","India",FALSE
"73","iti Diploma engineer Maruti Suzuki: Gurgaon, Haryana - Haridwar, Uttarakhand - Company name :- Maruti Suzuki India  ","2018-07-27 06:11:08","FALSE","0","0","0","Employment","Haryana","India",FALSE
"74","Senior Analyst,Credit Analytics: Rbs India Development Centre - Gurgaon, Haryana - With colleagues across 5 main st  ","2018-07-27 06:11:07","FALSE","0","0","0","Employment","Haryana","India",FALSE
"75","Recruiter: Channelplay - Gurgaon, Haryana - We've grown explosively over the last 6 years of our existence, and cur  ","2018-07-27 06:11:07","FALSE","0","0","0","Employment","Haryana","India",FALSE
"76","Manager OSP Design Gurgaon: techtosuit - Gurgaon, Haryana - Job Description Complete OSP Design knowledge, Drafting  ","2018-07-27 06:11:05","FALSE","0","0","0","Employment","Haryana","India",FALSE
"77","Research Scientist - Validation and Method Transfer: Sentiss - Gurgaon, Haryana - Knowledge of Instrumentation like  ","2018-07-27 05:55:05","FALSE","0","0","1","Employment","Haryana","India",FALSE
"78","Maruti Suzuki HIring B,TECH DIPLOMA all job: Gurgaon, Haryana - Haridwar, Uttarakhand - Company name :- Maruti Suzu  ","2018-07-27 05:55:05","FALSE","0","0","0","Employment","Haryana","India",FALSE
"79","Sales Manager || Life Insurance || Agency || Noida,Faridabad || Urgent: Mount Talent Consulting - Faridabad, Haryan  ","2018-07-27 05:55:04","FALSE","0","0","0","Employment","Haryana","India",FALSE
"80","RT @Olacabs: We are proud to partner with the Govt. of Haryana to create 35,000 job opportunities in the State, further strengthening the g","2018-07-27 05:20:50","TRUE","25","0","1","Employment","Haryana","India",FALSE
"81","[Job] Senior Environmental Consultant. | Company: AECOM | Location: Gurgaon HR Haryana India | Gurgaon  ","2018-07-27 05:12:47","FALSE","0","0","0","Employment","Haryana","India",FALSE
"82","RT @AshokKhemka_IAS: @Ra_THORe Dignity is in providing such sportspersons with a government job. Haryana has framed special rules to provid","2018-07-27 04:59:17","TRUE","40","0","1","Employment","Haryana","India",FALSE
"83","RT @mamta98257582: __ 
Why haryana government allow this man to continue his job when he is dishonest and he has a lo","2018-07-27 04:50:52","TRUE","84","0","-1","Employment","Haryana","India",TRUE
"84","RT @mamta98257582: __ 
Why haryana government allow this man to continue his job when he is dishonest and he has a lo","2018-07-27 03:16:11","TRUE","84","0","-1","Employment","Haryana","India",TRUE
"85","Test Analyst/Sr Test Analyst - Data Testing: Fidelity International - Gurgaon, Haryana - Please note you are only r  ","2018-07-26 22:45:43","FALSE","0","0","1","Employment","Haryana","India",FALSE
"86","275 Business Development Manager - Gurgaon: Morpheus Human Consulting Pvt Ltd - Gurgaon, Haryana - A Leading chain  ","2018-07-26 22:45:43","FALSE","0","0","1","Employment","Haryana","India",FALSE
"87","[Job] Tech Lead, Optical Network Engineering 1 | Company: Colt Technology Services | Location: Gurgaon HR Haryana I  ","2018-07-26 18:32:52","FALSE","0","0","1","Employment","Haryana","India",FALSE
"88","[Job] Lead - Solution Architect | Company: Bharti Airtel | Location: Gurgaon HR Haryana India | Gurgaon  ","2018-07-26 18:32:50","FALSE","0","0","1","Employment","Haryana","India",FALSE
"89","RT @mamta98257582: __ 
Why haryana government allow this man to continue his job when he is dishonest and he has a lo","2018-07-26 16:30:51","TRUE","84","0","-1","Employment","Haryana","India",TRUE
"90","RT @mamta98257582: __ 
Why haryana government allow this man to continue his job when he is dishonest and he has a lo","2018-07-26 16:16:21","TRUE","84","0","-1","Employment","Haryana","India",TRUE
"91","@OfficeOfRKSingh  In Shankar Vihar, Palam Vihar, Gurgaon 122017, Haryana,
There is always an issue of electricity.  ","2018-07-26 16:14:04","FALSE","0","0","-1","Employment","Haryana","India",FALSE
"92","DHBVN @mlkhattar @MinOfPower In Shankar Vihar, Palam Vihar, Gurgaon 122017, Haryana,
There is always an issue of e  ","2018-07-26 16:12:55","FALSE","0","0","-1","Employment","Haryana","India",FALSE
