"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @ashu3page: As water from haryana proceeds to delhi, Quick Response Teams (QRTs) r activated for any emergency. CM Kejriwal ordered supp","2018-07-28 19:43:17","TRUE","46","0","-1","Food","Haryana","India",FALSE
"2","RT @ashu3page: As water from haryana proceeds to delhi, Quick Response Teams (QRTs) r activated for any emergency. CM Kejriwal ordered supp","2018-07-28 18:50:18","TRUE","46","0","-1","Food","Haryana","India",TRUE
"3","RT @ashu3page: As water from haryana proceeds to delhi, Quick Response Teams (QRTs) r activated for any emergency. CM Kejriwal ordered supp","2018-07-28 18:38:14","TRUE","46","0","-1","Food","Haryana","India",TRUE
"4","RT @ashu3page: As water from haryana proceeds to delhi, Quick Response Teams (QRTs) r activated for any emergency. CM Kejriwal ordered supp","2018-07-28 18:36:43","TRUE","46","0","-1","Food","Haryana","India",TRUE
"5","RT @ashu3page: As water from haryana proceeds to delhi, Quick Response Teams (QRTs) r activated for any emergency. CM Kejriwal ordered supp","2018-07-28 18:33:45","TRUE","46","0","-1","Food","Haryana","India",TRUE
"6","RT @ashu3page: As water from haryana proceeds to delhi, Quick Response Teams (QRTs) r activated for any emergency. CM Kejriwal ordered supp","2018-07-28 18:24:07","TRUE","46","0","-1","Food","Haryana","India",TRUE
"7","RT @ashu3page: As water from haryana proceeds to delhi, Quick Response Teams (QRTs) r activated for any emergency. CM Kejriwal ordered supp","2018-07-28 18:05:54","TRUE","46","0","-1","Food","Haryana","India",TRUE
"8","RT @ashu3page: As water from haryana proceeds to delhi, Quick Response Teams (QRTs) r activated for any emergency. CM Kejriwal ordered supp","2018-07-28 17:12:56","TRUE","46","0","-1","Food","Haryana","India",TRUE
"9","RT @ashu3page: As water from haryana proceeds to delhi, Quick Response Teams (QRTs) r activated for any emergency. CM Kejriwal ordered supp","2018-07-28 16:38:38","TRUE","46","0","-1","Food","Haryana","India",TRUE
"10","RT @ashu3page: As water from haryana proceeds to delhi, Quick Response Teams (QRTs) r activated for any emergency. CM Kejriwal ordered supp","2018-07-28 16:34:05","TRUE","46","0","-1","Food","Haryana","India",TRUE
"11","RT @ashu3page: As water from haryana proceeds to delhi, Quick Response Teams (QRTs) r activated for any emergency. CM Kejriwal ordered supp","2018-07-28 16:33:30","TRUE","46","0","-1","Food","Haryana","India",TRUE
"12","RT @ashu3page: As water from haryana proceeds to delhi, Quick Response Teams (QRTs) r activated for any emergency. CM Kejriwal ordered supp","2018-07-28 16:25:58","TRUE","46","0","-1","Food","Haryana","India",TRUE
