"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@vineethvincent @Uber @Uber_Support Vineeth bhai, I got a call today from UBER. Things that I have discussed 

Issu  ","2018-07-28 07:43:53","FALSE","0","0","0","Transportation","Haryana","India",FALSE
"2","I travelled from Karnal to New Delhi today. I took Haryana roadways &amp; Delhi metro for my journey till airport. I go  ","2018-07-28 06:36:14","FALSE","0","5","0","Transportation","Haryana","India",FALSE
"3","RT @ZeeNewsHindi:         @AamAadmiParty   ,     

 ","2018-07-27 04:07:58","TRUE","505","0","0","Transportation","Haryana","India",FALSE
"4","RT @ZeeNewsHindi:         @AamAadmiParty   ,     

 ","2018-07-26 11:39:19","TRUE","505","0","0","Transportation","Haryana","India",TRUE
"5","RT @MoCA_GoI: Hon. MoSCA Sh. @jayantsinha was questioned in the Lok Sabha regarding the progress made so far about the construction of an a","2018-07-26 05:59:16","TRUE","1","0","1","Transportation","Haryana","India",FALSE
"6","RT @ZeeNewsHindi:         @AamAadmiParty   ,     

 ","2018-07-25 08:02:34","TRUE","505","0","0","Transportation","Haryana","India",TRUE
"7","RT @ZeeNewsHindi:         @AamAadmiParty   ,     

 ","2018-07-25 07:39:17","TRUE","505","0","0","Transportation","Haryana","India",TRUE
"8","RT @ZeeNewsHindi:         @AamAadmiParty   ,     

 ","2018-07-25 07:17:00","TRUE","505","0","0","Transportation","Haryana","India",TRUE
"9","RT @ZeeNewsHindi:         @AamAadmiParty   ,     

 ","2018-07-25 06:51:55","TRUE","505","0","0","Transportation","Haryana","India",TRUE
"10","RT @kundanpathakk:   2 AAP   
    , 
   
     
 ","2018-07-25 05:29:19","TRUE","21","0","0","Transportation","Haryana","India",FALSE
"11","RT @ZeeNewsHindi:         @AamAadmiParty   ,     

 ","2018-07-25 02:58:19","TRUE","505","0","0","Transportation","Haryana","India",TRUE
"12","RT @ZeeNewsHindi:         @AamAadmiParty   ,     

 ","2018-07-25 02:48:51","TRUE","505","0","0","Transportation","Haryana","India",TRUE
"13","RT @ZeeNewsHindi:         @AamAadmiParty   ,     

 ","2018-07-25 02:02:57","TRUE","505","0","0","Transportation","Haryana","India",TRUE
"14","RT @ZeeNewsHindi:         @AamAadmiParty   ,     

 ","2018-07-25 01:55:46","TRUE","505","0","0","Transportation","Haryana","India",TRUE
