"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @CPFaridabad: Traffic Inspector Dharmbir &amp; his staff nabed a man carrying 19 cartoon of  illegal liquor  English wine marka Royal sta","2018-07-28 16:41:36","TRUE","4","0","-1","Transportation","Haryana","India",FALSE
"2","@nitin_gadkari Sir Always poor sanitation conditions in all toilets at GMR toll plaza at Dappar, Ambala-Chandirh st  ","2018-07-28 11:46:25","FALSE","0","0","-2","Transportation","Haryana","India",FALSE
"3","@WRSAP That's a very good step by the @police_haryana @IGtraffic_hry . These policemen should be given body cameras  ","2018-07-28 07:59:11","FALSE","0","0","1","Transportation","Haryana","India",FALSE
"4","RT @gurgaonpolice: @isunnydevas @0001sudarshan @TweetsOfMahadev @cmohry @mlkhattar @IGtraffic_hry @police_haryana Sir, Thanks for your inpu","2018-07-28 06:18:59","TRUE","1","0","0","Transportation","Haryana","India",FALSE
"5","@isunnydevas @0001sudarshan @TweetsOfMahadev @cmohry @mlkhattar @IGtraffic_hry @police_haryana Sir, Thanks for your  ","2018-07-28 05:11:03","FALSE","1","2","0","Transportation","Haryana","India",FALSE
"6","Every district in Haryana to get 100 traffic home guards: DGP  ","2018-07-28 01:59:45","FALSE","0","1","0","Transportation","Haryana","India",FALSE
"7","I liked a @YouTube video  ","2018-07-27 11:40:16","FALSE","0","0","1","Transportation","Haryana","India",FALSE
"8","100 ""Yatayaat Prahari"" in each Haryana dist to manage Traffic : DGP  ","2018-07-27 11:38:09","FALSE","0","0","0","Transportation","Haryana","India",FALSE
"9","@CPFaridabad @FTPfbd @police_haryana @smartcityfbd @police_kaithal @igrohtak @gurgaonpolice You shud instead be bla  ","2018-07-27 10:46:54","FALSE","0","0","0","Transportation","Haryana","India",FALSE
"10"," :           ,    
 ","2018-07-27 08:55:10","FALSE","0","2","0","Transportation","Haryana","India",FALSE
"11","          ,  -    
  ","2018-07-27 06:40:13","FALSE","0","0","0","Transportation","Haryana","India",FALSE
"12"," ","2018-07-27 06:33:06","FALSE","0","0","0","Transportation","Haryana","India",FALSE
"13","RT @ZeeNewsHindi:     -NCR  ,       
DelhiRains 

 ","2018-07-27 06:29:10","TRUE","11","0","0","Transportation","Haryana","India",FALSE
"14","RT @ZeeNewsHindi:     -NCR  ,       
DelhiRains 

 ","2018-07-27 04:53:51","TRUE","11","0","0","Transportation","Haryana","India",TRUE
"15","RT @ZeeNewsHindi:     -NCR  ,       
DelhiRains 

 ","2018-07-27 04:46:37","TRUE","11","0","0","Transportation","Haryana","India",TRUE
