"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","News Primetime  Time Aadhaar Leak WorldNews India Trending WATCH Karnataka rain Delhi DelhiRains  ","2018-07-28 19:56:00","FALSE","0","0","-1","Climate","Karnataka","India",FALSE
"2","RT @dp_satish: 37 reservoirs in Karnataka full in a record time. A first in many many years. Rain gods have been extremely kind to us. Mo","2018-07-28 19:15:30","TRUE","45","0","0","Climate","Karnataka","India",FALSE
"3","RT @dp_satish: 37 reservoirs in Karnataka full in a record time. A first in many many years. Rain gods have been extremely kind to us. Mo","2018-07-28 17:20:59","TRUE","45","0","0","Climate","Karnataka","India",TRUE
"4","RT @dp_satish: 37 reservoirs in Karnataka full in a record time. A first in many many years. Rain gods have been extremely kind to us. Mo","2018-07-28 16:25:28","TRUE","45","0","0","Climate","Karnataka","India",TRUE
"5","RT @dp_satish: 37 reservoirs in Karnataka full in a record time. A first in many many years. Rain gods have been extremely kind to us. Mo","2018-07-28 15:46:22","TRUE","45","0","0","Climate","Karnataka","India",TRUE
"6","RT @dp_satish: 37 reservoirs in Karnataka full in a record time. A first in many many years. Rain gods have been extremely kind to us. Mo","2018-07-28 15:33:06","TRUE","45","0","0","Climate","Karnataka","India",TRUE
"7","RT @dp_satish: 37 reservoirs in Karnataka full in a record time. A first in many many years. Rain gods have been extremely kind to us. Mo","2018-07-28 15:27:00","TRUE","45","0","0","Climate","Karnataka","India",TRUE
"8","RT @dp_satish: 37 reservoirs in Karnataka full in a record time. A first in many many years. Rain gods have been extremely kind to us. Mo","2018-07-28 15:18:10","TRUE","45","0","0","Climate","Karnataka","India",TRUE
"9","RT @dp_satish: 37 reservoirs in Karnataka full in a record time. A first in many many years. Rain gods have been extremely kind to us. Mo","2018-07-28 15:17:17","TRUE","45","0","0","Climate","Karnataka","India",TRUE
"10","RT @dp_satish: 37 reservoirs in Karnataka full in a record time. A first in many many years. Rain gods have been extremely kind to us. Mo","2018-07-28 15:13:09","TRUE","45","0","0","Climate","Karnataka","India",TRUE
"11","heavy rain at isolated places very likely over East MadhyaPradesh, Bihar , Sub Himalayan WestBengal Sikkim,  ","2018-07-28 15:07:13","FALSE","0","0","-1","Climate","Karnataka","India",FALSE
"12","RT @dp_satish: 37 reservoirs in Karnataka full in a record time. A first in many many years. Rain gods have been extremely kind to us. Mo","2018-07-28 15:05:28","TRUE","45","0","0","Climate","Karnataka","India",TRUE
"13","RT @dp_satish: 37 reservoirs in Karnataka full in a record time. A first in many many years. Rain gods have been extremely kind to us. Mo","2018-07-28 14:18:17","TRUE","45","0","0","Climate","Karnataka","India",TRUE
"14","RT @dp_satish: 37 reservoirs in Karnataka full in a record time. A first in many many years. Rain gods have been extremely kind to us. Mo","2018-07-28 14:16:29","TRUE","45","0","0","Climate","Karnataka","India",TRUE
"15","RT @Protect_Wldlife: Due to heavy rain on Monday a  holiday was declared for the children this school BUT......

.....it didn't stop a herd","2018-07-28 12:55:27","TRUE","68","0","0","Climate","Karnataka","India",FALSE
"16","RT @dp_satish: 37 reservoirs in Karnataka full in a record time. A first in many many years. Rain gods have been extremely kind to us. Mo","2018-07-28 12:42:09","TRUE","45","0","0","Climate","Karnataka","India",TRUE
"17","RT @dp_satish: 37 reservoirs in Karnataka full in a record time. A first in many many years. Rain gods have been extremely kind to us. Mo","2018-07-28 12:25:47","TRUE","45","0","0","Climate","Karnataka","India",TRUE
"18","@reachumayun @AnandaVikatan @CMOTamilNadu @OfficeOfOPS Tamil Nadu government should build more check dams to preven  ","2018-07-28 11:52:38","FALSE","0","0","0","Climate","Karnataka","India",FALSE
