"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @SkymetWeather: This is how Karnataka has performed this Monsoon season:  ","2018-07-28 11:38:17","TRUE","1","0","0","Climate","Karnataka","India",FALSE
"2","This is how Karnataka has performed this Monsoon season:  ","2018-07-28 11:00:34","FALSE","1","3","0","Climate","Karnataka","India",FALSE
"3","RT @WeatherAmeric: Weather Belgaum India: 23C; Light rain shower; Wind: 31 Km/h;   ","2018-07-27 23:25:12","TRUE","1","0","0","Climate","Karnataka","India",FALSE
"4","RT @manukrsharma: StarvationDeaths starvation The govt failure to launch subsidised food stalls like promised by @AamAadmiParty &amp; launche","2018-07-27 07:53:40","TRUE","1","0","-1","Climate","Karnataka","India",FALSE
"5","Honey Bee May Get First State Insect Tag | The Weather Channel  ","2018-07-27 05:46:26","FALSE","0","0","0","Climate","Karnataka","India",FALSE
"6","RT @KEC_Intl: Yet another ahead of schedule completion; KEC commissions the 220 kV Narendra-Haveri Transmission Line and two 220 kV AIS Ter","2018-07-27 00:36:58","TRUE","8","0","0","Climate","Karnataka","India",FALSE
"7","Weather Belgaum India: 23C; Light rain shower; Wind: 31 Km/h;   ","2018-07-26 14:26:08","FALSE","1","0","0","Climate","Karnataka","India",FALSE
"8","Weather Belgaum India: 23C; Light rain shower; Wind: 31 Km/h;   ","2018-07-26 14:21:45","FALSE","0","0","0","Climate","Karnataka","India",TRUE
"9","Weather Belgaum India: 23C; Light rain shower; Wind: 31 Km/h;   ","2018-07-26 14:21:14","FALSE","0","0","0","Climate","Karnataka","India",TRUE
"10","Weather Belgaum India: 23C; Light rain shower; Wind: 31 Km/h;   ","2018-07-26 14:13:31","FALSE","0","0","0","Climate","Karnataka","India",TRUE
"11","RT @KEC_Intl: Yet another ahead of schedule completion; KEC commissions the 220 kV Narendra-Haveri Transmission Line and two 220 kV AIS Ter","2018-07-26 13:55:53","TRUE","8","0","0","Climate","Karnataka","India",TRUE
"12","RT @KEC_Intl: Yet another ahead of schedule completion; KEC commissions the 220 kV Narendra-Haveri Transmission Line and two 220 kV AIS Ter","2018-07-26 13:36:39","TRUE","8","0","0","Climate","Karnataka","India",TRUE
"13","RT @KEC_Intl: Yet another ahead of schedule completion; KEC commissions the 220 kV Narendra-Haveri Transmission Line and two 220 kV AIS Ter","2018-07-26 12:13:28","TRUE","8","0","0","Climate","Karnataka","India",TRUE
"14","RT @KEC_Intl: Yet another ahead of schedule completion; KEC commissions the 220 kV Narendra-Haveri Transmission Line and two 220 kV AIS Ter","2018-07-26 12:08:44","TRUE","8","0","0","Climate","Karnataka","India",TRUE
"15","Yet another ahead of schedule completion; KEC commissions the 220 kV Narendra-Haveri Transmission Line and two 220  ","2018-07-26 12:04:41","FALSE","8","38","0","Climate","Karnataka","India",FALSE
"16","RT @weatherindia: After declaring the Southern Wing Butterfly as the state butterfly in 2016, Karnataka gives its bees a reason to rejoice.","2018-07-26 08:02:37","TRUE","1","0","1","Climate","Karnataka","India",FALSE
"17","StarvationDeaths starvation The govt failure to launch subsidised food stalls like promised by @AamAadmiParty &amp; l  ","2018-07-26 07:38:19","FALSE","1","3","-1","Climate","Karnataka","India",FALSE
"18","After declaring the Southern Wing Butterfly as the state butterfly in 2016, Karnataka gives its bees a reason to re  ","2018-07-26 07:04:10","FALSE","1","2","0","Climate","Karnataka","India",FALSE
"19","Thunderstorm Rain update - Next 24 hrs: Karnataka: Likely over UttaraKannada Udipi Shimoga DakshinaKannada  ","2018-07-26 06:25:49","FALSE","0","0","0","Climate","Karnataka","India",FALSE
"20","RT @SkymetWeather: Monsoon will become weak over the entire WestCoast for at least next 2 days:  ","2018-07-25 11:16:44","TRUE","2","0","-1","Climate","Karnataka","India",FALSE
"21","RT @SkymetWeather: Monsoon will become weak over the entire WestCoast for at least next 2 days:  ","2018-07-25 11:05:02","TRUE","2","0","-1","Climate","Karnataka","India",TRUE
"22","Monsoon will become weak over the entire WestCoast for at least next 2 days:  ","2018-07-25 11:00:24","FALSE","2","7","-1","Climate","Karnataka","India",FALSE
"23","@BngWeather i think its time tht Bengaluru and Kolar get clubbed with Rayalaseema in weather readings. South Inter  ","2018-07-25 06:49:26","FALSE","0","0","0","Climate","Karnataka","India",FALSE
