"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @jainajgd: Inaugurated a medical camp at Indwadi,Karnataka organised by Sri Sri College of Ayurvedic Sciences &amp; Research. 40 doctors &amp; m","2018-07-28 19:43:17","TRUE","19","0","0","Education","Karnataka","India",FALSE
"2","RT @jainajgd: Inaugurated a medical camp at Indwadi,Karnataka organised by Sri Sri College of Ayurvedic Sciences &amp; Research. 40 doctors &amp; m","2018-07-28 18:54:52","TRUE","19","0","0","Education","Karnataka","India",TRUE
"3","RT @GuruprasadGudi: The apathy towards the existence of North Karnataka starts young and nurtures into political culture in Bangalore. I ha","2018-07-28 18:18:01","TRUE","7","0","-1","Education","Karnataka","India",FALSE
"4","RT @SaffronKerala: Who runs the infamous @swamv39 handle? aka Susu Swamy? 
It is Mohammed Zubair 
Sect: Sunni(Sheikh)
DOB: 29th Dec 1982
Co","2018-07-28 17:31:29","TRUE","2410","0","-1","Education","Karnataka","India",FALSE
"5","RT @jainajgd: Inaugurated a medical camp at Indwadi,Karnataka organised by Sri Sri College of Ayurvedic Sciences &amp; Research. 40 doctors &amp; m","2018-07-28 16:47:25","TRUE","19","0","0","Education","Karnataka","India",TRUE
"6","RT @jainajgd: Inaugurated a medical camp at Indwadi,Karnataka organised by Sri Sri College of Ayurvedic Sciences &amp; Research. 40 doctors &amp; m","2018-07-28 15:53:44","TRUE","19","0","0","Education","Karnataka","India",TRUE
"7","RT @drchand389: Karnataka state gets 150 more mbbs seats, Koppal institute of medical sciences . It's a government college at koppal. @just","2018-07-28 15:39:12","TRUE","5","0","0","Education","Karnataka","India",FALSE
"8","Plan na jutro to 40km od 5:30 (mp3: Shining(Nor), Death Grips, Lamb of God), potem bd si zawija na tydzie. Pil  ","2018-07-28 13:28:24","FALSE","0","0","-1","Education","Karnataka","India",FALSE
"9","In Bengaluru minor college girl sitting in the park threatened by cabbie driver; posing as Police, abducted n sex  ","2018-07-28 12:43:04","FALSE","0","0","0","Education","Karnataka","India",FALSE
"10","RT @jainajgd: Inaugurated a medical camp at Indwadi,Karnataka organised by Sri Sri College of Ayurvedic Sciences &amp; Research. 40 doctors &amp; m","2018-07-28 12:34:33","TRUE","19","0","0","Education","Karnataka","India",TRUE
