"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @a_srinidhi: @hamsanandi @NkBlr In Karnataka development and industries is was mostly centred in Bengaluru, whether employment or educat","2018-07-28 18:36:05","TRUE","1","0","0","Employment","Karnataka","India",FALSE
"2","@hamsanandi @NkBlr In Karnataka development and industries is was mostly centred in Bengaluru, whether employment o  ","2018-07-28 18:30:59","FALSE","1","2","0","Employment","Karnataka","India",FALSE
"3","Outsiders are not to blame for Karnatakas employmentproblems  ","2018-07-28 15:38:05","FALSE","0","0","-1","Employment","Karnataka","India",FALSE
"4","@ganeshchetan First build trust with north karnataka people simply blaming wont solve the issue.. Sitting in bangal  ","2018-07-28 12:15:53","FALSE","0","0","0","Employment","Karnataka","India",FALSE
"5","@thekjgeorge @oppomobileindia @investkarnataka @INCIndia @INCKarnataka @CMofKarnataka @KarnatakaVarthe @ITBTGoK  ","2018-07-28 05:54:17","FALSE","0","0","0","Employment","Karnataka","India",FALSE
"6","@INCKarnataka @sanjayuvacha @narendramodi @dineshgrao @RahulGandhi @INCIndia Please remember to highlight, transfer  ","2018-07-27 12:48:41","FALSE","0","0","0","Employment","Karnataka","India",FALSE
"7","RT @srinivasiyc: India has had enough! Modi govt cannot provide safety for women &amp; children, employment for educated youth or stable prices","2018-07-26 22:14:27","TRUE","441","0","3","Employment","Karnataka","India",FALSE
"8","Karnataka Antibiotics &amp; Pharmaceuticals Ltd Recruitment Notification 2018 | KAPL Management Trainee Jobs @  ","2018-07-26 10:47:06","FALSE","0","0","0","Employment","Karnataka","India",FALSE
"9","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-26 10:27:44","TRUE","26","0","0","Employment","Karnataka","India",FALSE
"10","Social enterprises like @labournet and @graamresearch are expanding their focus on skilling youth in Karnataka .  ","2018-07-26 07:22:30","FALSE","0","0","1","Employment","Karnataka","India",FALSE
"11","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-26 05:24:26","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"12","It is unfortunate that state govt irrespective of d party which is/was in power always treated North Karnataka regi  ","2018-07-26 03:37:40","FALSE","0","2","-1","Employment","Karnataka","India",FALSE
"13","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-26 03:08:30","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"14","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 17:22:56","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"15","@waglenikhil Which ones?

1. W. Bengal- Where hindus are lynched daily!

2. Punjab- where there is a drug aadict in  ","2018-07-25 13:07:15","FALSE","0","4","0","Employment","Karnataka","India",FALSE
"16","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 10:30:16","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"17","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 10:27:05","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"18","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 08:44:15","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"19","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 07:07:11","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"20","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 07:01:42","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"21","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 07:01:35","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"22","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 06:21:29","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"23","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 06:16:45","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"24","Sir after this pls give some time.Related to unemployment issues in Karnataka. Karnataka is 1 of the less employmen  ","2018-07-25 06:11:43","FALSE","2","4","-1","Employment","Karnataka","India",FALSE
"25","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 06:10:58","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"26","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 05:33:14","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"27","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 05:23:34","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"28","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 05:19:00","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"29","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 05:16:33","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"30","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 04:22:25","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"31","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 04:05:58","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"32","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 03:51:27","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"33","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 03:47:53","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"34","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 03:46:02","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"35","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 03:42:24","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"36","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 03:38:32","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"37","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 03:36:17","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"38","RT @kashyapnandan_: Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lynchin","2018-07-25 03:34:14","TRUE","26","0","0","Employment","Karnataka","India",TRUE
"39","Countrys biggest unit to manufacture Apple products to come up near Kolar
Modi Government busy in Cow Go Mutra Lyn  ","2018-07-25 03:32:38","FALSE","26","65","0","Employment","Karnataka","India",FALSE
"40","@CMofKarnataka Please encourage these manufacturing units in other Karnataka districts where sufficient water resou  ","2018-07-25 03:27:50","FALSE","0","1","2","Employment","Karnataka","India",FALSE
"41","A lot f meetings for the employment, industries, water projects and businesses development going on by  ","2018-07-25 01:39:37","FALSE","0","1","0","Employment","Karnataka","India",FALSE
"42","@Narendramodi_PM 
Sir Iam Manoj shetty from Karnataka I have one project related to civil construction field that g  ","2018-07-24 16:50:54","FALSE","0","1","0","Employment","Karnataka","India",FALSE
