"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @rajsan2017: I am for Modi in 2019 lot of unfinished job the entire lutiyeni darbar needs to destabilized.

 India is not just Lutiyens","2018-07-28 20:08:29","TRUE","3","0","-1","Employment","Karnataka","India",FALSE
"2","RT @rajsan2017: I am for Modi in 2019 lot of unfinished job the entire lutiyeni darbar needs to destabilized.

 India is not just Lutiyens","2018-07-28 20:07:21","TRUE","3","0","-1","Employment","Karnataka","India",TRUE
"3","RT @rajsan2017: I am for Modi in 2019 lot of unfinished job the entire lutiyeni darbar needs to destabilized.

 India is not just Lutiyens","2018-07-28 19:33:10","TRUE","3","0","-1","Employment","Karnataka","India",TRUE
"4","Trainee Engineer in Bangalore, Karnataka, India: piping, solar, civil, autocad, steel, engineer, iti  ","2018-07-28 19:22:07","FALSE","0","0","0","Employment","Karnataka","India",FALSE
"5","I am for Modi in 2019 lot of unfinished job the entire lutiyeni darbar needs to destabilized.

 India is not just L  ","2018-07-28 19:13:28","FALSE","3","5","-1","Employment","Karnataka","India",FALSE
"6","@INCIndia @CMofKarnataka @INCKarnataka @DrParameshwara @DKShivakumar Good job and good see our state top in renewab  ","2018-07-28 19:07:10","FALSE","0","0","3","Employment","Karnataka","India",FALSE
"7","This job might be a great fit for you: Big Data Engineer -  ","2018-07-28 17:46:53","FALSE","0","0","1","Employment","Karnataka","India",FALSE
"8","RT @profamishra: This is for all the graduates, postgraduates, CAs, Lawyers and other professionals who vote for BJP.... Good job guys....","2018-07-28 17:44:00","TRUE","6","0","1","Employment","Karnataka","India",FALSE
"9","@DSiddananja Adding fuel to the fire , I think the current CM should walk and talk like a pan Karnataka leader and  ","2018-07-28 17:36:25","FALSE","0","1","0","Employment","Karnataka","India",FALSE
"10","RT @profamishra: This is for all the graduates, postgraduates, CAs, Lawyers and other professionals who vote for BJP.... Good job guys....","2018-07-28 17:08:59","TRUE","6","0","1","Employment","Karnataka","India",TRUE
"11","Interested in a job in Bengaluru, Karnataka? This could be a great fit:  ","2018-07-28 17:08:08","FALSE","0","0","1","Employment","Karnataka","India",FALSE
"12","ENDLESS ARREST OF IPS POLICE OFFICIALS OF KARNATAKA!  CORRUPT ""UPSC"" BACKS CORRUPT OFFICIALS. -  ","2018-07-28 17:05:05","FALSE","0","0","-2","Employment","Karnataka","India",FALSE
"13","RT @profamishra: This is for all the graduates, postgraduates, CAs, Lawyers and other professionals who vote for BJP.... Good job guys....","2018-07-28 16:49:40","TRUE","6","0","1","Employment","Karnataka","India",TRUE
"14","HDKumaraswamy please help karnataka students for R R B banks exam for karnataka students because andra people entr  ","2018-07-28 15:55:48","FALSE","0","0","0","Employment","Karnataka","India",FALSE
