"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @ANI: Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed during eclipses,","2018-07-28 18:50:15","TRUE","26","0","-2","Food","Karnataka","India",FALSE
"2","RT @purnisfoodblog:  ","2018-07-28 18:31:47","TRUE","7","0","0","Food","Karnataka","India",FALSE
"3","RT @purnisfoodblog:  ","2018-07-28 17:00:25","TRUE","7","0","0","Food","Karnataka","India",TRUE
"4","@hd_kumaraswamy we are not received terminal benefits for the past 4 years from Karnataka state warehousing corpora  ","2018-07-28 16:45:33","FALSE","0","0","1","Food","Karnataka","India",FALSE
"5","RT @purnisfoodblog:  ","2018-07-28 16:24:27","TRUE","7","0","0","Food","Karnataka","India",TRUE
"6","RT @ANI: Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed during eclipses,","2018-07-28 11:48:19","TRUE","26","0","-2","Food","Karnataka","India",TRUE
"7","RT @purnisfoodblog:  ","2018-07-28 10:02:15","TRUE","7","0","0","Food","Karnataka","India",TRUE
"8","RT @purnisfoodblog:  ","2018-07-28 09:10:46","TRUE","7","0","0","Food","Karnataka","India",TRUE
"9","North Karnataka Food Festival atWelcomHotel.  ","2018-07-28 09:10:29","FALSE","0","1","0","Food","Karnataka","India",FALSE
"10","Karnataka : People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followe  ","2018-07-28 08:59:35","FALSE","0","0","-2","Food","Karnataka","India",FALSE
"11","RT @purnisfoodblog:  ","2018-07-28 07:51:38","TRUE","7","0","0","Food","Karnataka","India",TRUE
"12","Graphic Design Internship in Bangalore at Ice and Soda Brands: Ice and Soda Brands - Bangalore, Karnataka - With ou  ","2018-07-28 06:47:07","FALSE","0","0","0","Food","Karnataka","India",FALSE
"13","RT @HungryFacee: Retweet [RT] recipes food cooking delicious cook recipe North Karnataka Food Recipes | Uttara Karnataka Jolada Rotti","2018-07-28 06:23:17","TRUE","1","0","1","Food","Karnataka","India",FALSE
"14","RT @ANI: Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed during eclipses,","2018-07-28 06:20:31","TRUE","26","0","-2","Food","Karnataka","India",TRUE
"15","RT @ANI: Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed during eclipses,","2018-07-28 06:08:02","TRUE","26","0","-2","Food","Karnataka","India",TRUE
"16","Senior citizens of karnataka suffer without pension without medical facilities and no food","2018-07-28 06:07:38","FALSE","0","1","-1","Food","Karnataka","India",FALSE
"17","RT @purnisfoodblog:  ","2018-07-28 06:04:58","TRUE","7","0","0","Food","Karnataka","India",TRUE
"18","Retweet [RT] recipes food cooking delicious cook recipe North Karnataka Food Recipes | Uttara Karnataka Jolad  ","2018-07-28 05:36:01","FALSE","1","0","1","Food","Karnataka","India",FALSE
"19","Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed d  ","2018-07-28 05:17:15","FALSE","0","0","-2","Food","Karnataka","India",FALSE
"20","Uttara Karnataka Food Festival WelcomHotel  ","2018-07-28 04:43:30","FALSE","0","1","0","Food","Karnataka","India",FALSE
"21","RT @ANI: Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed during eclipses,","2018-07-28 04:37:56","TRUE","26","0","-2","Food","Karnataka","India",TRUE
"22","RT @ANI: Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed during eclipses,","2018-07-28 04:12:18","TRUE","26","0","-2","Food","Karnataka","India",TRUE
"23","RT @ANI: Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed during eclipses,","2018-07-28 04:11:28","TRUE","26","0","-2","Food","Karnataka","India",TRUE
"24","RT @ANI: Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed during eclipses,","2018-07-28 04:09:40","TRUE","26","0","-2","Food","Karnataka","India",TRUE
"25"," ","2018-07-28 04:07:51","FALSE","7","11","0","Food","Karnataka","India",FALSE
"26","RT @MOFPI_GOI: Dr. Shivashankar Reddy, Honble Minister of Agriculture, Government of Karnataka met Honble Union Minister, FPI Smt. @Hars","2018-07-28 03:15:11","TRUE","73","0","0","Food","Karnataka","India",FALSE
"27","RT @MOFPI_GOI: Dr. Shivashankar Reddy, Honble Minister of Agriculture, Government of Karnataka met Honble Union Minister, FPI Smt. @Hars","2018-07-28 03:12:45","TRUE","73","0","0","Food","Karnataka","India",TRUE
"28","RT @MOFPI_GOI: Dr. Shivashankar Reddy, Honble Minister of Agriculture, Government of Karnataka met Honble Union Minister, FPI Smt. @Hars","2018-07-28 03:10:00","TRUE","73","0","0","Food","Karnataka","India",TRUE
"29","RT @MOFPI_GOI: Dr. Shivashankar Reddy, Honble Minister of Agriculture, Government of Karnataka met Honble Union Minister, FPI Smt. @Hars","2018-07-28 03:07:12","TRUE","73","0","0","Food","Karnataka","India",TRUE
"30","RT @ANI: Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed during eclipses,","2018-07-28 02:56:24","TRUE","26","0","-2","Food","Karnataka","India",TRUE
"31","RT @ANI: Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed during eclipses,","2018-07-28 01:13:58","TRUE","26","0","-2","Food","Karnataka","India",TRUE
"32","RT @ANI: Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed during eclipses,","2018-07-28 01:07:54","TRUE","26","0","-2","Food","Karnataka","India",TRUE
"33","RT @ANI: Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed during eclipses,","2018-07-28 01:04:15","TRUE","26","0","-2","Food","Karnataka","India",TRUE
"34","RT @ANI: Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed during eclipses,","2018-07-28 00:55:10","TRUE","26","0","-2","Food","Karnataka","India",TRUE
"35","RT @ANI: Karnataka: People gathered in large number outside Bengaluru's Town Hall to oppose superstitious beliefs followed during eclipses,","2018-07-28 00:45:28","TRUE","26","0","-2","Food","Karnataka","India",TRUE
