"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Due to 'NMC' policy private hospital doctors went on strike dropping patients almost near to 'HELL'. In Karnataka o  ","2018-07-28 18:37:20","FALSE","0","0","-2","Health Care","Karnataka","India",FALSE
"2","RT @suvarnanewstv:   : .  
PrivateHospitals DoctorsStrike DRRavindra Chitchat
    ","2018-07-28 16:36:24","TRUE","1","0","0","Health Care","Karnataka","India",FALSE
"3","  : .  
PrivateHospitals DoctorsStrike DRRavindra Chitchat
   ","2018-07-28 15:40:20","FALSE","1","1","0","Health Care","Karnataka","India",FALSE
"4","Interesting story: Trivitron Healthcare, Baptist Hospital unveil unique Digital Mammography Equipment in Karnataka  ","2018-07-28 15:24:37","FALSE","0","0","1","Health Care","Karnataka","India",FALSE
"5","@narendramodi @AnanthKumar_BJP Sir request you to please sanction cancer hospital for North Karnataka region as the  ","2018-07-28 13:23:49","FALSE","0","0","-1","Health Care","Karnataka","India",FALSE
"6","Trivitron Healthcare in association with Bangalore Baptist Hospital have introduced the 3D Tomosynthesis and Stereo  ","2018-07-28 12:58:55","FALSE","0","0","0","Health Care","Karnataka","India",FALSE
"7","[Job] Maintenance Incharge | Company: cauvery hospital | Location: Mysore KA Karnataka India | Mysore Building  ","2018-07-28 11:03:09","FALSE","0","0","0","Health Care","Karnataka","India",FALSE
"8","RT @Gulaaabi: Road safety ride (@ BGS Global hospital in Bengaluru, Karnataka)  ","2018-07-28 09:48:40","TRUE","1","0","0","Health Care","Karnataka","India",FALSE
"9","Newborn dies in hospital ..  ","2018-07-28 09:48:13","FALSE","0","0","-1","Health Care","Karnataka","India",FALSE
"10","   :  
 ","2018-07-28 08:45:02","FALSE","0","0","0","Health Care","Karnataka","India",FALSE
"11","Road safety ride (@ BGS Global hospital in Bengaluru, Karnataka)  ","2018-07-28 08:20:40","FALSE","1","6","0","Health Care","Karnataka","India",FALSE
"12","Fight Against NMC Bill : Private Hospital's OPD Bandh Through Out Karnataka |  
Suddi TV News NMCBill  ","2018-07-28 06:20:55","FALSE","0","2","0","Health Care","Karnataka","India",FALSE
"13","RT @OneindiaKannada:    :   

PrivateHospital DoctorsStrike Karnataka @CMofKarnataka 
 ","2018-07-28 04:39:14","TRUE","1","0","0","Health Care","Karnataka","India",FALSE
"14","   :   

PrivateHospital DoctorsStrike Karnataka @CMofKarnataka 
 ","2018-07-28 04:37:55","FALSE","1","2","0","Health Care","Karnataka","India",FALSE
"15","RT @saikirankollur1: Karunanidhi same like  jayalalithaa  case . Family comes to hospital, tighten the security .
.
On a funny note .even","2018-07-28 03:11:37","TRUE","1","0","0","Health Care","Karnataka","India",FALSE
"16","Karunanidhi same like  jayalalithaa  case . Family comes to hospital, tighten the security .
.
On a funny note .e  ","2018-07-28 03:02:16","FALSE","1","2","0","Health Care","Karnataka","India",FALSE
"17"," :      ","2018-07-27 19:09:11","FALSE","0","0","0","Health Care","Karnataka","India",FALSE
"18","In India's silicon valley : "" former Chief Minister of Karnataka, BS Yeddyurappa shifted to Jindal Hospital a day b  ","2018-07-27 18:12:34","FALSE","0","0","-1","Health Care","Karnataka","India",FALSE
"19","VK:  :      ","2018-07-27 18:01:33","FALSE","0","0","0","Health Care","Karnataka","India",FALSE
"20","RT @Vijaykarnataka:  :    
   strikeopposingnmcact  ","2018-07-27 17:58:51","TRUE","1","0","0","Health Care","Karnataka","India",FALSE
"21","RT @VVani4U:     ,  , !
Hospital HealthDepartment Karnataka Davanagere Doctors Nur","2018-07-27 16:59:22","TRUE","2","0","0","Health Care","Karnataka","India",FALSE
