"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @catt_org:  ","2018-07-28 07:24:48","TRUE","1","0","0","Transportation","Karnataka","India",FALSE
"2","@pushkarv @srinualavilli @NewIndianXpress @hashBengaluru @blrcitytraffic @AddlCPTraffic @citizensforblr  ","2018-07-28 06:02:38","FALSE","0","0","0","Transportation","Karnataka","India",FALSE
"3"," ","2018-07-28 04:26:53","FALSE","1","0","0","Transportation","Karnataka","India",FALSE
"4","@timesofindia @BangaloreMirror @blrcitytraffic @DCPTrEastBCP @Acpeasttraffic @Vijaykarnataka @udayavani_web Worst t  ","2018-07-27 13:33:00","FALSE","0","0","-1","Transportation","Karnataka","India",FALSE
"5","RT @DeccanHerald: Low-lying bridges in Raibag and Athani taluks which were submerged are now open for traffic. However, three low-lying bri","2018-07-27 08:00:18","TRUE","2","0","0","Transportation","Karnataka","India",FALSE
"6","RT @DeccanHerald: Low-lying bridges in Raibag and Athani taluks which were submerged are now open for traffic. However, three low-lying bri","2018-07-27 07:59:34","TRUE","2","0","0","Transportation","Karnataka","India",TRUE
"7","Low-lying bridges in Raibag and Athani taluks which were submerged are now open for traffic. However, three low-lyi  ","2018-07-27 07:56:18","FALSE","2","1","0","Transportation","Karnataka","India",FALSE
"8","RT @DeccanHerald: The Karnataka Forest department has been successful in convincing their counterparts in TamilNadu and Kerala about the","2018-07-27 03:21:06","TRUE","4","0","2","Transportation","Karnataka","India",FALSE
"9","RT @postcard_news: What's happening in Karnataka? WATCH, Congress leader abuses traffic policeman for doing his duty! 

 ","2018-07-27 02:51:36","TRUE","37","0","-1","Transportation","Karnataka","India",FALSE
"10","RT @DeccanHerald: The Karnataka Forest department has been successful in convincing their counterparts in TamilNadu and Kerala about the","2018-07-27 01:52:51","TRUE","4","0","2","Transportation","Karnataka","India",TRUE
"11","RT @DeccanHerald: The Karnataka Forest department has been successful in convincing their counterparts in TamilNadu and Kerala about the","2018-07-26 18:42:11","TRUE","4","0","2","Transportation","Karnataka","India",TRUE
"12","The Karnataka Forest department has been successful in convincing their counterparts in TamilNadu and Kerala abo  ","2018-07-26 18:34:56","FALSE","4","15","2","Transportation","Karnataka","India",FALSE
"13","@sheksis @blrcitytraffic This is the worst traffic junction in Karnataka. You cannot do much. People should protest  ","2018-07-26 18:00:33","FALSE","0","0","-2","Transportation","Karnataka","India",FALSE
"14","@krpuramtraffic1 @CMofKarnataka @DCPTrEastBCP @Acpeasttraffic @Vijaykarnataka @udayavani_web @publictvnews  ","2018-07-26 17:57:39","FALSE","0","0","0","Transportation","Karnataka","India",FALSE
"15","Do you know what Bangalore has more than traffic? 
Potholes. Yup. POT FREAKING HOLES the size of Karnataka itself.  ","2018-07-26 14:03:38","FALSE","0","0","-1","Transportation","Karnataka","India",FALSE
"16","@WFRising Highest Road Tax in Karnataka across India and what's citizens get pathetic roads , potholes, in engineered roads , traffic jams","2018-07-26 12:29:15","FALSE","0","1","-1","Transportation","Karnataka","India",FALSE
"17","@imjithinjose @blrcitytraffic @krpuramtraffic1 @DCPTrEastBCP @Acpeasttraffic Worst traffic junction in Karnataka is  ","2018-07-26 12:12:42","FALSE","0","1","-1","Transportation","Karnataka","India",FALSE
"18","@AnkitSr01285562 @AddlCPTraffic @blrcitytraffic KR Puram and TIN Factory is the worst traffic junction in India. Th  ","2018-07-26 12:11:13","FALSE","0","0","-1","Transportation","Karnataka","India",FALSE
"19","RT @TheHinduScience: There were as many as 32 deaths in 2004, which increased to 41 in 2007. But once the ban on night traffic came into ef","2018-07-26 10:56:23","TRUE","7","0","0","Transportation","Karnataka","India",FALSE
"20","RT @nmenezesET: Karnataka is planning to adopt Telanganas point-based traffic penalties to rein in repeated rule violators. The transport","2018-07-26 10:53:46","TRUE","6","0","-1","Transportation","Karnataka","India",FALSE
"21","@INCIndia Check the condition of roads, traffic &amp; garbage in Bangalore, think about other cities and towns in Karna  ","2018-07-26 09:30:43","FALSE","0","1","-1","Transportation","Karnataka","India",FALSE
"22","RT @TheHinduScience: There were as many as 32 deaths in 2004, which increased to 41 in 2007. But once the ban on night traffic came into ef","2018-07-26 09:05:44","TRUE","7","0","0","Transportation","Karnataka","India",TRUE
"23","RT @nmenezesET: Karnataka is planning to adopt Telanganas point-based traffic penalties to rein in repeated rule violators. The transport","2018-07-26 07:45:15","TRUE","6","0","-1","Transportation","Karnataka","India",TRUE
"24"," ","2018-07-26 04:01:21","FALSE","0","0","0","Transportation","Karnataka","India",TRUE
"25","RT @Vish_Hyd: Traffic penalities: Karnataka may adopt Telanganas point-based traffic penalties - The Economic Times  ","2018-07-25 17:26:06","TRUE","2","0","0","Transportation","Karnataka","India",FALSE
"26","RT @TheHinduScience: There were as many as 32 deaths in 2004, which increased to 41 in 2007. But once the ban on night traffic came into ef","2018-07-25 16:15:54","TRUE","7","0","0","Transportation","Karnataka","India",TRUE
"27","RT @TheHinduScience: There were as many as 32 deaths in 2004, which increased to 41 in 2007. But once the ban on night traffic came into ef","2018-07-25 15:59:20","TRUE","7","0","0","Transportation","Karnataka","India",TRUE
"28","RT @nmenezesET: Karnataka is planning to adopt Telanganas point-based traffic penalties to rein in repeated rule violators. The transport","2018-07-25 14:48:25","TRUE","6","0","-1","Transportation","Karnataka","India",TRUE
"29","RT @Vish_Hyd: Traffic penalities: Karnataka may adopt Telanganas point-based traffic penalties - The Economic Times  ","2018-07-25 14:45:24","TRUE","2","0","0","Transportation","Karnataka","India",TRUE
"30","Traffic penalities: Karnataka may adopt Telanganas point-based traffic penalties - The Economic Times  ","2018-07-25 13:53:12","FALSE","2","0","0","Transportation","Karnataka","India",FALSE
"31","RT @TheHinduScience: There were as many as 32 deaths in 2004, which increased to 41 in 2007. But once the ban on night traffic came into ef","2018-07-25 13:37:29","TRUE","7","0","0","Transportation","Karnataka","India",TRUE
"32","RT @TheHinduScience: There were as many as 32 deaths in 2004, which increased to 41 in 2007. But once the ban on night traffic came into ef","2018-07-25 13:23:03","TRUE","7","0","0","Transportation","Karnataka","India",TRUE
"33","RT TheHinduScience: There were as many as 32 deaths in 2004, which increased to 41 in 2007. But once the ban on nig  ","2018-07-25 13:19:44","FALSE","0","0","0","Transportation","Karnataka","India",FALSE
"34","RT @TheHinduScience: There were as many as 32 deaths in 2004, which increased to 41 in 2007. But once the ban on night traffic came into ef","2018-07-25 13:17:48","TRUE","7","0","0","Transportation","Karnataka","India",TRUE
"35","There were as many as 32 deaths in 2004, which increased to 41 in 2007. But once the ban on night traffic came into  ","2018-07-25 13:00:02","FALSE","7","34","0","Transportation","Karnataka","India",FALSE
"36","RT @i_anish_kumar: @sunitaiyer @rajeev_mp @WeAreBangalore @Namma_Bengaluru @BBMPCOMM @WFRising @Harsha_MP @unitedbengaluru @achyutha @shakk","2018-07-25 11:46:54","TRUE","1","0","0","Transportation","Karnataka","India",FALSE
"37","RT @dr_padhi: What a shame! Congress can go to any extent for power! They burned Haryana for jaat reservations, gujarat for patels, karnata","2018-07-25 11:42:24","TRUE","3","0","-2","Transportation","Karnataka","India",FALSE
"38","        3   ","2018-07-25 11:39:57","FALSE","1","4","0","Transportation","Karnataka","India",FALSE
"39","RT @nmenezesET: Karnataka is planning to adopt Telanganas point-based traffic penalties to rein in repeated rule violators. The transport","2018-07-25 11:35:23","TRUE","6","0","-1","Transportation","Karnataka","India",TRUE
"40","RT @dr_padhi: What a shame! Congress can go to any extent for power! They burned Haryana for jaat reservations, gujarat for patels, karnata","2018-07-25 11:29:07","TRUE","3","0","-2","Transportation","Karnataka","India",TRUE
"41","@sunitaiyer @rajeev_mp @WeAreBangalore @Namma_Bengaluru @BBMPCOMM @WFRising @Harsha_MP @unitedbengaluru @achyutha  ","2018-07-25 11:23:35","FALSE","1","0","0","Transportation","Karnataka","India",FALSE
"42","ETAuto | Karnataka may adopt Telanganas point-based traffic penalties  ","2018-07-25 11:00:09","FALSE","0","1","0","Transportation","Karnataka","India",FALSE
"43","RT @nmenezesET: Karnataka is planning to adopt Telanganas point-based traffic penalties to rein in repeated rule violators. The transport","2018-07-25 10:19:46","TRUE","6","0","-1","Transportation","Karnataka","India",TRUE
"44","RT @nmenezesET: Karnataka is planning to adopt Telanganas point-based traffic penalties to rein in repeated rule violators. The transport","2018-07-25 09:51:54","TRUE","6","0","-1","Transportation","Karnataka","India",TRUE
"45","What a shame! Congress can go to any extent for power! They burned Haryana for jaat reservations, gujarat for patel  ","2018-07-25 09:05:06","FALSE","3","3","-2","Transportation","Karnataka","India",FALSE
"46","Karnataka may adopt Telanganas point-based traffic penalties  ","2018-07-25 08:52:37","FALSE","0","0","0","Transportation","Karnataka","India",FALSE
"47","With ban on night traffic, Bandipur road kills down ..  ","2018-07-25 08:45:42","FALSE","0","0","-1","Transportation","Karnataka","India",FALSE
"48","Karnataka is planning to adopt Telanganas point-based traffic penalties to rein in repeated rule violators. The tr  ","2018-07-25 07:42:04","FALSE","6","9","-1","Transportation","Karnataka","India",FALSE
