"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","I'm at Kempegowda International Airport in Bengaluru, Karnataka  ","2018-07-28 15:37:43","FALSE","0","0","0","Transportation","Karnataka","India",FALSE
"2","I'm at Kempegowda International Airport in Bengaluru, Karnataka  ","2018-07-28 14:49:26","FALSE","0","0","0","Transportation","Karnataka","India",TRUE
"3","I'm at Kempegowda International Airport in Bengaluru, Karnataka  ","2018-07-28 08:24:44","FALSE","0","0","0","Transportation","Karnataka","India",TRUE
"4","MangaloreAirport authorities needs to understand the issues of the passengers - SilenceAirport strategy doesnt h  ","2018-07-28 04:40:01","FALSE","0","0","-1","Transportation","Karnataka","India",FALSE
"5","@Pareekatti @iamssrrk @AK__Raj @jeevanm6 Mysore will be a good destination for industries with big infrastructure p  ","2018-07-27 19:54:30","FALSE","0","0","1","Transportation","Karnataka","India",FALSE
"6","RT @sureshpprabhu: Sindhudurg airport will provide better connectivity to the Konkan region of Maharashtra, parts of Goa, North Karnataka &amp;","2018-07-27 18:55:12","TRUE","62","0","1","Transportation","Karnataka","India",FALSE
"7","I'm at Kempegowda International Airport in Bengaluru, Karnataka  ","2018-07-27 16:54:47","FALSE","0","0","0","Transportation","Karnataka","India",TRUE
"8","RT @sureshpprabhu: Sindhudurg airport will provide better connectivity to the Konkan region of Maharashtra, parts of Goa, North Karnataka &amp;","2018-07-27 14:33:24","TRUE","62","0","1","Transportation","Karnataka","India",TRUE
"9","RT @sureshpprabhu: Sindhudurg airport will provide better connectivity to the Konkan region of Maharashtra, parts of Goa, North Karnataka &amp;","2018-07-27 13:09:17","TRUE","62","0","1","Transportation","Karnataka","India",TRUE
"10","RT @sureshpprabhu: Sindhudurg airport will provide better connectivity to the Konkan region of Maharashtra, parts of Goa, North Karnataka &amp;","2018-07-27 12:48:12","TRUE","62","0","1","Transportation","Karnataka","India",TRUE
"11","@sureshpprabhu 
Dear Suresh Ji
Kindly look into the Karwar Airport Issues, an already built airport of Navy, can be  ","2018-07-27 12:27:48","FALSE","0","0","-1","Transportation","Karnataka","India",FALSE
"12","RT @sureshpprabhu: Sindhudurg airport will provide better connectivity to the Konkan region of Maharashtra, parts of Goa, North Karnataka &amp;","2018-07-27 11:50:55","TRUE","62","0","1","Transportation","Karnataka","India",TRUE
"13","@narendramodi @nsitharaman @PiyushGoyal @AmitShah @sambitswaraj @INCIndia @bhagwantkhuba @AnanthKumar_BJP @rlyhydka  ","2018-07-27 10:57:50","FALSE","0","1","0","Transportation","Karnataka","India",FALSE
"14","RT @sureshpprabhu: Met Mr. Suresh Angadi, MP/LS - Belavgavi, Karnataka regarding request  for including Sambra Airport under the UDAN schem","2018-07-27 08:46:59","TRUE","41","0","0","Transportation","Karnataka","India",FALSE
"15","RT @sureshpprabhu: Met Mr. Suresh Angadi, MP/LS - Belavgavi, Karnataka regarding request  for including Sambra Airport under the UDAN schem","2018-07-27 07:44:06","TRUE","41","0","0","Transportation","Karnataka","India",TRUE
"16","RT @sureshpprabhu: Sindhudurg airport will provide better connectivity to the Konkan region of Maharashtra, parts of Goa, North Karnataka &amp;","2018-07-27 07:21:53","TRUE","62","0","1","Transportation","Karnataka","India",TRUE
"17","RT @sureshpprabhu: Sindhudurg airport will provide better connectivity to the Konkan region of Maharashtra, parts of Goa, North Karnataka &amp;","2018-07-27 06:25:28","TRUE","62","0","1","Transportation","Karnataka","India",TRUE
"18","RT @sureshpprabhu: Sindhudurg airport will provide better connectivity to the Konkan region of Maharashtra, parts of Goa, North Karnataka &amp;","2018-07-27 06:19:50","TRUE","62","0","1","Transportation","Karnataka","India",TRUE
"19","RT @sureshpprabhu: Sindhudurg airport will provide better connectivity to the Konkan region of Maharashtra, parts of Goa, North Karnataka &amp;","2018-07-27 06:11:26","TRUE","62","0","1","Transportation","Karnataka","India",TRUE
"20","RT @sureshpprabhu: Sindhudurg airport will provide better connectivity to the Konkan region of Maharashtra, parts of Goa, North Karnataka &amp;","2018-07-27 04:15:03","TRUE","62","0","1","Transportation","Karnataka","India",TRUE
"21","RT @sureshpprabhu: Sindhudurg airport will provide better connectivity to the Konkan region of Maharashtra, parts of Goa, North Karnataka &amp;","2018-07-27 04:13:22","TRUE","62","0","1","Transportation","Karnataka","India",TRUE
"22","RT @sureshpprabhu: Sindhudurg airport will provide better connectivity to the Konkan region of Maharashtra, parts of Goa, North Karnataka &amp;","2018-07-27 04:08:00","TRUE","62","0","1","Transportation","Karnataka","India",TRUE
