"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","pornstar swallow cum dasani anal kerala sexy stripping teens college sex column is sex bad hawaiian porn   ","2018-07-29 08:59:47","FALSE","0","0","-1","Education","Kerala","India",FALSE
"2","RT @IndiaToday: Trolls target 21 year old Kerala girl Hanan Hamid for selling fish after college hours. ITVideo 
More videos:  ","2018-07-29 08:54:31","TRUE","317","0","-1","Education","Kerala","India",FALSE
"3","RT @IndiaToday: Trolls target 21 year old Kerala girl Hanan Hamid for selling fish after college hours. ITVideo 
More videos:  ","2018-07-29 08:44:45","TRUE","317","0","-1","Education","Kerala","India",TRUE
"4","RT @JantaKaReporter: Kerala Police arrest sick cyber bully who gave grief to brave Hanan Hamid for selling fish in college uniform   ","2018-07-29 08:39:05","TRUE","24","0","0","Education","Kerala","India",FALSE
"5","Kerala Police do not work without CM's instructions 

@KeralaPoliceA @CMOKerala
  ","2018-07-29 08:19:37","FALSE","0","0","-1","Education","Kerala","India",FALSE
"6","RT @NH_India: Hanan Hamid is not your usual 21-yr-old student. She does a number of odd jobs, including selling fish, to earn money. After","2018-07-29 08:18:15","TRUE","114","0","3","Education","Kerala","India",FALSE
"7","naked kerala girl musterbating sex mom 46 son drawings porn nude college ass joss stone sex pussy lifting   ","2018-07-29 08:17:21","FALSE","0","0","1","Education","Kerala","India",FALSE
"8","girls having sex with black girls legal nn model tube kerala college girl fully naked on web cam   ","2018-07-29 08:15:10","FALSE","0","0","1","Education","Kerala","India",FALSE
"9","RT @TimesNow: Leave me alone and allow me to do any kind of menial jobs to earn my daily bread"" -a teary-eyed 21-year-old Kerala girl has","2018-07-29 08:15:04","TRUE","145","0","0","Education","Kerala","India",FALSE
"10","RT @domparisangh: Kerala Woman Trolled For Selling Fish After College, Minister Hits Back  ","2018-07-29 08:13:50","TRUE","13","0","1","Education","Kerala","India",FALSE
"11","RT @IndiaToday: Trolls target 21 year old Kerala girl Hanan Hamid for selling fish after college hours. ITVideo 
More videos:  ","2018-07-29 07:41:30","TRUE","317","0","1","Education","Kerala","India",TRUE
"12","RT @IndiaToday: Trolls target 21 year old Kerala girl Hanan Hamid for selling fish after college hours. ITVideo 
More videos:  ","2018-07-29 07:40:34","TRUE","317","0","-2","Education","Kerala","India",TRUE
"13","RT @IndiaToday: Trolls target 21 year old Kerala girl Hanan Hamid for selling fish after college hours. ITVideo 
More videos:  ","2018-07-29 07:26:33","TRUE","317","0","1","Education","Kerala","India",TRUE
"14","Man behind Kerala college student`s viral fish selling video arrested  ","2018-07-29 07:21:29","FALSE","0","0","0","Education","Kerala","India",FALSE
"15","RT @JantaKaReporter: Kerala Police arrest sick cyber bully who gave grief to brave Hanan Hamid for selling fish in college uniform   ","2018-07-29 07:16:57","TRUE","24","0","1","Education","Kerala","India",TRUE
"16","RT @JantaKaReporter: Kerala Police arrest sick cyber bully who gave grief to brave Hanan Hamid for selling fish in college uniform   ","2018-07-29 07:14:45","TRUE","24","0","1","Education","Kerala","India",TRUE
"17","Insensitive Social Media trolls Kerala Student over selling fish after College, Union Minister Alphons intervenes  ","2018-07-29 07:03:32","FALSE","0","0","0","Education","Kerala","India",FALSE
"18","Rural health centres in Keralaplagued byserious shortage of doctors:Governor P Sathasivam  ","2018-07-29 07:02:45","FALSE","0","0","1","Education","Kerala","India",FALSE
"19","in the pussy kerala college girlsnude sexy gamer girl nude vanity fucking girls hardcore free hentai final   ","2018-07-29 06:58:46","FALSE","0","0","1","Education","Kerala","India",FALSE
"20","RT @Swamy39: Good news that Kallu{means country liquor smuggler} Thambi  (Dubai bagman of TDK &amp; rare perfume supplier) has now been charge-","2018-07-29 06:53:17","TRUE","2592","0","0","Education","Kerala","India",FALSE
"21","RT @NH_India: Hanan Hamid is not your usual 21-yr-old student. She does a number of odd jobs, including selling fish, to earn money. After","2018-07-29 06:51:56","TRUE","114","0","0","Education","Kerala","India",TRUE
"22","@Jacobji01 I've seen a few exceptions, but dominant experiences of my friends &amp; family in Kerala are consistent wit  ","2018-07-29 06:48:33","FALSE","0","0","1","Education","Kerala","India",FALSE
"23","RT @IndiaToday: Trolls target 21 year old Kerala girl Hanan Hamid for selling fish after college hours. ITVideo 
More videos:  ","2018-07-29 06:47:48","TRUE","317","0","0","Education","Kerala","India",TRUE
"24","sex photos for kerala college girls naked girl fucks a car free photo hot porno girl veronica lopez nude   ","2018-07-29 06:45:25","FALSE","0","0","1","Education","Kerala","India",FALSE
"25","RT @IndiaToday: Trolls target 21 year old Kerala girl Hanan Hamid for selling fish after college hours. ITVideo 
More videos:  ","2018-07-29 06:42:17","TRUE","317","0","0","Education","Kerala","India",TRUE
"26","RT @NH_India: Hanan Hamid is not your usual 21-yr-old student. She does a number of odd jobs, including selling fish, to earn money. After","2018-07-29 06:38:55","TRUE","114","0","0","Education","Kerala","India",TRUE
"27","RT @NH_India: Hanan Hamid is not your usual 21-yr-old student. She does a number of odd jobs, including selling fish, to earn money. After","2018-07-29 06:34:41","TRUE","114","0","1","Education","Kerala","India",TRUE
"28","RT @NH_India: Hanan Hamid is not your usual 21-yr-old student. She does a number of odd jobs, including selling fish, to earn money. After","2018-07-29 06:31:14","TRUE","114","0","1","Education","Kerala","India",TRUE
"29","RT @IndiaToday: Trolls target 21 year old Kerala girl Hanan Hamid for selling fish after college hours. ITVideo 
More videos:  ","2018-07-29 06:28:41","TRUE","317","0","1","Education","Kerala","India",TRUE
"30","RT @IndiaToday: Trolls target 21 year old Kerala girl Hanan Hamid for selling fish after college hours. ITVideo 
More videos:  ","2018-07-29 06:26:54","TRUE","317","0","1","Education","Kerala","India",TRUE
"31","RT @Swamy39: Good news that Kallu{means country liquor smuggler} Thambi  (Dubai bagman of TDK &amp; rare perfume supplier) has now been charge-","2018-07-29 06:26:52","TRUE","2592","0","1","Education","Kerala","India",TRUE
"32","RT @IndiaToday: Trolls target 21 year old Kerala girl Hanan Hamid for selling fish after college hours. ITVideo 
More videos:  ","2018-07-29 06:20:17","TRUE","317","0","0","Education","Kerala","India",TRUE
"33","RT @Swamy39: Good news that Kallu{means country liquor smuggler} Thambi  (Dubai bagman of TDK &amp; rare perfume supplier) has now been charge-","2018-07-29 06:14:25","TRUE","2592","0","0","Education","Kerala","India",TRUE
"34","RT @IndiaToday: Trolls target 21 year old Kerala girl Hanan Hamid for selling fish after college hours. ITVideo 
More videos:  ","2018-07-29 06:10:18","TRUE","317","0","0","Education","Kerala","India",TRUE
"35","RT @IndiaToday: Trolls target 21 year old Kerala girl Hanan Hamid for selling fish after college hours. ITVideo 
More videos:  ","2018-07-29 06:04:33","TRUE","317","0","0","Education","Kerala","India",TRUE
"36","RT @IndiaToday: Trolls target 21 year old Kerala girl Hanan Hamid for selling fish after college hours. ITVideo 
More videos:  ","2018-07-29 05:50:27","TRUE","317","0","1","Education","Kerala","India",TRUE
"37","RT @IndiaToday: Trolls target 21 year old Kerala girl Hanan Hamid for selling fish after college hours. ITVideo 
More videos:  ","2018-07-29 05:47:04","TRUE","317","0","0","Education","Kerala","India",TRUE
"38","RT @NH_India: Hanan Hamid is not your usual 21-yr-old student. She does a number of odd jobs, including selling fish, to earn money. After","2018-07-29 05:42:56","TRUE","114","0","-2","Education","Kerala","India",TRUE
